engagement_id,as_of_date,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs,health_band,churn_next_90d,monthly_contract_value,expected_end_date,remaining_months,contract_exposure,heuristic_risk_probability,risk_adjusted_exposure
ENG-01071,2024-07-01,72.17,67.52,50.55,71.54,47.89,61.96,Watch,1,1504064.2,2025-01-01,6,9024385.2,0.38039999999999996,3432876.1300799996
ENG-00167,2024-07-01,60.43,55.76,46.26,57.38,30.11,50.14,Critical,1,1420000.94,2025-01-01,6,8520005.64,0.49860000000000004,4248074.812104001
ENG-00135,2024-07-01,71.23,63.9,69.78,63.92,39.61,62.05,Watch,1,967770.59,2024-12-01,5,4838852.95,0.37950000000000006,1836344.6945250004
ENG-00600,2024-07-01,54.43,45.09,49.07,71.59,32.94,49.77,Critical,1,3540692.71,2025-02-01,7,24784848.97,0.5023,12449429.637631
ENG-00300,2024-07-01,51.83,44.01,34.12,64.71,19.52,42.2,Critical,1,1030203.6,2024-12-01,5,5151018.0,0.578,2977288.4039999996
ENG-01199,2024-07-01,53.61,41.82,75.21,63.53,11.62,48.66,Critical,1,912640.98,2025-01-01,6,5475845.88,0.5134000000000001,2811299.274792
ENG-00194,2024-07-01,58.47,58.0,42.41,72.81,35.74,52.77,Critical,1,2000167.95,2024-12-01,5,10000839.75,0.47229999999999994,4723396.613925
ENG-01166,2024-07-01,76.76,73.53,89.24,72.01,44.68,71.48,Watch,0,904768.77,2024-07-01,0,0.0,0.2852,0.0
ENG-00751,2024-08-01,80.62,84.13,67.17,74.3,67.71,75.1,Watch,0,1121268.73,2024-08-01,0,0.0,0.2490000000000001,0.0
ENG-00207,2024-08-01,79.88,75.36,72.46,62.66,52.22,69.38,Watch,0,2289677.43,2024-08-01,0,0.0,0.3062,0.0
ENG-00157,2024-08-01,78.68,74.68,83.52,79.5,62.39,75.71,Watch,0,860082.63,2024-08-01,0,0.0,0.24290000000000012,0.0
ENG-00597,2024-08-01,78.41,83.03,96.12,60.82,62.11,76.98,Watch,0,1213289.61,2024-08-01,0,0.0,0.23019999999999996,0.0
ENG-00193,2024-08-01,62.41,47.1,66.4,81.17,30.24,56.53,Critical,1,2456498.17,2024-11-01,3,7369494.51,0.4347,3203519.2634969996
ENG-00961,2024-08-01,83.3,95.27,85.42,73.03,77.09,83.34,Healthy,0,810302.33,2024-08-01,0,0.0,0.16659999999999997,0.0
ENG-00281,2024-08-01,82.72,82.02,82.75,79.26,56.86,76.89,Watch,0,2835062.43,2024-08-01,0,0.0,0.23109999999999997,0.0
ENG-00325,2024-08-01,80.7,87.05,87.65,73.05,65.23,79.12,Watch,0,1608025.68,2024-08-01,0,0.0,0.20879999999999999,0.0
ENG-00388,2024-08-01,65.75,66.03,91.06,69.78,41.42,66.61,Watch,1,2571102.65,2024-10-01,2,5142205.3,0.3339,1716982.34967
ENG-01020,2024-08-01,75.71,79.64,83.58,72.03,57.53,73.88,Watch,0,3460764.06,2024-08-01,0,0.0,0.2612000000000001,0.0
ENG-01010,2024-08-01,77.76,83.91,65.19,68.58,51.59,69.86,Watch,0,979615.9,2024-08-01,0,0.0,0.3014,0.0
ENG-00055,2024-08-01,73.8,84.16,93.38,72.47,57.25,76.28,Watch,0,1213313.12,2024-08-01,0,0.0,0.23719999999999997,0.0
ENG-00926,2024-08-01,69.75,74.63,86.31,79.17,42.42,69.99,Watch,1,2389794.91,2024-11-01,3,7169384.73,0.30010000000000003,2151532.3574730004
ENG-00780,2024-08-01,79.56,85.07,77.91,73.7,48.26,73.2,Watch,0,2112189.89,2024-08-01,0,0.0,0.268,0.0
ENG-00684,2024-08-01,57.2,45.87,52.79,65.97,7.92,45.51,Critical,1,965348.14,2024-12-01,4,3861392.56,0.5448999999999999,2104072.805944
ENG-01041,2024-08-01,88.91,84.84,86.24,76.91,78.07,83.59,Healthy,0,1022560.35,2024-08-01,0,0.0,0.1640999999999999,0.0
ENG-00936,2024-09-01,62.25,50.3,45.01,66.08,26.51,49.84,Critical,1,2277431.5,2024-11-01,2,4554863.0,0.5016,2284719.2808000003
ENG-00807,2024-09-01,80.5,76.74,56.79,79.97,58.34,70.49,Watch,0,3344943.51,2024-09-01,0,0.0,0.29510000000000003,0.0
ENG-00419,2024-09-01,78.1,77.42,96.79,72.72,53.5,75.97,Watch,0,912746.64,2024-09-01,0,0.0,0.24029999999999996,0.0
ENG-00942,2024-09-01,73.31,73.52,94.8,72.01,51.38,73.07,Watch,0,1670756.88,2024-09-01,0,0.0,0.2693000000000001,0.0
ENG-00470,2024-09-01,69.77,81.18,75.43,67.96,64.13,71.78,Watch,0,2016081.79,2024-09-01,0,0.0,0.2822,0.0
ENG-00100,2024-09-01,66.13,72.37,80.32,79.81,51.89,69.42,Watch,0,2319254.64,2024-09-01,0,0.0,0.30579999999999996,0.0
ENG-00098,2024-09-01,57.59,59.08,27.68,63.99,25.35,46.42,Critical,1,2140097.93,2024-11-01,2,4280195.86,0.5358,2293328.9417880005
ENG-00614,2024-09-01,84.64,99.22,98.76,71.45,68.74,85.22,Healthy,0,3262444.11,2024-09-01,0,0.0,0.14780000000000004,0.0
ENG-00255,2024-09-01,81.3,92.41,82.47,75.17,60.48,78.67,Watch,0,2713102.87,2024-09-01,0,0.0,0.21329999999999993,0.0
ENG-00866,2024-09-01,86.14,86.11,98.6,76.69,52.55,80.49,Healthy,0,1022384.8,2024-09-01,0,0.0,0.19510000000000005,0.0
ENG-00523,2024-09-01,62.12,63.6,56.06,60.88,46.45,57.88,Critical,0,1456833.01,2024-09-01,0,0.0,0.4212,0.0
ENG-00952,2024-09-01,87.14,98.41,95.76,77.14,69.12,86.01,Healthy,0,2237621.39,2024-09-01,0,0.0,0.1398999999999999,0.0
ENG-01028,2024-09-01,76.7,87.41,74.45,75.66,61.57,75.21,Watch,0,963557.7,2024-09-01,0,0.0,0.2479,0.0
ENG-00698,2024-09-01,71.75,68.5,61.41,70.12,36.71,61.78,Watch,1,2161244.26,2024-11-01,2,4322488.52,0.3822,1652055.1123439998
ENG-01016,2024-09-01,75.1,77.51,81.75,71.85,52.14,71.83,Watch,0,1362650.76,2024-09-01,0,0.0,0.28170000000000006,0.0
ENG-00946,2024-09-01,79.12,86.08,98.15,70.95,58.38,78.95,Watch,0,1143354.23,2024-09-01,0,0.0,0.21050000000000002,0.0
ENG-01111,2024-09-01,77.47,79.49,79.5,69.18,59.18,73.38,Watch,0,1278098.16,2024-09-01,0,0.0,0.2662,0.0
ENG-00318,2024-09-01,78.5,85.39,72.82,74.61,58.49,74.16,Watch,0,1015106.94,2024-09-01,0,0.0,0.2584000000000001,0.0
ENG-00010,2024-09-01,68.58,60.4,38.72,67.36,36.62,54.4,Critical,1,1863957.97,2024-11-01,2,3727915.94,0.45599999999999996,1699929.6686399998
ENG-01099,2024-10-01,64.3,54.41,81.7,69.51,40.58,61.84,Watch,1,1370461.1,2024-12-01,2,2740922.2,0.38159999999999994,1045935.9115199998
ENG-00261,2024-10-01,87.0,89.21,94.31,81.06,67.23,84.06,Healthy,0,1213302.03,2024-10-01,0,0.0,0.1594,0.0
ENG-00595,2024-10-01,62.15,49.26,57.52,66.75,31.47,53.2,Critical,1,1755593.29,2025-02-01,4,7022373.16,0.46799999999999997,3286470.63888
ENG-00954,2024-10-01,77.45,85.36,95.34,78.11,73.13,81.84,Healthy,0,1286482.46,2024-10-01,0,0.0,0.18159999999999998,0.0
ENG-00376,2024-10-01,58.92,52.32,61.96,67.37,26.91,53.07,Critical,1,1673779.66,2025-05-01,7,11716457.62,0.46930000000000005,5498533.561066
ENG-00442,2024-10-01,80.54,92.38,85.07,74.47,64.6,79.72,Watch,0,1769418.86,2024-10-01,0,0.0,0.20279999999999998,0.0
ENG-00932,2024-10-01,67.56,64.31,67.12,65.86,23.58,57.77,Critical,1,3358692.44,2024-12-01,2,6717384.88,0.4223,2836751.634824
ENG-00410,2024-10-01,84.6,88.61,97.36,68.05,60.28,80.61,Healthy,0,898177.03,2024-10-01,0,0.0,0.19389999999999996,0.0
ENG-00415,2024-10-01,76.52,85.53,81.88,68.34,60.78,75.02,Watch,0,811225.81,2024-10-01,0,0.0,0.24980000000000002,0.0
ENG-01124,2024-10-01,67.78,56.59,59.44,65.67,30.46,56.09,Critical,1,1718510.69,2024-12-01,2,3437021.38,0.43909999999999993,1509196.0879579997
ENG-01122,2024-10-01,76.29,88.77,100.0,72.2,63.87,80.43,Healthy,0,2479272.9,2024-10-01,0,0.0,0.19569999999999999,0.0
ENG-00363,2024-10-01,78.63,81.54,89.48,75.79,48.04,74.84,Watch,0,3074255.61,2024-10-01,0,0.0,0.25159999999999993,0.0
ENG-01104,2024-10-01,76.63,77.18,78.72,70.86,68.58,74.68,Watch,0,1842632.41,2024-10-01,0,0.0,0.2532,0.0
ENG-00562,2024-10-01,74.46,79.52,78.85,76.0,53.73,72.43,Watch,0,2362632.55,2024-10-01,0,0.0,0.27569999999999995,0.0
ENG-00521,2024-10-01,79.19,89.94,78.15,77.06,67.08,78.39,Watch,0,835272.02,2024-10-01,0,0.0,0.21609999999999996,0.0
ENG-01044,2024-10-01,80.12,73.24,79.72,74.05,56.75,73.08,Watch,0,1401150.01,2024-10-01,0,0.0,0.2692,0.0
ENG-00319,2024-10-01,61.07,57.36,49.47,64.52,36.65,53.64,Critical,1,3286027.84,2025-01-01,3,9858083.52,0.4636,4570207.5198719995
ENG-00816,2024-10-01,53.14,37.34,60.5,63.39,14.58,45.28,Critical,1,1256658.84,2025-02-01,4,5026635.36,0.5471999999999999,2750574.868992
ENG-00136,2024-10-01,54.63,44.95,59.19,65.88,24.3,49.23,Critical,1,2659034.36,2025-01-01,3,7977103.08,0.5077,4049975.2337160003
ENG-00029,2024-10-01,70.34,81.07,63.69,63.36,47.25,65.49,Watch,0,784934.34,2024-10-01,0,0.0,0.3451000000000001,0.0
ENG-00080,2024-10-01,54.02,39.98,47.79,57.95,19.93,43.74,Critical,1,2241687.72,2025-01-01,3,6725063.16,0.5626,3783520.533816
ENG-00754,2024-10-01,86.85,88.95,94.63,77.32,54.01,80.83,Healthy,0,2608183.7,2024-10-01,0,0.0,0.19169999999999998,0.0
ENG-00067,2024-10-01,71.42,70.37,67.3,69.37,54.89,66.77,Watch,1,2826724.41,2025-01-01,3,8480173.23,0.33230000000000004,2817961.5643290007
ENG-00002,2024-10-01,60.79,56.45,44.54,58.01,25.26,49.15,Critical,1,2919287.51,2025-01-01,3,8757862.53,0.5085,4453373.096504999
ENG-01063,2024-11-01,73.5,68.92,79.47,74.68,54.59,70.17,Watch,0,1404932.76,2024-11-01,0,0.0,0.2983,0.0
ENG-01147,2024-11-01,78.33,83.64,87.2,73.05,64.19,77.54,Watch,0,2026881.57,2024-11-01,0,0.0,0.2245999999999999,0.0
ENG-00788,2024-11-01,61.48,56.22,67.98,73.75,47.14,60.7,Watch,1,1129666.44,2025-03-01,4,4518665.76,0.393,1775835.64368
ENG-00106,2024-11-01,62.61,66.28,45.46,66.36,47.13,57.38,Critical,0,1101984.35,2024-11-01,0,0.0,0.4262,0.0
ENG-00348,2024-11-01,84.92,89.21,79.47,69.19,58.77,77.1,Watch,0,1723321.12,2024-11-01,0,0.0,0.2290000000000001,0.0
ENG-00155,2024-11-01,79.24,87.07,94.11,78.38,65.61,80.93,Healthy,0,3248178.1,2024-11-01,0,0.0,0.19069999999999998,0.0
ENG-00299,2024-11-01,63.12,55.39,54.95,66.64,24.48,52.74,Critical,1,1132681.44,2025-01-01,2,2265362.88,0.4726,1070610.497088
ENG-00573,2024-11-01,77.87,85.61,82.18,70.37,60.19,75.62,Watch,0,909266.28,2024-11-01,0,0.0,0.2437999999999999,0.0
ENG-00616,2024-11-01,75.54,87.89,94.88,73.76,54.62,77.43,Watch,0,2177896.74,2024-11-01,0,0.0,0.2256999999999999,0.0
ENG-00842,2024-11-01,78.85,69.08,65.19,75.42,52.88,68.46,Watch,0,2374220.37,2024-11-01,0,0.0,0.3154,0.0
ENG-00976,2024-11-01,83.21,90.13,88.74,76.02,57.34,79.45,Watch,0,3563891.46,2024-11-01,0,0.0,0.20550000000000002,0.0
ENG-00248,2024-11-01,60.36,47.59,66.42,62.66,16.41,50.57,Critical,1,2403766.89,2025-01-01,2,4807533.78,0.49429999999999996,2376363.947454
ENG-00253,2024-11-01,76.15,88.5,98.59,81.2,69.51,82.54,Healthy,0,2375805.63,2024-11-01,0,0.0,0.17459999999999998,0.0
ENG-00896,2024-11-01,65.91,57.41,45.63,63.98,31.52,52.99,Critical,1,1266337.28,2025-02-01,3,3799011.84,0.47009999999999996,1785915.465984
ENG-00972,2024-11-01,83.58,87.44,95.79,69.49,70.33,82.03,Healthy,0,1413463.04,2024-11-01,0,0.0,0.17969999999999997,0.0
ENG-00609,2024-11-01,69.64,63.43,46.49,68.12,49.08,59.43,Critical,1,1358572.52,2025-06-01,7,9510007.64,0.40569999999999995,3858210.099548
ENG-01156,2024-11-01,65.5,69.69,49.25,68.57,43.15,59.08,Critical,1,1701482.63,2025-03-01,4,6805930.52,0.4092,2784986.768784
ENG-00612,2024-11-01,70.0,83.27,99.17,64.72,58.92,75.48,Watch,0,1453725.48,2024-11-01,0,0.0,0.24519999999999997,0.0
ENG-00567,2024-11-01,80.36,84.36,95.13,78.57,56.02,78.98,Watch,0,2238847.73,2024-11-01,0,0.0,0.21019999999999994,0.0
ENG-00966,2024-11-01,63.74,57.15,60.84,68.92,38.12,57.49,Critical,1,1525655.27,2025-02-01,3,4576965.8100000005,0.42510000000000003,1945668.1658310003
ENG-00001,2024-11-01,75.38,77.96,85.71,68.84,55.72,73.05,Watch,0,849199.4,2024-11-01,0,0.0,0.2695000000000001,0.0
ENG-00948,2024-12-01,69.43,74.97,84.69,72.75,47.97,69.8,Watch,0,2763001.57,2024-12-01,0,0.0,0.30200000000000005,0.0
ENG-01135,2024-12-01,77.35,82.32,70.89,84.58,56.81,74.03,Watch,0,2857549.73,2024-12-01,0,0.0,0.25970000000000004,0.0
ENG-00161,2024-12-01,66.9,67.32,82.36,71.62,43.19,66.04,Watch,1,1640863.31,2025-02-01,2,3281726.62,0.3395999999999999,1114474.3601519996
ENG-00591,2024-12-01,73.26,82.22,95.27,78.27,58.6,77.27,Watch,0,1254752.95,2024-12-01,0,0.0,0.22730000000000006,0.0
ENG-00334,2024-12-01,86.05,86.59,100.0,84.28,65.29,84.53,Healthy,0,2729014.36,2024-12-01,0,0.0,0.15469999999999995,0.0
ENG-00693,2024-12-01,76.19,62.02,75.86,76.89,45.74,67.31,Watch,0,999645.49,2024-12-01,0,0.0,0.32689999999999997,0.0
ENG-00594,2024-12-01,66.15,61.08,74.91,65.45,40.37,61.63,Watch,0,1027292.82,2024-12-01,0,0.0,0.38369999999999993,0.0
ENG-00582,2024-12-01,71.05,79.92,65.32,69.25,59.11,69.02,Watch,0,1016287.58,2024-12-01,0,0.0,0.3098000000000001,0.0
ENG-00335,2024-12-01,70.35,66.91,68.15,58.61,48.83,63.16,Watch,0,1352619.84,2024-12-01,0,0.0,0.36840000000000006,0.0
ENG-00769,2024-12-01,69.34,66.58,80.65,69.97,47.25,66.73,Watch,0,1903794.86,2024-12-01,0,0.0,0.3327,0.0
ENG-00021,2024-12-01,58.09,53.98,44.82,68.7,24.94,49.58,Critical,1,2251293.79,2025-07-01,7,15759056.530000001,0.5042,7945716.302426
ENG-00019,2024-12-01,75.47,77.58,93.74,67.45,49.27,73.1,Watch,0,2133546.58,2024-12-01,0,0.0,0.269,0.0
ENG-00822,2024-12-01,63.47,61.14,80.41,67.1,31.37,60.52,Watch,1,2582246.86,2025-03-01,3,7746740.58,0.39479999999999993,3058413.1809839993
ENG-00459,2024-12-01,82.4,89.4,88.12,70.25,61.36,78.91,Watch,0,2213749.99,2024-12-01,0,0.0,0.2109000000000001,0.0
ENG-00887,2024-12-01,78.91,87.94,93.1,70.92,63.94,79.36,Watch,0,1292791.53,2024-12-01,0,0.0,0.20640000000000003,0.0
ENG-00507,2024-12-01,75.53,75.97,73.58,74.94,58.72,71.78,Watch,0,833630.71,2024-12-01,0,0.0,0.2822,0.0
ENG-01118,2024-12-01,67.86,52.99,60.47,68.03,37.62,57.38,Critical,1,868720.41,2025-02-01,2,1737440.82,0.4262,740497.2774840001
ENG-01094,2024-12-01,71.27,60.58,62.99,61.01,44.34,60.55,Watch,1,1061503.74,2025-02-01,2,2123007.48,0.3945000000000001,837526.4508600001
ENG-00094,2024-12-01,82.85,89.33,98.65,78.18,80.89,86.21,Healthy,0,2521164.11,2024-12-01,0,0.0,0.13790000000000002,0.0
ENG-00625,2024-12-01,75.9,92.47,94.67,80.75,64.56,81.43,Healthy,0,1672009.7,2024-12-01,0,0.0,0.18569999999999998,0.0
ENG-00066,2024-12-01,68.85,61.73,66.43,59.53,41.96,60.16,Watch,0,1059603.61,2024-12-01,0,0.0,0.3984000000000001,0.0
ENG-01189,2024-12-01,64.49,55.38,64.35,65.86,44.87,58.92,Critical,1,2808631.89,2025-03-01,3,8425895.67,0.41079999999999994,3461357.9412359996
ENG-00944,2024-12-01,79.36,84.29,88.82,74.97,55.61,76.83,Watch,0,1068898.31,2024-12-01,0,0.0,0.23170000000000002,0.0
ENG-00389,2024-12-01,51.99,45.27,38.0,66.51,28.05,45.24,Critical,1,1350937.16,2025-08-01,8,10807497.28,0.5476,5918185.510527999
ENG-00677,2024-12-01,67.63,74.66,90.68,75.93,53.47,72.06,Watch,0,2607394.72,2024-12-01,0,0.0,0.2794,0.0
ENG-00431,2024-12-01,78.17,80.88,75.39,71.35,51.97,71.89,Watch,0,1265228.94,2024-12-01,0,0.0,0.2811,0.0
ENG-00518,2024-12-01,79.82,82.95,96.89,77.99,57.02,79.03,Watch,0,1911843.17,2024-12-01,0,0.0,0.2097,0.0
ENG-00535,2024-12-01,81.32,89.99,88.95,73.27,73.2,81.75,Healthy,0,2628347.03,2024-12-01,0,0.0,0.1825,0.0
ENG-00829,2024-12-01,75.78,73.58,100.0,73.42,73.84,79.44,Watch,0,1730903.22,2024-12-01,0,0.0,0.2056,0.0
ENG-01194,2024-12-01,88.5,90.93,88.31,80.71,70.17,84.11,Healthy,0,1537968.64,2024-12-01,0,0.0,0.15890000000000004,0.0
ENG-01109,2024-12-01,84.76,83.91,60.48,75.72,56.66,72.76,Watch,0,3104480.53,2024-12-01,0,0.0,0.2724,0.0
ENG-00943,2024-12-01,63.24,52.13,38.41,71.08,34.42,51.46,Critical,1,866705.63,2025-04-01,4,3466822.52,0.48539999999999994,1682795.6512079998
ENG-00176,2024-12-01,64.75,52.55,50.05,70.38,37.08,54.68,Critical,1,3188381.37,2025-02-01,2,6376762.74,0.45320000000000005,2889948.8737680004
ENG-01157,2024-12-01,77.92,80.88,79.93,78.94,68.66,77.21,Watch,0,2758063.24,2024-12-01,0,0.0,0.2279000000000001,0.0
ENG-00727,2024-12-01,72.39,73.53,92.4,58.61,49.78,70.03,Watch,0,3142203.33,2024-12-01,0,0.0,0.29969999999999997,0.0
ENG-00757,2024-12-01,76.98,91.5,89.01,79.03,73.41,81.88,Healthy,0,2582984.78,2024-12-01,0,0.0,0.18120000000000003,0.0
ENG-01083,2024-12-01,80.31,81.61,72.61,71.34,62.66,74.15,Watch,0,2381606.04,2024-12-01,0,0.0,0.25849999999999995,0.0
ENG-00978,2024-12-01,78.2,85.48,72.94,74.77,55.21,73.49,Watch,0,1290704.63,2024-12-01,0,0.0,0.2651,0.0
ENG-00198,2024-12-01,66.43,70.36,61.52,74.84,41.5,62.51,Watch,0,1069878.28,2024-12-01,0,0.0,0.3749,0.0
ENG-00314,2024-12-01,69.3,65.9,79.35,72.61,37.29,64.72,Watch,1,2423535.16,2025-04-01,4,9694140.64,0.3528,3420092.8177920002
ENG-00217,2024-12-01,80.1,86.71,90.1,71.96,77.92,81.76,Healthy,0,2237240.78,2024-12-01,0,0.0,0.1823999999999999,0.0
ENG-00722,2024-12-01,72.63,69.18,65.79,69.47,43.79,64.33,Watch,0,2965828.53,2024-12-01,0,0.0,0.3567,0.0
ENG-00706,2024-12-01,59.17,48.97,32.52,67.24,36.81,48.54,Critical,1,1045479.98,2025-02-01,2,2090959.96,0.5146,1076007.9954159998
ENG-00278,2024-12-01,76.89,82.76,77.14,73.58,73.48,76.94,Watch,0,983756.27,2024-12-01,0,0.0,0.23060000000000003,0.0
ENG-00298,2024-12-01,77.28,73.95,90.92,67.14,51.9,72.74,Watch,0,1122241.46,2024-12-01,0,0.0,0.27260000000000006,0.0
ENG-00785,2025-01-01,81.71,91.85,86.85,73.9,46.73,76.6,Watch,0,3387188.94,2025-01-01,0,0.0,0.2340000000000001,0.0
ENG-00624,2025-01-01,75.3,76.44,91.95,71.79,58.18,74.91,Watch,0,2738680.22,2025-01-01,0,0.0,0.2509,0.0
ENG-00626,2025-01-01,73.3,61.22,62.45,74.52,38.24,61.88,Watch,1,2250404.48,2025-09-01,8,18003235.84,0.3812,6862833.502208
ENG-00821,2025-01-01,74.48,85.76,89.74,74.05,62.63,77.35,Watch,0,2807723.48,2025-01-01,0,0.0,0.22650000000000003,0.0
ENG-00062,2025-01-01,86.61,87.51,84.94,67.89,67.44,79.81,Watch,0,2310056.43,2025-01-01,0,0.0,0.20189999999999997,0.0
ENG-00360,2025-01-01,86.19,92.12,100.0,68.45,71.24,84.49,Healthy,0,1561087.23,2025-01-01,0,0.0,0.15510000000000002,0.0
ENG-00187,2025-01-01,63.1,53.85,53.87,57.58,46.25,55.21,Critical,1,948070.54,2025-03-01,2,1896141.08,0.44789999999999996,849281.589732
ENG-01121,2025-01-01,75.1,76.88,94.63,66.08,50.69,73.13,Watch,0,1371682.7,2025-01-01,0,0.0,0.26870000000000005,0.0
ENG-01040,2025-01-01,78.26,86.73,91.28,68.13,69.79,79.35,Watch,0,2110875.36,2025-01-01,0,0.0,0.20650000000000002,0.0
ENG-00781,2025-01-01,83.09,83.16,94.69,65.99,65.8,79.4,Watch,0,1305116.98,2025-01-01,0,0.0,0.20599999999999996,0.0
ENG-00904,2025-01-01,70.4,72.74,80.79,75.67,48.18,69.29,Watch,0,2923333.59,2025-01-01,0,0.0,0.30709999999999993,0.0
ENG-00679,2025-01-01,76.95,77.81,49.86,75.97,53.59,66.88,Watch,0,2755295.7,2025-01-01,0,0.0,0.33120000000000005,0.0
ENG-00617,2025-01-01,85.05,90.2,99.28,81.91,68.87,85.22,Healthy,0,2599571.62,2025-01-01,0,0.0,0.14780000000000004,0.0
ENG-00296,2025-01-01,87.4,86.9,95.43,78.76,68.54,83.84,Healthy,0,1070866.73,2025-01-01,0,0.0,0.16159999999999997,0.0
ENG-00036,2025-01-01,76.47,70.35,80.47,79.68,43.71,69.98,Watch,0,3447047.58,2025-01-01,0,0.0,0.3001999999999999,0.0
ENG-00223,2025-01-01,78.75,89.56,98.15,83.55,54.25,80.61,Healthy,0,1416528.45,2025-01-01,0,0.0,0.19389999999999996,0.0
ENG-00192,2025-01-01,83.6,93.53,91.89,74.88,67.06,82.63,Healthy,0,2017422.37,2025-01-01,0,0.0,0.17370000000000008,0.0
ENG-00052,2025-01-01,60.06,66.61,81.29,68.31,39.35,62.71,Watch,0,1458412.97,2025-01-01,0,0.0,0.3729,0.0
ENG-00306,2025-01-01,66.76,60.38,70.89,68.24,33.79,59.94,Critical,1,1312365.83,2025-04-01,3,3937097.49,0.40060000000000007,1577201.2544940005
ENG-00037,2025-01-01,73.91,75.1,79.74,63.51,47.1,68.39,Watch,0,2791218.1,2025-01-01,0,0.0,0.31610000000000005,0.0
ENG-00381,2025-01-01,66.9,74.46,54.78,71.55,52.69,63.84,Watch,0,809356.06,2025-01-01,0,0.0,0.3615999999999999,0.0
ENG-00156,2025-01-01,59.21,58.93,68.96,60.95,31.79,55.88,Critical,1,3065204.12,2025-07-01,6,18391224.72,0.4411999999999999,8114208.346463998
ENG-00340,2025-01-01,62.36,67.74,46.8,73.17,39.3,57.33,Critical,1,2765985.76,2025-06-01,5,13829928.799999999,0.42669999999999997,5901230.618959999
ENG-00888,2025-01-01,82.33,86.91,70.8,76.83,57.34,75.12,Watch,0,2394979.27,2025-01-01,0,0.0,0.2487999999999999,0.0
