engagement_id,period_start,expected_hours,actual_hours,utilisation_rate
ENG-00031,2025-05-01,160.0,122.68,0.7668
ENG-00031,2025-06-01,160.0,89.88,0.5618
ENG-00032,2024-11-01,160.0,126.53,0.7908
ENG-00032,2024-12-01,160.0,89.88,0.5617
ENG-00032,2025-01-01,160.0,127.97,0.7998
ENG-00032,2025-02-01,160.0,96.94,0.6059
ENG-00032,2025-03-01,160.0,59.43,0.3714
ENG-00032,2025-04-01,160.0,99.65,0.6228
ENG-00032,2025-05-01,160.0,121.0,0.7563
ENG-00032,2025-06-01,160.0,90.73,0.5671
ENG-00032,2025-07-01,160.0,128.04,0.8002
ENG-00032,2025-08-01,160.0,92.38,0.5774
ENG-00032,2025-09-01,160.0,131.26,0.8204
ENG-00033,2025-02-01,160.0,88.58,0.5536
ENG-00033,2025-03-01,160.0,120.29,0.7518
ENG-00033,2025-04-01,160.0,98.55,0.6159
ENG-00033,2025-05-01,160.0,114.12,0.7133
ENG-00034,2025-01-01,160.0,104.28,0.6518
ENG-00034,2025-02-01,160.0,90.8,0.5675
ENG-00034,2025-03-01,160.0,98.56,0.616
ENG-00034,2025-04-01,160.0,88.95,0.5559
ENG-00034,2025-05-01,160.0,59.45,0.3715
ENG-00035,2024-08-01,160.0,98.46,0.6153
ENG-00035,2024-09-01,160.0,98.81,0.6175
ENG-00035,2024-10-01,160.0,138.73,0.8671
ENG-00035,2024-11-01,160.0,111.82,0.6989
ENG-00035,2024-12-01,160.0,116.75,0.7297
ENG-00035,2025-01-01,160.0,119.36,0.746
ENG-00035,2025-02-01,160.0,116.95,0.731
ENG-00035,2025-03-01,160.0,104.52,0.6532
ENG-00035,2025-04-01,160.0,108.76,0.6797
ENG-00036,2024-04-01,160.0,108.3,0.6769
ENG-00036,2024-05-01,160.0,121.83,0.7615
ENG-00036,2024-06-01,160.0,96.83,0.6052
ENG-00036,2024-07-01,160.0,105.29,0.658
ENG-00036,2024-08-01,160.0,94.12,0.5883
ENG-00036,2024-09-01,160.0,103.53,0.647
ENG-00036,2024-10-01,160.0,118.86,0.7429
ENG-00036,2024-11-01,160.0,132.21,0.8263
ENG-00036,2024-12-01,160.0,79.51,0.4969
ENG-00036,2025-01-01,160.0,120.93,0.7558
ENG-00037,2024-03-01,160.0,87.44,0.5465
ENG-00037,2024-04-01,160.0,126.86,0.7929
ENG-00037,2024-05-01,160.0,112.34,0.7021
ENG-00037,2024-06-01,160.0,130.18,0.8136
ENG-00037,2024-07-01,160.0,112.24,0.7015
ENG-00037,2024-08-01,160.0,106.25,0.6641
ENG-00037,2024-09-01,160.0,99.75,0.6234
ENG-00037,2024-10-01,160.0,107.9,0.6744
ENG-00037,2024-11-01,160.0,137.03,0.8564
ENG-00037,2024-12-01,160.0,112.85,0.7053
ENG-00037,2025-01-01,160.0,107.01,0.6688
ENG-00038,2024-08-01,160.0,114.34,0.7146
ENG-00038,2024-09-01,160.0,85.51,0.5345
ENG-00038,2024-10-01,160.0,122.17,0.7636
ENG-00038,2024-11-01,160.0,92.34,0.5771
ENG-00038,2024-12-01,160.0,106.16,0.6635
ENG-00038,2025-01-01,160.0,103.14,0.6446
ENG-00038,2025-02-01,160.0,112.04,0.7002
ENG-00038,2025-03-01,160.0,100.94,0.6309
ENG-00038,2025-04-01,160.0,96.21,0.6013
ENG-00038,2025-05-01,160.0,107.07,0.6692
ENG-00039,2024-03-01,160.0,144.29,0.9018
ENG-00039,2024-04-01,160.0,112.12,0.7008
ENG-00039,2024-05-01,160.0,84.63,0.5289
ENG-00039,2024-06-01,160.0,95.63,0.5977
ENG-00039,2024-07-01,160.0,85.06,0.5316
ENG-00039,2024-08-01,160.0,93.6,0.585
ENG-00039,2024-09-01,160.0,73.68,0.4605
ENG-00039,2024-10-01,160.0,128.76,0.8048
ENG-00039,2024-11-01,160.0,107.27,0.6704
ENG-00039,2024-12-01,160.0,111.42,0.6964
ENG-00039,2025-01-01,160.0,104.85,0.6553
ENG-00039,2025-02-01,160.0,100.33,0.627
ENG-00039,2025-03-01,160.0,82.51,0.5157
ENG-00040,2024-08-01,160.0,121.62,0.7601
ENG-00040,2024-09-01,160.0,89.91,0.5619
ENG-00040,2024-10-01,160.0,89.05,0.5566
ENG-00040,2024-11-01,160.0,134.14,0.8384
ENG-00040,2024-12-01,160.0,128.25,0.8016
ENG-00040,2025-01-01,160.0,88.44,0.5527
ENG-00040,2025-02-01,160.0,118.5,0.7406
ENG-00040,2025-03-01,160.0,111.35,0.6959
ENG-00040,2025-04-01,160.0,79.79,0.4987
ENG-00040,2025-05-01,160.0,104.44,0.6528
ENG-00040,2025-06-01,160.0,137.0,0.8562
ENG-00040,2025-07-01,160.0,103.88,0.6493
ENG-00040,2025-08-01,160.0,128.42,0.8026
ENG-00041,2025-11-01,160.0,122.64,0.7665
ENG-00041,2025-12-01,160.0,138.89,0.8681
ENG-00041,2026-01-01,160.0,132.28,0.8268
ENG-00041,2026-02-01,160.0,80.85,0.5053
ENG-00041,2026-03-01,160.0,118.21,0.7388
ENG-00041,2026-04-01,160.0,80.57,0.5036
ENG-00041,2026-05-01,160.0,103.27,0.6454
ENG-00041,2026-06-01,160.0,140.55,0.8784
ENG-00041,2026-07-01,160.0,126.23,0.789
ENG-00041,2026-08-01,160.0,117.43,0.7339
ENG-00042,2024-01-01,160.0,128.9,0.8056
ENG-00042,2024-02-01,160.0,107.13,0.6695
ENG-00042,2024-03-01,160.0,112.2,0.7013
ENG-00042,2024-04-01,160.0,113.8,0.7112
ENG-00043,2025-11-01,160.0,102.84,0.6428
ENG-00043,2025-12-01,160.0,111.29,0.6955
ENG-00043,2026-01-01,160.0,100.3,0.6269
ENG-00043,2026-02-01,160.0,113.07,0.7067
ENG-00043,2026-03-01,160.0,112.75,0.7047
ENG-00043,2026-04-01,160.0,116.34,0.7272
ENG-00043,2026-05-01,160.0,118.23,0.7389
ENG-00043,2026-06-01,160.0,114.77,0.7173
ENG-00044,2025-08-01,160.0,108.6,0.6788
ENG-00044,2025-09-01,160.0,123.25,0.7703
ENG-00044,2025-10-01,160.0,77.26,0.4829
ENG-00044,2025-11-01,160.0,89.04,0.5565
ENG-00044,2025-12-01,160.0,119.46,0.7466
ENG-00044,2026-01-01,160.0,81.77,0.511
ENG-00044,2026-02-01,160.0,94.63,0.5915
ENG-00044,2026-03-01,160.0,106.71,0.6669
ENG-00044,2026-04-01,160.0,98.74,0.6171
ENG-00045,2025-10-01,160.0,98.95,0.6185
ENG-00045,2025-11-01,160.0,100.73,0.6296
ENG-00045,2025-12-01,160.0,112.14,0.7009
ENG-00045,2026-01-01,160.0,97.24,0.6078
ENG-00045,2026-02-01,160.0,109.44,0.684
ENG-00045,2026-03-01,160.0,103.56,0.6472
ENG-00045,2026-04-01,160.0,99.0,0.6187
ENG-00045,2026-05-01,160.0,82.68,0.5167
ENG-00045,2026-06-01,160.0,98.08,0.613
ENG-00045,2026-07-01,160.0,102.23,0.639
ENG-00045,2026-08-01,160.0,120.05,0.7503
ENG-00046,2026-08-01,160.0,107.52,0.672
ENG-00046,2026-09-01,160.0,107.22,0.6701
ENG-00046,2026-10-01,160.0,100.42,0.6276
ENG-00046,2026-11-01,160.0,94.38,0.5899
ENG-00047,2025-05-01,160.0,100.13,0.6258
ENG-00047,2025-06-01,160.0,113.51,0.7094
ENG-00047,2025-07-01,160.0,113.89,0.7118
ENG-00047,2025-08-01,160.0,82.73,0.5171
ENG-00047,2025-09-01,160.0,109.33,0.6833
ENG-00047,2025-10-01,160.0,86.21,0.5388
ENG-00047,2025-11-01,160.0,83.32,0.5208
ENG-00047,2025-12-01,160.0,118.09,0.7381
ENG-00047,2026-01-01,160.0,92.07,0.5754
ENG-00047,2026-02-01,160.0,86.43,0.5402
ENG-00047,2026-03-01,160.0,99.22,0.6201
ENG-00048,2024-12-01,160.0,120.82,0.7551
ENG-00048,2025-01-01,160.0,71.74,0.4484
ENG-00048,2025-02-01,160.0,92.39,0.5775
ENG-00048,2025-03-01,160.0,118.6,0.7413
ENG-00048,2025-04-01,160.0,78.5,0.4906
ENG-00048,2025-05-01,160.0,121.4,0.7587
ENG-00048,2025-06-01,160.0,106.86,0.6679
ENG-00048,2025-07-01,160.0,92.49,0.578
ENG-00048,2025-08-01,160.0,121.71,0.7607
ENG-00048,2025-09-01,160.0,93.38,0.5836
ENG-00048,2025-10-01,160.0,116.82,0.7301
ENG-00049,2024-03-01,160.0,113.66,0.7104
ENG-00049,2024-04-01,160.0,115.22,0.7201
ENG-00049,2024-05-01,160.0,96.57,0.6036
ENG-00049,2024-06-01,160.0,110.24,0.689
ENG-00049,2024-07-01,160.0,104.21,0.6513
ENG-00049,2024-08-01,160.0,129.7,0.8106
ENG-00049,2024-09-01,160.0,119.89,0.7493
ENG-00049,2024-10-01,160.0,117.5,0.7344
ENG-00049,2024-11-01,160.0,90.24,0.564
ENG-00049,2024-12-01,160.0,104.33,0.6521
ENG-00049,2025-01-01,160.0,117.31,0.7332
ENG-00049,2025-02-01,160.0,100.43,0.6277
ENG-00050,2025-09-01,160.0,97.68,0.6105
ENG-00050,2025-10-01,160.0,111.08,0.6942
ENG-00050,2025-11-01,160.0,74.21,0.4638
ENG-00050,2025-12-01,160.0,107.59,0.6724
ENG-00050,2026-01-01,160.0,120.89,0.7555
ENG-00050,2026-02-01,160.0,92.89,0.5806
ENG-00051,2024-08-01,160.0,105.42,0.6589
ENG-00051,2024-09-01,160.0,89.59,0.5599
ENG-00051,2024-10-01,160.0,106.65,0.6666
ENG-00051,2024-11-01,160.0,96.69,0.6043
ENG-00051,2024-12-01,160.0,91.37,0.5711
ENG-00051,2025-01-01,160.0,88.24,0.5515
ENG-00051,2025-02-01,160.0,111.79,0.6987
ENG-00051,2025-03-01,160.0,104.04,0.6503
ENG-00051,2025-04-01,160.0,109.29,0.6831
ENG-00051,2025-05-01,160.0,135.23,0.8452
ENG-00051,2025-06-01,160.0,127.84,0.799
ENG-00052,2024-05-01,160.0,83.17,0.5198
ENG-00052,2024-06-01,160.0,106.8,0.6675
ENG-00052,2024-07-01,160.0,103.46,0.6466
ENG-00052,2024-08-01,160.0,96.44,0.6028
ENG-00052,2024-09-01,160.0,85.35,0.5334
ENG-00052,2024-10-01,160.0,94.71,0.5919
ENG-00052,2024-11-01,160.0,86.2,0.5387
ENG-00052,2024-12-01,160.0,94.38,0.5899
ENG-00052,2025-01-01,160.0,114.53,0.7158
ENG-00053,2025-10-01,160.0,99.79,0.6237
ENG-00053,2025-11-01,160.0,94.68,0.5917
ENG-00053,2025-12-01,160.0,116.71,0.7295
ENG-00053,2026-01-01,160.0,123.43,0.7714
ENG-00053,2026-02-01,160.0,112.27,0.7017
ENG-00053,2026-03-01,160.0,116.63,0.7289
ENG-00053,2026-04-01,160.0,112.81,0.7051
ENG-00053,2026-05-01,160.0,137.15,0.8572
ENG-00053,2026-06-01,160.0,99.98,0.6249
ENG-00053,2026-07-01,160.0,111.36,0.696
ENG-00054,2025-05-01,160.0,105.28,0.658
ENG-00054,2025-06-01,160.0,122.0,0.7625
ENG-00054,2025-07-01,160.0,72.12,0.4508
ENG-00054,2025-08-01,160.0,91.24,0.5703
ENG-00054,2025-09-01,160.0,91.75,0.5735
ENG-00054,2025-10-01,160.0,134.63,0.8414
ENG-00054,2025-11-01,160.0,84.89,0.5306
ENG-00054,2025-12-01,160.0,121.63,0.7602
ENG-00054,2026-01-01,160.0,102.62,0.6413
ENG-00054,2026-02-01,160.0,120.14,0.7509
ENG-00054,2026-03-01,160.0,92.53,0.5783
ENG-00055,2024-02-01,160.0,100.66,0.6291
ENG-00055,2024-03-01,160.0,129.56,0.8098
ENG-00055,2024-04-01,160.0,100.38,0.6274
ENG-00055,2024-05-01,160.0,89.69,0.5606
ENG-00055,2024-06-01,160.0,115.3,0.7206
ENG-00055,2024-07-01,160.0,73.73,0.4608
ENG-00055,2024-08-01,160.0,104.34,0.6521
ENG-00056,2024-05-01,160.0,139.86,0.8741
ENG-00056,2024-06-01,160.0,110.46,0.6904
ENG-00056,2024-07-01,160.0,83.92,0.5245
ENG-00056,2024-08-01,160.0,85.41,0.5338
ENG-00056,2024-09-01,160.0,105.1,0.6569
ENG-00056,2024-10-01,160.0,119.52,0.747
ENG-00056,2024-11-01,160.0,113.93,0.7121
ENG-00056,2024-12-01,160.0,79.71,0.4982
ENG-00056,2025-01-01,160.0,114.07,0.713
ENG-00056,2025-02-01,160.0,84.18,0.5262
ENG-00056,2025-03-01,160.0,88.08,0.5505
ENG-00056,2025-04-01,160.0,121.62,0.7601
ENG-00057,2024-06-01,160.0,110.76,0.6922
ENG-00057,2024-07-01,160.0,115.93,0.7246
ENG-00057,2024-08-01,160.0,94.72,0.592
ENG-00057,2024-09-01,160.0,122.35,0.7647
ENG-00057,2024-10-01,160.0,100.23,0.6264
ENG-00057,2024-11-01,160.0,101.02,0.6313
ENG-00057,2024-12-01,160.0,96.99,0.6062
ENG-00057,2025-01-01,160.0,92.2,0.5762
ENG-00057,2025-02-01,160.0,117.17,0.7323
ENG-00057,2025-03-01,160.0,93.99,0.5875
ENG-00057,2025-04-01,160.0,88.31,0.5519
ENG-00057,2025-05-01,160.0,128.66,0.8041
ENG-00057,2025-06-01,160.0,128.24,0.8015
ENG-00058,2025-08-01,160.0,95.86,0.5991
ENG-00058,2025-09-01,160.0,126.33,0.7895
ENG-00058,2025-10-01,160.0,96.17,0.6011
ENG-00058,2025-11-01,160.0,137.68,0.8605
ENG-00058,2025-12-01,160.0,121.29,0.758
ENG-00058,2026-01-01,160.0,98.8,0.6175
ENG-00058,2026-02-01,160.0,116.21,0.7263
ENG-00058,2026-03-01,160.0,89.63,0.5602
ENG-00058,2026-04-01,160.0,107.65,0.6728
ENG-00058,2026-05-01,160.0,99.52,0.622
ENG-00058,2026-06-01,160.0,102.17,0.6385
ENG-00058,2026-07-01,160.0,118.75,0.7422
ENG-00058,2026-08-01,160.0,91.83,0.574
ENG-00059,2024-09-01,160.0,89.66,0.5604
ENG-00059,2024-10-01,160.0,94.31,0.5894
ENG-00059,2024-11-01,160.0,118.88,0.743
ENG-00059,2024-12-01,160.0,86.62,0.5414
ENG-00059,2025-01-01,160.0,89.71,0.5607
ENG-00059,2025-02-01,160.0,82.06,0.5129
ENG-00059,2025-03-01,160.0,122.81,0.7676
ENG-00059,2025-04-01,160.0,89.35,0.5585
ENG-00060,2025-04-01,160.0,91.48,0.5717
ENG-00060,2025-05-01,160.0,91.56,0.5722
ENG-00060,2025-06-01,160.0,102.44,0.6402
ENG-00060,2025-07-01,160.0,121.29,0.7581
ENG-00060,2025-08-01,160.0,87.26,0.5454
ENG-00060,2025-09-01,160.0,99.22,0.6201
ENG-00060,2025-10-01,160.0,110.26,0.6891
ENG-00060,2025-11-01,160.0,112.32,0.702
ENG-00060,2025-12-01,160.0,124.52,0.7783
