engagement_id,client_id,talent_id,role,start_date,expected_end_date,monthly_contract_value,status,termination_date,outcome
ENG-00027,C-0055,T-0029,Analytics Engineer,2024-07-01,2025-07-01,1834920.02,Active,,Renewed
ENG-00028,C-0058,T-0114,ML Engineer,2026-07-01,2027-02-01,2160018.83,Active,,Completed
ENG-00029,C-0012,T-0053,BI Developer,2024-04-01,2024-10-01,784934.34,Active,,Completed
ENG-00030,C-0025,T-0380,Data Analyst,2024-08-01,2025-08-01,1705494.72,Active,,Renewed
ENG-00031,C-0012,T-0493,BI Developer,2024-08-01,2025-06-01,2285218.34,Active,,Completed
ENG-00032,C-0004,T-0277,BI Developer,2024-11-01,2025-09-01,1054354.42,Active,,Renewed
ENG-00033,C-0058,T-0089,Data Analyst,2025-02-01,2025-08-01,2048826.68,Terminated,2025-05-01,Early Termination
ENG-00034,C-0056,T-0011,Data Engineer,2025-01-01,2025-09-01,3515766.29,Terminated,2025-05-01,Early Termination
ENG-00035,C-0056,T-0489,ML Engineer,2024-08-01,2025-04-01,2132318.11,Active,,Renewed
ENG-00036,C-0054,T-0159,Data Engineer,2024-04-01,2025-01-01,3447047.58,Active,,Completed
ENG-00037,C-0039,T-0057,AI Engineer,2024-03-01,2025-01-01,2791218.1,Active,,Completed
ENG-00038,C-0032,T-0089,Data Analyst,2024-08-01,2025-05-01,1511810.38,Active,,Renewed
ENG-00039,C-0060,T-0128,Data Scientist,2024-03-01,2025-03-01,2701981.26,Active,,Completed
ENG-00040,C-0034,T-0328,Data Engineer,2024-08-01,2025-08-01,1093796.94,Active,,Renewed
ENG-00041,C-0039,T-0446,AI Engineer,2025-11-01,2026-09-01,1019057.97,Active,,Renewed
ENG-00042,C-0013,T-0138,AI Engineer,2024-01-01,2024-07-01,1102643.33,Terminated,2024-04-01,Early Termination
ENG-00043,C-0045,T-0344,Data Analyst,2025-11-01,2026-06-01,3387282.88,Active,,Completed
ENG-00044,C-0050,T-0033,Data Engineer,2025-08-01,2026-04-01,1743893.21,Active,,Completed
ENG-00045,C-0041,T-0006,Data Analyst,2025-10-01,2026-09-01,3077391.81,Active,,Completed
ENG-00046,C-0030,T-0028,Data Scientist,2026-08-01,2027-04-01,1772541.62,Terminated,2026-11-01,Early Termination
ENG-00047,C-0012,T-0462,Analytics Engineer,2025-05-01,2026-05-01,1626645.05,Terminated,2026-03-01,Early Termination
ENG-00048,C-0003,T-0291,Analytics Engineer,2024-12-01,2025-10-01,1771166.68,Active,,Completed
ENG-00049,C-0038,T-0403,AI Engineer,2024-03-01,2025-02-01,1110224.13,Active,,Completed
ENG-00050,C-0041,T-0011,Data Engineer,2025-09-01,2026-09-01,2130684.86,Terminated,2026-02-01,Early Termination
ENG-00051,C-0047,T-0012,ML Engineer,2024-08-01,2025-06-01,1385968.3,Active,,Completed
ENG-00052,C-0058,T-0425,Analytics Engineer,2024-05-01,2025-01-01,1458412.97,Active,,Completed
ENG-00053,C-0030,T-0052,Data Engineer,2025-10-01,2026-07-01,2865421.59,Active,,Completed
ENG-00054,C-0050,T-0078,AI Engineer,2025-05-01,2026-03-01,2720951.6,Active,,Completed
ENG-00055,C-0043,T-0260,Data Scientist,2024-02-01,2024-08-01,1213313.12,Active,,Renewed
ENG-00056,C-0017,T-0304,Data Engineer,2024-05-01,2025-04-01,1675673.48,Active,,Renewed
ENG-00057,C-0051,T-0115,BI Developer,2024-06-01,2025-06-01,1345079.51,Active,,Renewed
ENG-00058,C-0004,T-0223,AI Engineer,2025-08-01,2026-08-01,1654485.71,Active,,Renewed
ENG-00059,C-0036,T-0338,ML Engineer,2024-09-01,2025-04-01,1798710.15,Active,,Completed
ENG-00060,C-0057,T-0222,Data Analyst,2025-04-01,2026-03-01,2814083.16,Active,,Renewed
ENG-00061,C-0040,T-0192,AI Engineer,2025-10-01,2026-06-01,2247246.8,Terminated,2026-02-01,Early Termination
ENG-00062,C-0057,T-0036,ML Engineer,2024-01-01,2025-01-01,2310056.43,Active,,Renewed
ENG-00063,C-0004,T-0226,BI Developer,2025-11-01,2026-11-01,2853703.48,Active,,Renewed
ENG-00064,C-0032,T-0402,BI Developer,2024-08-01,2025-08-01,2886973.54,Terminated,2025-06-01,Early Termination
ENG-00065,C-0047,T-0314,Data Scientist,2024-06-01,2025-04-01,3335733.83,Active,,Completed
ENG-00066,C-0039,T-0447,Data Scientist,2024-06-01,2024-12-01,1059603.61,Active,,Renewed
ENG-00067,C-0053,T-0064,BI Developer,2024-02-01,2025-01-01,2826724.41,Terminated,2024-10-01,Early Termination
ENG-00068,C-0028,T-0006,Data Analyst,2026-08-01,2027-03-01,767924.58,Active,,Completed
ENG-00069,C-0041,T-0275,BI Developer,2026-05-01,2027-04-01,1419436.47,Active,,Renewed
ENG-00070,C-0026,T-0090,ML Engineer,2026-04-01,2026-12-01,3486302.92,Active,,Renewed
ENG-00071,C-0053,T-0297,ML Engineer,2025-07-01,2026-02-01,2219764.77,Terminated,2025-12-01,Early Termination
ENG-00072,C-0008,T-0452,AI Engineer,2024-04-01,2025-03-01,1897994.9,Active,,Renewed
ENG-00073,C-0016,T-0169,BI Developer,2025-05-01,2026-02-01,1980469.62,Active,,Renewed
ENG-00074,C-0006,T-0275,BI Developer,2026-03-01,2027-01-01,1346087.4,Active,,Renewed
ENG-00075,C-0043,T-0341,Data Analyst,2025-07-01,2026-06-01,775513.51,Active,,Renewed
ENG-00076,C-0014,T-0076,Analytics Engineer,2026-02-01,2027-02-01,2352193.6,Active,,Renewed
ENG-00077,C-0020,T-0449,ML Engineer,2026-01-01,2026-12-01,3566994.74,Active,,Renewed
ENG-00078,C-0051,T-0102,Data Scientist,2026-06-01,2027-03-01,2119312.42,Active,,Renewed
ENG-00079,C-0022,T-0405,AI Engineer,2025-12-01,2026-06-01,1339807.24,Terminated,2026-04-01,Early Termination
ENG-00080,C-0009,T-0330,ML Engineer,2024-06-01,2025-01-01,2241687.72,Terminated,2024-10-01,Early Termination
ENG-00081,C-0002,T-0071,Analytics Engineer,2026-05-01,2027-01-01,2146328.85,Active,,Completed
ENG-00082,C-0014,T-0363,AI Engineer,2024-11-01,2025-11-01,2369555.86,Active,,Renewed
ENG-00083,C-0055,T-0099,Data Engineer,2026-04-01,2026-12-01,985174.09,Terminated,2026-10-01,Early Termination
ENG-00084,C-0033,T-0300,Data Analyst,2024-08-01,2025-07-01,1155460.63,Active,,Renewed
ENG-00085,C-0060,T-0480,Analytics Engineer,2025-02-01,2025-08-01,1738047.72,Active,,Renewed
ENG-00086,C-0013,T-0477,ML Engineer,2024-06-01,2025-04-01,856337.57,Terminated,2025-01-01,Early Termination
ENG-00087,C-0022,T-0436,AI Engineer,2025-08-01,2026-08-01,1774730.86,Active,,Renewed
ENG-00088,C-0010,T-0248,ML Engineer,2024-04-01,2025-02-01,2463760.23,Active,,Renewed
ENG-00089,C-0024,T-0280,Analytics Engineer,2025-06-01,2026-05-01,1179882.98,Terminated,2025-10-01,Early Termination
ENG-00090,C-0034,T-0151,AI Engineer,2026-03-01,2027-02-01,1255800.65,Terminated,2026-12-01,Early Termination
ENG-00091,C-0049,T-0461,ML Engineer,2024-08-01,2025-08-01,1387008.65,Active,,Completed
ENG-00092,C-0023,T-0239,Analytics Engineer,2026-07-01,2027-04-01,797653.1,Terminated,2026-11-01,Early Termination
ENG-00093,C-0047,T-0386,Data Engineer,2025-02-01,2025-09-01,1273463.46,Active,,Completed
ENG-00094,C-0038,T-0180,ML Engineer,2024-02-01,2024-12-01,2521164.11,Active,,Completed
ENG-00095,C-0018,T-0371,AI Engineer,2025-06-01,2026-05-01,776215.19,Terminated,2026-01-01,Early Termination
ENG-00096,C-0055,T-0113,Data Scientist,2025-06-01,2025-12-01,1140023.14,Active,,Completed
ENG-00097,C-0027,T-0367,Data Scientist,2025-10-01,2026-07-01,1315693.53,Active,,Completed
ENG-00098,C-0010,T-0023,Data Scientist,2024-03-01,2024-11-01,2140097.93,Terminated,2024-09-01,Early Termination
ENG-00099,C-0058,T-0053,BI Developer,2024-11-01,2025-07-01,3486547.63,Active,,Renewed
ENG-00100,C-0055,T-0177,BI Developer,2024-01-01,2024-09-01,2319254.64,Active,,Renewed
ENG-00101,C-0003,T-0242,AI Engineer,2024-07-01,2025-02-01,1779463.12,Active,,Completed
ENG-00102,C-0055,T-0356,AI Engineer,2024-08-01,2025-02-01,2117863.18,Active,,Completed
ENG-00103,C-0057,T-0180,ML Engineer,2025-04-01,2025-12-01,2559327.99,Terminated,2025-07-01,Early Termination
ENG-00104,C-0050,T-0010,Data Analyst,2025-07-01,2026-03-01,2768688.62,Active,,Renewed
ENG-00105,C-0016,T-0163,Data Scientist,2024-12-01,2025-07-01,1792540.57,Active,,Completed
ENG-00106,C-0038,T-0220,Data Analyst,2024-03-01,2024-11-01,1101984.35,Active,,Completed
ENG-00107,C-0033,T-0272,AI Engineer,2026-03-01,2027-02-01,2207939.51,Active,,Renewed
ENG-00108,C-0038,T-0323,ML Engineer,2024-07-01,2025-03-01,3344292.5,Active,,Renewed
ENG-00109,C-0037,T-0124,BI Developer,2025-06-01,2026-06-01,1317480.89,Active,,Completed
ENG-00110,C-0039,T-0306,Data Analyst,2024-07-01,2025-06-01,803828.05,Terminated,2025-04-01,Early Termination
ENG-00111,C-0031,T-0316,ML Engineer,2025-08-01,2026-05-01,2224143.78,Active,,Completed
ENG-00112,C-0042,T-0389,ML Engineer,2025-07-01,2026-03-01,2790993.98,Active,,Completed
ENG-00113,C-0032,T-0262,Analytics Engineer,2026-08-01,2027-02-01,3457451.01,Active,,Completed
ENG-00114,C-0001,T-0406,Data Scientist,2024-04-01,2025-02-01,1711733.94,Active,,Renewed
ENG-00115,C-0003,T-0111,ML Engineer,2025-02-01,2026-02-01,2115123.33,Active,,Renewed
ENG-00116,C-0058,T-0356,AI Engineer,2025-12-01,2026-11-01,2329044.34,Active,,Completed
ENG-00117,C-0055,T-0023,Data Scientist,2026-07-01,2027-05-01,3420616.62,Active,,Renewed
ENG-00118,C-0036,T-0052,Data Engineer,2025-07-01,2026-03-01,2089178.26,Terminated,2025-10-01,Early Termination
ENG-00119,C-0011,T-0433,Analytics Engineer,2025-08-01,2026-06-01,1094020.3,Terminated,2026-01-01,Early Termination
ENG-00120,C-0047,T-0238,Data Analyst,2024-09-01,2025-09-01,797438.61,Active,,Completed
ENG-00121,C-0009,T-0311,AI Engineer,2025-02-01,2025-11-01,1247990.77,Active,,Completed
ENG-00122,C-0023,T-0302,Data Analyst,2025-07-01,2026-03-01,1394469.17,Active,,Renewed
ENG-00123,C-0020,T-0348,Data Analyst,2025-06-01,2026-01-01,2676381.39,Active,,Renewed
ENG-00124,C-0001,T-0123,Data Engineer,2025-06-01,2026-02-01,2186183.32,Active,,Renewed
ENG-00125,C-0049,T-0090,ML Engineer,2026-07-01,2027-05-01,3496277.57,Active,,Renewed
ENG-00126,C-0031,T-0022,Data Engineer,2025-04-01,2025-10-01,2124642.35,Terminated,2025-08-01,Early Termination
ENG-00127,C-0019,T-0433,Analytics Engineer,2024-10-01,2025-08-01,1857810.51,Active,,Completed
ENG-00128,C-0031,T-0112,Data Analyst,2025-11-01,2026-07-01,1022440.83,Active,,Renewed
ENG-00129,C-0001,T-0288,Data Engineer,2026-07-01,2027-02-01,2443799.87,Active,,Renewed
ENG-00130,C-0027,T-0228,Analytics Engineer,2024-06-01,2025-06-01,1402200.14,Active,,Renewed
ENG-00131,C-0032,T-0082,Data Analyst,2025-02-01,2025-10-01,1458559.84,Active,,Renewed
ENG-00132,C-0021,T-0207,Data Scientist,2024-12-01,2025-10-01,2051957.41,Active,,Completed
ENG-00133,C-0050,T-0042,ML Engineer,2025-12-01,2026-12-01,1347296.86,Active,,Renewed
ENG-00134,C-0015,T-0089,Data Analyst,2025-09-01,2026-09-01,3470167.75,Active,,Completed
ENG-00135,C-0009,T-0070,Data Analyst,2024-04-01,2024-12-01,967770.59,Terminated,2024-07-01,Early Termination
ENG-00136,C-0032,T-0413,Data Engineer,2024-05-01,2025-01-01,2659034.36,Terminated,2024-10-01,Early Termination
ENG-00137,C-0054,T-0284,AI Engineer,2026-07-01,2027-01-01,825371.98,Active,,Completed
ENG-00138,C-0023,T-0463,Data Engineer,2024-06-01,2025-06-01,810745.56,Active,,Renewed
ENG-00139,C-0003,T-0218,Analytics Engineer,2025-03-01,2025-09-01,1290589.03,Active,,Completed
ENG-00140,C-0059,T-0101,Analytics Engineer,2025-07-01,2026-01-01,1058445.32,Active,,Renewed
ENG-00141,C-0027,T-0305,AI Engineer,2026-06-01,2027-04-01,2435273.36,Active,,Completed
ENG-00142,C-0011,T-0465,Data Analyst,2025-07-01,2026-01-01,2160581.77,Terminated,2025-10-01,Early Termination
ENG-00143,C-0037,T-0267,ML Engineer,2025-08-01,2026-04-01,1109286.99,Active,,Renewed
ENG-00144,C-0020,T-0009,AI Engineer,2026-04-01,2026-12-01,818237.66,Active,,Renewed
ENG-00145,C-0057,T-0152,Data Engineer,2026-01-01,2026-12-01,2293250.74,Active,,Completed
ENG-00146,C-0018,T-0463,Data Engineer,2025-06-01,2026-01-01,1191925.44,Active,,Renewed
ENG-00147,C-0034,T-0260,Data Scientist,2025-11-01,2026-06-01,2285082.77,Active,,Renewed
ENG-00148,C-0033,T-0476,AI Engineer,2024-08-01,2025-03-01,1795015.48,Active,,Renewed
ENG-00149,C-0015,T-0255,Data Scientist,2024-08-01,2025-08-01,1782973.8,Active,,Completed
ENG-00150,C-0030,T-0007,AI Engineer,2025-07-01,2026-03-01,2124627.5,Active,,Renewed
ENG-00151,C-0007,T-0437,Analytics Engineer,2026-08-01,2027-03-01,1271516.04,Terminated,2026-11-01,Early Termination
ENG-00152,C-0039,T-0382,ML Engineer,2025-09-01,2026-09-01,1292948.71,Active,,Completed
ENG-00153,C-0046,T-0358,AI Engineer,2025-10-01,2026-09-01,3152129.77,Terminated,2026-05-01,Early Termination
ENG-00154,C-0058,T-0486,Data Analyst,2026-06-01,2027-03-01,1013159.31,Terminated,2026-10-01,Early Termination
ENG-00155,C-0020,T-0099,Data Engineer,2024-02-01,2024-11-01,3248178.1,Active,,Completed
ENG-00156,C-0018,T-0453,BI Developer,2024-10-01,2025-07-01,3065204.12,Terminated,2025-01-01,Early Termination
ENG-00157,C-0033,T-0117,Data Engineer,2024-02-01,2024-08-01,860082.63,Active,,Completed
ENG-00158,C-0042,T-0486,Data Analyst,2026-06-01,2026-12-01,2119884.45,Terminated,2026-09-01,Early Termination
ENG-00159,C-0060,T-0096,AI Engineer,2025-07-01,2026-01-01,873188.67,Active,,Renewed
ENG-00160,C-0002,T-0276,Data Analyst,2025-05-01,2026-04-01,766124.15,Active,,Renewed
ENG-00161,C-0015,T-0395,Data Engineer,2024-02-01,2025-02-01,1640863.31,Terminated,2024-12-01,Early Termination
ENG-00162,C-0016,T-0040,Data Analyst,2026-04-01,2026-12-01,3229831.5,Terminated,2026-08-01,Early Termination
ENG-00163,C-0016,T-0034,BI Developer,2026-03-01,2026-10-01,1037700.43,Active,,Completed
ENG-00164,C-0028,T-0425,Analytics Engineer,2024-08-01,2025-03-01,2883864.07,Terminated,2025-01-01,Early Termination
ENG-00165,C-0053,T-0031,Data Scientist,2024-06-01,2025-02-01,2066280.62,Active,,Completed
ENG-00166,C-0002,T-0307,ML Engineer,2024-10-01,2025-05-01,863115.54,Terminated,2025-03-01,Early Termination
ENG-00167,C-0049,T-0470,ML Engineer,2024-04-01,2025-01-01,1420000.94,Terminated,2024-07-01,Early Termination
ENG-00168,C-0038,T-0308,Analytics Engineer,2025-11-01,2026-07-01,2132964.23,Active,,Completed
ENG-00169,C-0037,T-0241,Data Scientist,2026-08-01,2027-03-01,900878.96,Active,,Renewed
ENG-00170,C-0041,T-0209,ML Engineer,2026-08-01,2027-08-01,3007857.98,Active,,Completed
ENG-00171,C-0007,T-0320,AI Engineer,2026-08-01,2027-02-01,1038394.05,Active,,Renewed
ENG-00172,C-0045,T-0286,Data Scientist,2025-11-01,2026-11-01,2180359.43,Terminated,2026-09-01,Early Termination
ENG-00173,C-0015,T-0251,BI Developer,2025-07-01,2026-03-01,3269546.95,Active,,Completed
ENG-00174,C-0031,T-0077,AI Engineer,2025-05-01,2026-04-01,2770023.01,Active,,Renewed
ENG-00175,C-0041,T-0332,Data Scientist,2026-08-01,2027-05-01,2744292.82,Terminated,2026-11-01,Early Termination
ENG-00176,C-0037,T-0370,BI Developer,2024-08-01,2025-02-01,3188381.37,Terminated,2024-12-01,Early Termination
ENG-00177,C-0020,T-0355,Data Scientist,2025-08-01,2026-08-01,2100002.23,Active,,Renewed
ENG-00178,C-0024,T-0038,AI Engineer,2025-12-01,2026-10-01,798154.21,Active,,Completed
ENG-00179,C-0029,T-0352,BI Developer,2026-05-01,2026-11-01,1358954.47,Active,,Renewed
ENG-00180,C-0003,T-0365,AI Engineer,2024-12-01,2025-07-01,1079101.02,Active,,Completed
ENG-00181,C-0044,T-0092,Data Scientist,2025-05-01,2026-02-01,3333175.95,Active,,Completed
ENG-00182,C-0006,T-0425,Analytics Engineer,2026-05-01,2026-12-01,1300835.88,Active,,Completed
ENG-00183,C-0028,T-0262,Analytics Engineer,2024-01-01,2024-07-01,2917547.59,Terminated,2024-04-01,Early Termination
ENG-00184,C-0040,T-0237,AI Engineer,2025-05-01,2026-01-01,1670922.35,Terminated,2025-10-01,Early Termination
ENG-00185,C-0005,T-0362,AI Engineer,2025-11-01,2026-09-01,1309404.62,Active,,Renewed
ENG-00186,C-0060,T-0255,Data Scientist,2025-02-01,2026-01-01,2248274.4,Terminated,2025-08-01,Early Termination
ENG-00187,C-0023,T-0273,AI Engineer,2024-06-01,2025-03-01,948070.54,Terminated,2025-01-01,Early Termination
ENG-00188,C-0001,T-0157,Data Analyst,2024-05-01,2025-02-01,847554.58,Active,,Completed
ENG-00189,C-0040,T-0464,Data Engineer,2025-02-01,2025-11-01,1010941.04,Terminated,2025-06-01,Early Termination
ENG-00190,C-0034,T-0485,AI Engineer,2024-07-01,2025-02-01,1496419.36,Active,,Completed
ENG-00191,C-0039,T-0066,Data Analyst,2026-07-01,2027-02-01,1361677.33,Active,,Completed
ENG-00192,C-0046,T-0367,Data Scientist,2024-07-01,2025-01-01,2017422.37,Active,,Completed
ENG-00193,C-0029,T-0012,ML Engineer,2024-05-01,2024-11-01,2456498.17,Terminated,2024-08-01,Early Termination
ENG-00194,C-0050,T-0185,Data Scientist,2024-04-01,2024-12-01,2000167.95,Terminated,2024-07-01,Early Termination
ENG-00195,C-0023,T-0485,AI Engineer,2024-05-01,2025-05-01,966947.71,Active,,Renewed
ENG-00196,C-0033,T-0088,Data Analyst,2024-02-01,2025-02-01,1292415.75,Terminated,2024-06-01,Early Termination
ENG-00197,C-0010,T-0189,Data Analyst,2026-04-01,2027-01-01,930343.28,Active,,Completed
ENG-00198,C-0038,T-0110,Data Engineer,2024-03-01,2024-12-01,1069878.28,Active,,Completed
ENG-00199,C-0016,T-0365,AI Engineer,2026-03-01,2027-02-01,3184394.67,Terminated,2026-12-01,Early Termination
ENG-00200,C-0042,T-0232,AI Engineer,2025-08-01,2026-04-01,2848563.28,Terminated,2026-01-01,Early Termination
ENG-00201,C-0049,T-0297,ML Engineer,2025-02-01,2025-12-01,1346947.86,Active,,Renewed
ENG-00202,C-0052,T-0472,ML Engineer,2026-02-01,2026-10-01,2786720.23,Active,,Completed
ENG-00203,C-0056,T-0261,Data Analyst,2025-10-01,2026-10-01,1308493.95,Active,,Renewed
ENG-00204,C-0008,T-0368,ML Engineer,2025-12-01,2026-09-01,1190041.53,Active,,Completed
ENG-00205,C-0009,T-0049,ML Engineer,2026-04-01,2027-02-01,1943505.1,Active,,Renewed
ENG-00206,C-0056,T-0108,BI Developer,2025-08-01,2026-06-01,2228446.62,Terminated,2026-01-01,Early Termination
ENG-00207,C-0023,T-0474,AI Engineer,2024-01-01,2024-08-01,2289677.43,Active,,Completed
ENG-00208,C-0002,T-0430,Data Analyst,2025-07-01,2026-01-01,949319.41,Active,,Renewed
ENG-00209,C-0018,T-0329,Analytics Engineer,2026-07-01,2027-02-01,2332541.48,Terminated,2026-11-01,Early Termination
ENG-00210,C-0051,T-0190,AI Engineer,2026-03-01,2026-10-01,1840936.46,Terminated,2026-06-01,Early Termination
ENG-00211,C-0022,T-0100,BI Developer,2024-09-01,2025-07-01,1205178.31,Active,,Completed
ENG-00212,C-0005,T-0426,Analytics Engineer,2025-12-01,2026-11-01,2402790.15,Active,,Completed
ENG-00213,C-0044,T-0393,ML Engineer,2025-04-01,2026-04-01,2195592.65,Active,,Renewed
ENG-00214,C-0012,T-0121,AI Engineer,2026-05-01,2026-11-01,2053574.98,Terminated,2026-09-01,Early Termination
ENG-00215,C-0022,T-0295,Analytics Engineer,2024-09-01,2025-09-01,1702056.39,Active,,Renewed
ENG-00216,C-0001,T-0310,Analytics Engineer,2024-01-01,2024-08-01,1016686.64,Terminated,2024-04-01,Early Termination
ENG-00217,C-0037,T-0239,Analytics Engineer,2024-04-01,2024-12-01,2237240.78,Active,,Renewed
ENG-00218,C-0027,T-0464,Data Engineer,2024-10-01,2025-06-01,1332220.64,Active,,Renewed
ENG-00219,C-0053,T-0063,Data Analyst,2025-11-01,2026-07-01,3470779.81,Active,,Completed
ENG-00220,C-0021,T-0129,Data Analyst,2025-11-01,2026-08-01,1428717.76,Active,,Renewed
ENG-00221,C-0013,T-0048,Analytics Engineer,2026-06-01,2027-02-01,1473210.69,Active,,Renewed
ENG-00222,C-0010,T-0347,Analytics Engineer,2024-12-01,2025-07-01,3178268.0,Active,,Completed
ENG-00223,C-0013,T-0323,ML Engineer,2024-05-01,2025-01-01,1416528.45,Active,,Renewed
ENG-00224,C-0028,T-0494,AI Engineer,2026-06-01,2027-02-01,2778766.37,Active,,Renewed
ENG-00225,C-0006,T-0272,AI Engineer,2025-07-01,2026-04-01,1707176.34,Active,,Completed
ENG-00226,C-0025,T-0076,Analytics Engineer,2025-11-01,2026-05-01,1735217.23,Active,,Renewed
ENG-00227,C-0052,T-0226,BI Developer,2025-09-01,2026-09-01,1002370.6,Active,,Renewed
ENG-00228,C-0047,T-0045,ML Engineer,2025-08-01,2026-08-01,997902.3,Active,,Renewed
ENG-00229,C-0039,T-0336,Data Scientist,2025-02-01,2025-12-01,1352294.66,Active,,Completed
ENG-00230,C-0054,T-0338,ML Engineer,2025-02-01,2025-08-01,1276051.83,Terminated,2025-05-01,Early Termination
ENG-00231,C-0047,T-0429,BI Developer,2024-02-01,2024-08-01,2868705.98,Terminated,2024-05-01,Early Termination
ENG-00232,C-0040,T-0170,Data Analyst,2026-01-01,2027-01-01,1010147.65,Terminated,2026-05-01,Early Termination
ENG-00233,C-0052,T-0156,BI Developer,2024-12-01,2025-07-01,2244009.43,Active,,Completed
ENG-00234,C-0008,T-0036,ML Engineer,2026-05-01,2027-01-01,3274913.31,Active,,Renewed
ENG-00235,C-0050,T-0208,BI Developer,2024-07-01,2025-01-01,3392874.35,Active,,Completed
ENG-00236,C-0018,T-0238,Data Analyst,2024-11-01,2025-11-01,1126131.93,Active,,Renewed
ENG-00237,C-0044,T-0378,Data Engineer,2024-06-01,2025-03-01,2341685.24,Active,,Completed
ENG-00238,C-0055,T-0377,Data Engineer,2026-08-01,2027-02-01,1268372.68,Active,,Renewed
ENG-00239,C-0030,T-0071,Analytics Engineer,2026-02-01,2026-12-01,2032623.14,Active,,Renewed
ENG-00240,C-0006,T-0143,BI Developer,2024-11-01,2025-09-01,1105296.07,Terminated,2025-05-01,Early Termination
ENG-00241,C-0023,T-0256,Data Scientist,2025-12-01,2026-12-01,1162381.47,Active,,Renewed
ENG-00242,C-0025,T-0168,Data Engineer,2026-08-01,2027-08-01,1142833.55,Active,,Renewed
ENG-00243,C-0057,T-0013,Data Engineer,2024-10-01,2025-08-01,2114270.64,Active,,Renewed
ENG-00244,C-0057,T-0423,Data Analyst,2026-03-01,2027-02-01,1065095.05,Active,,Renewed
ENG-00245,C-0035,T-0366,ML Engineer,2025-10-01,2026-10-01,1127193.27,Active,,Renewed
ENG-00246,C-0058,T-0261,Data Analyst,2026-01-01,2026-11-01,1043720.41,Terminated,2026-07-01,Early Termination
ENG-00247,C-0027,T-0159,Data Engineer,2024-12-01,2025-12-01,883618.47,Active,,Renewed
ENG-00248,C-0025,T-0422,AI Engineer,2024-07-01,2025-01-01,2403766.89,Terminated,2024-11-01,Early Termination
ENG-00249,C-0051,T-0018,Data Analyst,2024-10-01,2025-10-01,2422192.94,Active,,Renewed
ENG-00250,C-0041,T-0224,Data Scientist,2025-04-01,2025-10-01,1075761.08,Active,,Completed
ENG-00251,C-0032,T-0401,Analytics Engineer,2025-07-01,2026-02-01,3066091.43,Active,,Renewed
