engagement_id,as_of_date,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs,health_band,churn_next_90d
ENG-00005,2024-09-01,76.21,67.01,95.75,79.98,53.54,74.31,Watch,0
ENG-00005,2024-10-01,73.31,71.71,93.84,72.22,56.32,73.53,Watch,0
ENG-00005,2024-11-01,76.34,69.3,34.79,73.57,53.88,61.72,Watch,0
ENG-00005,2024-12-01,73.33,68.16,66.73,72.19,49.1,65.96,Watch,0
ENG-00005,2025-01-01,71.83,77.77,82.45,76.6,47.65,71.02,Watch,0
ENG-00005,2025-02-01,77.75,70.03,70.9,70.59,55.59,69.33,Watch,0
ENG-00006,2025-02-01,84.27,96.02,98.01,81.96,76.66,87.5,Healthy,0
ENG-00006,2025-03-01,85.81,91.78,95.86,72.72,69.07,83.7,Healthy,0
ENG-00006,2025-04-01,84.18,93.75,100.0,80.66,63.56,84.61,Healthy,0
ENG-00006,2025-05-01,86.64,87.17,90.28,74.33,77.11,83.72,Healthy,0
ENG-00006,2025-06-01,84.67,91.32,87.26,77.65,68.73,82.28,Healthy,0
ENG-00006,2025-07-01,80.59,85.06,100.0,76.5,78.39,84.31,Healthy,0
ENG-00006,2025-08-01,87.56,87.92,100.0,76.65,72.92,85.55,Healthy,0
ENG-00006,2025-09-01,82.33,93.4,95.85,82.57,60.21,82.86,Healthy,0
ENG-00006,2025-10-01,82.09,93.95,95.62,76.54,78.67,85.65,Healthy,0
ENG-00006,2025-11-01,87.42,93.93,90.46,77.01,66.68,83.62,Healthy,0
ENG-00007,2024-07-01,84.72,84.12,100.0,72.45,57.34,80.34,Healthy,0
ENG-00007,2024-08-01,83.38,82.24,71.52,81.81,65.08,76.88,Watch,0
ENG-00007,2024-09-01,76.99,74.18,79.92,70.84,62.04,73.1,Watch,0
ENG-00007,2024-10-01,78.02,89.31,83.45,80.36,63.32,78.78,Watch,0
ENG-00007,2024-11-01,77.43,75.68,95.12,75.3,51.05,75.02,Watch,0
ENG-00007,2024-12-01,73.01,86.17,95.09,74.25,67.3,79.1,Watch,0
ENG-00007,2025-01-01,78.6,79.17,53.15,73.89,58.4,68.88,Watch,0
ENG-00007,2025-02-01,77.27,75.33,96.16,76.19,61.06,77.26,Watch,0
ENG-00008,2024-11-01,83.78,85.97,86.01,68.22,69.3,79.43,Watch,0
ENG-00008,2024-12-01,75.38,82.66,94.53,70.85,64.48,77.81,Watch,0
ENG-00008,2025-01-01,80.66,85.31,91.92,70.77,55.93,77.41,Watch,0
ENG-00008,2025-02-01,79.15,85.19,79.34,74.11,69.17,77.64,Watch,0
ENG-00008,2025-03-01,81.1,93.56,96.75,72.31,57.66,80.71,Healthy,0
ENG-00008,2025-04-01,76.28,75.11,89.86,72.63,50.34,73.03,Watch,0
ENG-00008,2025-05-01,77.98,84.75,89.9,73.4,52.46,75.93,Watch,0
ENG-00008,2025-06-01,79.37,83.85,94.83,78.94,62.51,79.92,Watch,0
ENG-00009,2025-03-01,78.81,86.68,98.74,73.93,64.13,80.7,Healthy,0
ENG-00009,2025-04-01,82.31,81.6,100.0,76.23,65.34,81.4,Healthy,0
ENG-00009,2025-05-01,80.35,89.11,99.76,77.89,65.7,82.69,Healthy,0
ENG-00009,2025-06-01,82.97,89.45,72.73,81.42,75.18,80.43,Healthy,0
ENG-00009,2025-07-01,84.07,89.9,95.8,87.42,66.99,84.67,Healthy,0
ENG-00009,2025-08-01,83.05,87.92,94.64,76.34,70.1,82.75,Healthy,0
ENG-00009,2025-09-01,83.12,81.2,80.03,68.49,60.99,75.5,Watch,0
ENG-00009,2025-10-01,75.9,81.26,97.88,67.82,67.71,78.52,Watch,1
ENG-00009,2025-11-01,75.87,74.99,92.74,66.16,44.94,71.43,Watch,1
ENG-00009,2025-12-01,71.88,68.21,53.66,76.87,42.85,62.44,Watch,1
ENG-00010,2024-05-01,80.55,91.19,100.0,69.74,65.24,81.88,Healthy,0
ENG-00010,2024-06-01,78.69,78.96,96.46,73.61,58.95,77.59,Watch,0
ENG-00010,2024-07-01,77.15,76.41,72.05,65.57,45.59,67.93,Watch,1
ENG-00010,2024-08-01,73.33,70.07,70.75,72.5,45.94,66.56,Watch,1
ENG-00010,2024-09-01,68.58,60.4,38.72,67.36,36.62,54.4,Critical,1
ENG-00011,2024-11-01,77.27,80.42,94.21,67.49,64.57,77.28,Watch,0
ENG-00011,2024-12-01,80.99,82.88,84.41,76.72,60.95,77.41,Watch,0
ENG-00011,2025-01-01,80.94,87.98,97.71,69.69,59.89,79.8,Watch,0
ENG-00011,2025-02-01,78.28,79.9,97.4,79.11,62.59,79.41,Watch,0
ENG-00011,2025-03-01,75.92,86.46,82.18,77.85,70.51,78.49,Watch,0
ENG-00011,2025-04-01,77.12,81.11,87.28,67.41,50.15,73.1,Watch,0
ENG-00011,2025-05-01,78.31,75.5,97.73,76.94,54.29,76.62,Watch,0
ENG-00011,2025-06-01,76.66,80.06,90.65,66.52,52.09,73.7,Watch,0
ENG-00012,2026-02-01,79.03,85.51,94.36,75.15,62.07,79.42,Watch,0
ENG-00012,2026-03-01,77.85,80.77,62.64,70.17,44.08,67.48,Watch,0
ENG-00012,2026-04-01,81.21,81.88,99.42,74.24,55.01,78.7,Watch,0
ENG-00012,2026-05-01,76.11,76.98,76.1,77.14,65.0,74.21,Watch,0
ENG-00012,2026-06-01,76.17,89.28,98.77,62.35,67.92,79.59,Watch,0
ENG-00012,2026-07-01,80.51,78.8,99.87,79.36,56.2,79.0,Watch,0
ENG-00012,2026-08-01,80.0,85.17,94.57,73.02,59.32,78.77,Watch,0
ENG-00013,2026-04-01,69.35,75.29,66.58,67.8,52.97,66.47,Watch,0
ENG-00013,2026-05-01,73.23,71.37,57.74,63.09,47.28,63.05,Watch,0
ENG-00013,2026-06-01,65.57,66.64,64.87,72.72,44.36,62.48,Watch,0
ENG-00013,2026-07-01,70.07,68.22,89.28,75.66,44.24,69.21,Watch,0
ENG-00013,2026-08-01,69.94,65.26,87.96,74.61,48.53,69.03,Watch,0
ENG-00014,2024-03-01,66.02,64.53,62.51,68.18,40.32,60.2,Watch,0
ENG-00014,2024-04-01,59.72,61.55,57.67,59.9,26.63,53.09,Critical,1
ENG-00014,2024-05-01,58.52,48.54,64.09,69.02,24.09,52.33,Critical,1
ENG-00014,2024-06-01,53.43,40.11,56.9,63.27,17.89,45.83,Critical,1
ENG-00015,2025-05-01,75.65,76.44,84.2,72.8,50.18,72.0,Watch,0
ENG-00015,2025-06-01,79.65,78.7,87.86,80.77,42.59,73.86,Watch,0
ENG-00015,2025-07-01,74.92,76.96,86.98,71.53,48.41,71.93,Watch,0
ENG-00015,2025-08-01,75.11,86.41,89.41,79.23,53.54,76.54,Watch,0
ENG-00015,2025-09-01,83.93,81.07,96.73,73.94,58.16,79.26,Watch,0
ENG-00015,2025-10-01,74.22,91.84,96.06,66.28,58.62,77.8,Watch,0
ENG-00015,2025-11-01,79.08,72.68,57.19,81.41,64.07,70.77,Watch,0
ENG-00015,2025-12-01,76.48,71.63,70.53,71.35,54.6,69.17,Watch,0
ENG-00015,2026-01-01,78.95,79.01,96.04,66.46,51.82,75.08,Watch,0
ENG-00015,2026-02-01,78.43,81.18,89.0,62.85,63.82,75.84,Watch,0
ENG-00015,2026-03-01,72.34,77.49,100.0,78.17,44.82,74.27,Watch,0
ENG-00016,2025-03-01,77.7,80.26,87.61,73.09,57.51,75.46,Watch,0
ENG-00016,2025-04-01,85.31,84.13,70.67,76.49,62.77,76.31,Watch,0
ENG-00016,2025-05-01,79.54,80.54,73.06,76.96,70.76,76.3,Watch,0
ENG-00016,2025-06-01,76.56,86.47,82.81,74.04,53.15,74.73,Watch,0
ENG-00016,2025-07-01,82.19,81.42,72.64,70.02,63.62,74.59,Watch,0
ENG-00016,2025-08-01,72.43,79.36,89.29,73.13,51.02,73.01,Watch,0
ENG-00016,2025-09-01,70.29,71.14,83.99,73.26,49.32,69.45,Watch,1
ENG-00016,2025-10-01,68.65,65.51,29.15,71.1,39.14,54.59,Critical,1
ENG-00016,2025-11-01,63.44,64.35,60.51,67.65,40.24,59.03,Critical,1
ENG-00017,2026-08-01,63.64,70.68,93.86,65.96,52.78,69.27,Watch,0
ENG-00018,2025-06-01,78.97,83.32,73.24,73.62,62.65,74.63,Watch,0
ENG-00018,2025-07-01,69.84,75.76,71.75,74.0,46.93,67.45,Watch,1
ENG-00018,2025-08-01,66.77,70.81,64.1,76.39,46.43,64.42,Watch,1
ENG-00018,2025-09-01,70.79,67.82,61.25,71.82,30.11,60.31,Watch,1
ENG-00019,2024-02-01,71.04,80.25,75.47,78.54,61.47,72.98,Watch,0
ENG-00019,2024-03-01,83.51,75.13,99.01,82.19,61.79,80.39,Healthy,0
ENG-00019,2024-04-01,82.35,89.31,76.53,74.13,63.46,77.57,Watch,0
ENG-00019,2024-05-01,74.78,79.81,92.3,72.22,55.89,75.13,Watch,0
ENG-00019,2024-06-01,80.19,76.9,91.47,78.49,70.69,79.63,Watch,0
ENG-00019,2024-07-01,74.85,74.08,93.51,68.31,61.31,74.74,Watch,0
ENG-00019,2024-08-01,82.88,78.45,76.07,73.92,54.18,73.55,Watch,0
ENG-00019,2024-09-01,74.86,84.66,79.72,74.79,58.46,74.5,Watch,0
ENG-00019,2024-10-01,76.59,82.76,100.0,78.42,66.56,80.78,Healthy,0
ENG-00019,2024-11-01,76.18,82.51,86.76,80.53,60.8,77.14,Watch,0
ENG-00019,2024-12-01,75.47,77.58,93.74,67.45,49.27,73.1,Watch,0
ENG-00020,2024-06-01,78.65,80.77,88.12,76.3,59.74,76.84,Watch,0
ENG-00020,2024-07-01,82.04,82.53,91.4,74.31,40.69,74.58,Watch,0
ENG-00020,2024-08-01,75.76,74.81,79.55,72.75,55.39,71.8,Watch,0
ENG-00020,2024-09-01,74.28,82.62,75.38,72.17,56.45,72.29,Watch,0
ENG-00020,2024-10-01,72.83,74.8,98.12,74.77,60.14,76.03,Watch,0
ENG-00020,2024-11-01,79.48,75.04,96.05,87.8,58.89,79.04,Watch,0
ENG-00020,2024-12-01,71.94,85.37,72.56,71.81,60.99,72.54,Watch,0
ENG-00020,2025-01-01,76.5,79.08,94.19,69.25,58.92,75.95,Watch,0
ENG-00020,2025-02-01,78.57,72.03,97.7,73.02,63.87,77.31,Watch,0
ENG-00020,2025-03-01,75.34,79.01,75.45,78.36,54.23,72.33,Watch,0
ENG-00021,2024-07-01,83.76,80.14,74.68,72.37,59.46,74.65,Watch,0
ENG-00021,2024-08-01,74.69,77.89,94.0,64.13,53.35,73.34,Watch,0
ENG-00021,2024-09-01,70.34,74.62,71.88,75.33,48.05,67.8,Watch,0
ENG-00021,2024-10-01,64.16,67.51,47.75,66.93,42.32,57.59,Critical,1
ENG-00021,2024-11-01,62.82,62.45,79.12,78.88,39.09,63.67,Watch,1
ENG-00021,2024-12-01,58.09,53.98,44.82,68.7,24.94,49.58,Critical,1
ENG-00022,2025-10-01,78.99,77.52,83.4,73.0,54.27,73.74,Watch,0
ENG-00022,2025-11-01,73.43,76.07,96.2,74.49,47.76,73.54,Watch,0
ENG-00022,2025-12-01,76.08,80.5,92.24,73.69,46.58,73.94,Watch,0
ENG-00022,2026-01-01,78.67,79.5,100.0,75.49,52.33,77.36,Watch,0
ENG-00022,2026-02-01,72.34,78.41,89.06,69.07,53.85,72.71,Watch,0
ENG-00022,2026-03-01,79.11,73.77,79.44,78.52,67.39,75.68,Watch,0
ENG-00022,2026-04-01,73.48,79.75,78.49,69.71,55.93,71.66,Watch,0
ENG-00022,2026-05-01,71.19,81.36,93.67,69.91,56.24,74.54,Watch,0
ENG-00022,2026-06-01,76.44,70.72,50.75,75.16,57.86,66.25,Watch,0
ENG-00022,2026-07-01,74.12,75.02,78.35,71.4,60.38,71.99,Watch,0
ENG-00022,2026-08-01,73.8,79.6,75.39,64.91,58.42,70.87,Watch,0
ENG-00023,2026-08-01,72.97,64.83,83.83,76.47,41.74,67.79,Watch,0
ENG-00023,2026-09-01,73.25,62.89,59.93,61.99,39.1,60.0,Critical,0
ENG-00023,2026-10-01,70.07,65.83,80.14,73.25,41.15,65.93,Watch,1
ENG-00023,2026-11-01,61.3,54.57,63.27,66.22,25.13,53.85,Critical,1
ENG-00023,2026-12-01,50.25,52.67,64.61,61.56,23.92,50.04,Critical,1
ENG-00024,2024-07-01,86.62,85.31,78.13,75.14,65.76,78.77,Watch,0
ENG-00024,2024-08-01,76.85,80.57,70.27,74.47,62.91,73.13,Watch,0
ENG-00024,2024-09-01,79.51,83.14,94.53,83.38,66.2,81.16,Healthy,0
ENG-00024,2024-10-01,80.65,78.38,96.89,72.59,71.56,80.42,Healthy,0
ENG-00024,2024-11-01,80.13,84.11,95.52,73.52,65.14,80.02,Healthy,0
ENG-00024,2024-12-01,70.91,82.11,72.09,75.7,72.16,74.35,Watch,0
ENG-00024,2025-01-01,80.23,89.45,79.5,71.9,65.61,77.76,Watch,0
ENG-00024,2025-02-01,85.25,84.73,95.03,65.68,56.03,78.32,Watch,0
ENG-00024,2025-03-01,77.01,92.26,98.47,82.09,52.17,80.15,Healthy,0
ENG-00024,2025-04-01,89.65,79.7,88.97,75.11,63.27,80.07,Healthy,0
ENG-00025,2024-12-01,72.06,75.0,86.51,75.42,61.55,73.94,Watch,0
ENG-00025,2025-01-01,80.65,82.63,78.33,63.66,65.33,74.97,Watch,0
ENG-00025,2025-02-01,76.0,80.65,93.18,65.65,54.05,74.42,Watch,0
ENG-00025,2025-03-01,74.58,78.53,68.51,77.55,62.33,72.15,Watch,0
ENG-00025,2025-04-01,78.04,75.86,89.91,82.18,66.37,78.26,Watch,0
ENG-00025,2025-05-01,77.82,81.54,72.16,76.32,51.69,71.98,Watch,0
ENG-00025,2025-06-01,74.71,83.03,68.83,76.64,53.73,71.29,Watch,0
ENG-00025,2025-07-01,72.29,81.16,98.45,75.21,60.07,77.29,Watch,0
ENG-00025,2025-08-01,78.77,76.13,88.03,74.26,66.66,76.99,Watch,0
ENG-00025,2025-09-01,74.7,83.76,75.31,82.8,58.79,74.67,Watch,0
ENG-00025,2025-10-01,74.04,81.86,90.73,79.17,62.64,77.43,Watch,0
ENG-00025,2025-11-01,75.31,76.62,90.72,83.95,53.29,75.55,Watch,0
ENG-00026,2025-02-01,79.87,81.44,100.0,77.68,62.54,80.42,Healthy,1
ENG-00026,2025-03-01,77.82,68.65,83.4,72.02,51.22,70.91,Watch,1
ENG-00026,2025-04-01,76.33,66.47,47.23,79.13,50.24,63.74,Watch,1
ENG-00026,2025-05-01,64.81,59.69,67.72,73.87,33.25,59.42,Critical,1
ENG-00027,2024-07-01,77.82,82.48,98.69,71.57,60.14,78.45,Watch,0
ENG-00027,2024-08-01,70.95,78.01,96.68,77.05,63.6,76.96,Watch,0
ENG-00027,2024-09-01,79.17,76.97,98.03,67.2,54.94,75.86,Watch,0
ENG-00027,2024-10-01,76.5,82.15,45.72,74.82,49.62,65.84,Watch,0
ENG-00027,2024-11-01,77.29,80.17,81.29,76.92,55.94,74.34,Watch,0
ENG-00027,2024-12-01,80.48,79.0,82.7,82.1,50.21,74.82,Watch,0
ENG-00027,2025-01-01,79.29,80.7,82.16,72.65,50.67,73.43,Watch,0
ENG-00027,2025-02-01,79.45,77.4,91.81,71.46,58.26,76.07,Watch,0
ENG-00027,2025-03-01,78.71,76.57,89.68,77.46,61.55,76.86,Watch,0
ENG-00027,2025-04-01,75.83,69.4,88.83,77.38,59.02,74.01,Watch,0
ENG-00027,2025-05-01,69.6,74.57,95.72,68.77,53.95,72.56,Watch,0
ENG-00027,2025-06-01,76.83,72.89,94.31,71.52,57.61,74.9,Watch,0
ENG-00027,2025-07-01,74.29,82.56,81.34,75.85,58.59,74.45,Watch,0
ENG-00028,2026-07-01,83.76,88.36,72.33,69.3,64.17,76.31,Watch,0
ENG-00028,2026-08-01,79.56,83.43,79.88,67.91,70.64,76.86,Watch,0
ENG-00029,2024-04-01,78.01,89.1,88.91,82.95,57.36,79.02,Watch,0
ENG-00029,2024-05-01,76.8,84.14,89.88,77.05,65.23,78.61,Watch,0
ENG-00029,2024-06-01,78.18,89.52,73.62,76.62,60.71,75.81,Watch,0
ENG-00029,2024-07-01,81.46,78.88,100.0,78.22,57.67,79.41,Watch,0
ENG-00029,2024-08-01,85.88,81.29,70.95,71.59,66.16,75.89,Watch,0
ENG-00029,2024-09-01,81.9,68.33,70.63,61.9,60.24,69.6,Watch,0
ENG-00029,2024-10-01,70.34,81.07,63.69,63.36,47.25,65.49,Watch,0
ENG-00030,2024-08-01,78.89,76.99,79.44,69.76,58.44,73.16,Watch,0
ENG-00030,2024-09-01,74.05,70.77,80.69,77.24,52.1,70.81,Watch,0
ENG-00030,2024-10-01,70.12,83.48,66.79,68.51,66.15,71.09,Watch,0
ENG-00030,2024-11-01,76.46,75.75,89.45,71.59,62.13,75.32,Watch,0
ENG-00030,2024-12-01,78.89,79.04,77.59,77.32,36.46,69.94,Watch,0
ENG-00030,2025-01-01,74.16,81.46,75.44,76.97,55.34,72.53,Watch,0
ENG-00030,2025-02-01,73.9,81.89,88.5,73.14,63.45,76.21,Watch,0
ENG-00030,2025-03-01,69.93,81.83,73.37,75.89,59.14,71.73,Watch,0
ENG-00030,2025-04-01,73.27,76.76,80.94,78.55,62.09,74.06,Watch,0
ENG-00030,2025-05-01,64.71,86.91,73.18,82.6,53.11,71.21,Watch,0
ENG-00030,2025-06-01,76.09,82.07,74.8,78.51,70.41,76.25,Watch,0
ENG-00030,2025-07-01,74.71,71.09,93.4,72.68,65.78,75.63,Watch,0
ENG-00030,2025-08-01,79.2,77.34,93.33,67.99,57.51,75.63,Watch,0
ENG-00031,2024-08-01,76.47,79.32,68.25,73.85,51.95,70.1,Watch,0
ENG-00031,2024-09-01,74.03,68.29,77.41,85.15,51.29,70.68,Watch,0
ENG-00031,2024-10-01,72.13,75.21,97.31,68.68,53.5,73.54,Watch,0
ENG-00031,2024-11-01,79.37,78.91,73.89,75.4,53.56,72.42,Watch,0
ENG-00031,2024-12-01,72.12,74.94,69.51,78.26,61.74,71.01,Watch,0
ENG-00031,2025-01-01,69.57,74.96,60.98,82.68,54.98,67.98,Watch,0
ENG-00031,2025-02-01,78.45,74.16,93.46,78.41,60.78,77.05,Watch,0
ENG-00031,2025-03-01,76.12,84.14,68.93,76.78,64.3,74.02,Watch,0
ENG-00031,2025-04-01,76.82,83.0,76.02,72.91,52.17,72.38,Watch,0
ENG-00031,2025-05-01,74.26,76.58,96.83,79.51,63.95,77.96,Watch,0
ENG-00031,2025-06-01,76.07,76.67,81.05,71.23,52.82,71.81,Watch,0
ENG-00032,2024-11-01,78.16,82.38,91.37,77.14,41.46,74.15,Watch,0
ENG-00032,2024-12-01,87.68,70.9,70.41,75.97,56.95,72.97,Watch,0
ENG-00032,2025-01-01,81.42,78.4,100.0,73.52,69.69,81.0,Healthy,0
ENG-00032,2025-02-01,78.88,80.8,90.72,80.39,58.32,77.75,Watch,0
ENG-00032,2025-03-01,75.11,86.14,93.0,61.49,61.77,76.18,Watch,0
ENG-00032,2025-04-01,80.5,81.17,88.0,66.55,59.76,75.89,Watch,0
ENG-00032,2025-05-01,77.41,83.7,66.96,76.65,52.45,71.47,Watch,0
ENG-00032,2025-06-01,80.06,80.49,93.0,79.07,49.46,76.46,Watch,0
ENG-00032,2025-07-01,77.18,82.81,97.45,74.4,54.73,77.45,Watch,0
ENG-00032,2025-08-01,78.93,79.2,95.06,76.69,53.8,76.85,Watch,0
ENG-00032,2025-09-01,73.42,83.56,88.62,71.32,63.69,76.23,Watch,0
ENG-00033,2025-02-01,71.3,72.28,48.79,73.95,51.83,63.5,Watch,1
ENG-00033,2025-03-01,70.37,66.62,58.41,79.46,36.84,61.89,Watch,1
ENG-00033,2025-04-01,61.11,56.34,86.97,71.2,47.77,64.17,Watch,1
ENG-00033,2025-05-01,59.79,57.66,46.07,61.88,37.58,52.49,Critical,1
ENG-00034,2025-01-01,77.56,82.06,96.63,85.94,71.44,82.31,Healthy,0
ENG-00034,2025-02-01,79.33,81.07,64.92,72.85,58.24,71.61,Watch,1
ENG-00034,2025-03-01,65.23,71.09,58.19,72.94,60.77,65.26,Watch,1
ENG-00034,2025-04-01,64.8,55.93,43.85,64.77,33.71,52.61,Critical,1
ENG-00034,2025-05-01,58.73,60.65,51.47,66.75,29.7,53.06,Critical,1
ENG-00035,2024-08-01,86.26,81.53,100.0,69.56,69.8,82.26,Healthy,0
ENG-00035,2024-09-01,86.39,84.14,97.5,76.17,73.68,84.09,Healthy,0
ENG-00035,2024-10-01,84.22,88.83,94.02,83.97,64.11,83.04,Healthy,0
ENG-00035,2024-11-01,87.04,90.59,88.09,76.92,64.96,82.02,Healthy,0
ENG-00035,2024-12-01,86.38,90.0,98.92,81.48,65.12,84.62,Healthy,0
ENG-00035,2025-01-01,89.84,89.43,98.54,70.47,63.04,83.23,Healthy,0
ENG-00035,2025-02-01,89.12,95.23,97.62,86.17,70.87,87.95,Healthy,0
ENG-00035,2025-03-01,84.96,94.06,99.19,71.58,63.69,83.37,Healthy,0
ENG-00035,2025-04-01,80.69,92.22,83.97,76.19,72.0,81.24,Healthy,0
ENG-00036,2024-04-01,76.12,74.24,94.55,73.61,52.28,74.29,Watch,0
ENG-00036,2024-05-01,78.83,75.14,57.85,71.81,48.84,66.84,Watch,0
ENG-00036,2024-06-01,70.87,79.35,65.14,75.66,65.56,71.08,Watch,0
ENG-00036,2024-07-01,78.43,71.31,85.12,70.3,56.35,72.71,Watch,0
ENG-00036,2024-08-01,79.72,77.16,79.37,64.62,43.34,69.59,Watch,0
ENG-00036,2024-09-01,74.14,72.83,72.21,67.7,61.16,69.93,Watch,0
ENG-00036,2024-10-01,72.11,84.2,94.2,71.59,58.55,76.15,Watch,0
ENG-00036,2024-11-01,80.44,74.59,77.87,70.71,63.65,73.94,Watch,0
ENG-00036,2024-12-01,72.9,75.83,89.78,63.47,57.17,72.3,Watch,0
ENG-00036,2025-01-01,76.47,70.35,80.47,79.68,43.71,69.98,Watch,0
ENG-00037,2024-03-01,79.06,76.69,86.95,70.1,67.03,76.41,Watch,0
ENG-00037,2024-04-01,80.7,77.81,55.03,73.14,60.26,69.77,Watch,0
ENG-00037,2024-05-01,79.4,73.78,64.51,68.78,57.53,69.33,Watch,0
ENG-00037,2024-06-01,79.77,81.39,67.11,74.12,63.72,73.5,Watch,0
ENG-00037,2024-07-01,76.21,76.39,62.67,74.84,54.29,68.95,Watch,0
ENG-00037,2024-08-01,74.99,81.76,68.16,71.86,60.69,71.65,Watch,0
ENG-00037,2024-09-01,84.45,83.91,75.97,74.05,50.07,74.21,Watch,0
ENG-00037,2024-10-01,75.32,77.16,94.18,81.83,60.0,77.37,Watch,0
ENG-00037,2024-11-01,73.62,82.01,86.91,72.97,56.67,74.47,Watch,0
ENG-00037,2024-12-01,80.04,83.7,42.45,73.99,61.74,68.69,Watch,0
ENG-00037,2025-01-01,73.91,75.1,79.74,63.51,47.1,68.39,Watch,0
ENG-00038,2024-08-01,83.57,75.9,62.87,68.68,58.67,70.68,Watch,0
ENG-00038,2024-09-01,77.11,81.48,96.43,60.19,54.26,74.74,Watch,0
ENG-00038,2024-10-01,76.35,81.83,80.63,72.08,58.93,74.18,Watch,0
ENG-00038,2024-11-01,80.3,86.18,95.21,68.11,55.62,77.69,Watch,0
ENG-00038,2024-12-01,78.12,83.78,91.49,76.75,48.09,75.71,Watch,0
ENG-00038,2025-01-01,81.03,82.51,96.39,76.19,70.02,81.47,Healthy,0
ENG-00038,2025-02-01,77.53,80.73,100.0,78.67,57.8,78.89,Watch,0
ENG-00038,2025-03-01,78.05,83.73,88.74,68.83,59.2,76.17,Watch,0
ENG-00038,2025-04-01,78.09,85.59,95.79,68.77,68.0,79.72,Watch,0
ENG-00038,2025-05-01,76.44,78.49,80.12,71.93,51.4,71.9,Watch,0
ENG-00039,2024-03-01,75.49,76.03,96.91,80.52,55.1,76.56,Watch,0
ENG-00039,2024-04-01,84.91,68.67,83.52,72.35,55.13,73.54,Watch,0
ENG-00039,2024-05-01,73.37,73.02,53.79,73.03,55.38,65.73,Watch,0
ENG-00039,2024-06-01,72.8,78.12,85.58,77.85,51.37,72.89,Watch,0
ENG-00039,2024-07-01,79.3,77.84,94.92,71.46,56.06,76.31,Watch,0
ENG-00039,2024-08-01,82.55,75.87,84.35,72.1,62.94,76.09,Watch,0
ENG-00039,2024-09-01,74.28,75.47,91.61,64.3,57.98,73.23,Watch,0
ENG-00039,2024-10-01,79.0,70.9,70.25,83.05,48.02,70.04,Watch,0
ENG-00039,2024-11-01,79.77,87.42,69.15,68.91,50.29,71.65,Watch,0
ENG-00039,2024-12-01,78.73,79.16,75.92,72.12,62.8,74.08,Watch,0
ENG-00039,2025-01-01,76.3,75.66,65.64,78.42,56.42,70.38,Watch,0
