engagement_id,review_date,technical_score,delivery_score,communication_score,overall_score
ENG-00006,2025-09-01,81.32,81.27,86.42,89.58
ENG-00006,2025-10-01,88.79,85.67,81.87,89.62
ENG-00006,2025-11-01,88.78,86.75,93.55,90.46
ENG-00007,2024-07-01,90.31,89.56,98.28,88.33
ENG-00007,2024-08-01,83.22,83.41,82.57,80.02
ENG-00007,2024-09-01,78.3,70.65,74.98,76.74
ENG-00007,2024-10-01,80.93,82.37,77.42,83.33
ENG-00007,2024-11-01,84.09,76.18,74.4,81.24
ENG-00007,2024-12-01,74.03,76.47,80.06,83.13
ENG-00007,2025-01-01,76.88,73.77,79.44,72.44
ENG-00007,2025-02-01,79.54,67.61,72.68,81.32
ENG-00008,2024-11-01,80.62,79.48,86.81,85.1
ENG-00008,2024-12-01,74.67,78.37,77.57,82.72
ENG-00008,2025-01-01,83.74,82.09,84.13,85.1
ENG-00008,2025-02-01,81.68,77.37,84.22,81.31
ENG-00008,2025-03-01,87.28,77.74,80.26,89.37
ENG-00008,2025-04-01,73.37,80.38,74.94,79.27
ENG-00008,2025-05-01,79.57,68.25,76.25,83.33
ENG-00008,2025-06-01,82.37,76.37,75.15,84.8
ENG-00009,2025-03-01,85.0,76.13,85.24,86.55
ENG-00009,2025-04-01,81.43,83.81,90.29,86.48
ENG-00009,2025-05-01,78.25,79.13,89.24,88.27
ENG-00009,2025-06-01,82.13,77.33,86.73,82.68
ENG-00009,2025-07-01,80.97,91.23,88.88,89.04
ENG-00009,2025-08-01,83.39,71.38,86.6,87.65
ENG-00009,2025-09-01,83.49,71.36,79.58,81.68
ENG-00009,2025-10-01,71.53,77.99,87.77,83.27
ENG-00009,2025-11-01,77.48,70.25,76.46,79.78
ENG-00009,2025-12-01,67.95,63.41,69.13,66.04
ENG-00010,2024-05-01,76.38,73.06,90.36,89.14
ENG-00010,2024-06-01,80.28,80.31,78.9,83.23
ENG-00010,2024-07-01,74.13,67.87,80.04,75.61
ENG-00010,2024-08-01,73.8,67.81,68.33,71.55
ENG-00010,2024-09-01,65.67,73.3,65.57,58.25
ENG-00011,2024-11-01,78.21,85.78,76.84,82.61
ENG-00011,2024-12-01,75.52,74.56,80.07,82.51
ENG-00011,2025-01-01,78.18,83.95,79.52,87.6
ENG-00011,2025-02-01,84.0,76.74,79.21,83.63
ENG-00011,2025-03-01,76.61,72.96,87.57,81.18
ENG-00011,2025-04-01,73.26,72.3,80.32,81.06
ENG-00011,2025-05-01,78.95,89.3,79.08,82.18
ENG-00011,2025-06-01,76.0,73.03,76.19,81.35
ENG-00012,2026-02-01,78.73,78.56,70.37,85.13
ENG-00012,2026-03-01,75.92,71.07,74.11,75.07
ENG-00012,2026-04-01,79.44,84.98,93.59,85.99
ENG-00012,2026-05-01,77.85,72.61,81.93,76.41
ENG-00012,2026-06-01,76.29,78.96,82.54,86.41
ENG-00012,2026-07-01,77.58,77.28,85.41,84.75
ENG-00012,2026-08-01,84.07,75.37,83.62,85.45
ENG-00013,2026-04-01,65.99,62.72,67.14,70.73
ENG-00013,2026-05-01,67.85,67.3,74.21,68.71
ENG-00013,2026-06-01,62.04,57.04,59.09,65.77
ENG-00013,2026-07-01,64.4,81.85,68.77,74.22
ENG-00013,2026-08-01,65.93,74.73,65.43,72.8
ENG-00014,2024-03-01,71.54,67.27,66.47,64.62
ENG-00014,2024-04-01,61.31,63.07,51.71,59.85
ENG-00014,2024-05-01,59.33,55.65,52.94,56.42
ENG-00014,2024-06-01,55.43,46.29,54.34,49.63
ENG-00015,2025-05-01,77.23,82.47,77.66,78.07
ENG-00015,2025-06-01,82.84,76.53,76.11,81.37
ENG-00015,2025-07-01,80.05,73.7,76.86,78.65
ENG-00015,2025-08-01,72.73,74.36,75.82,82.64
ENG-00015,2025-09-01,83.82,83.67,88.63,86.13
ENG-00015,2025-10-01,70.49,72.01,81.17,85.85
ENG-00015,2025-11-01,75.66,74.24,79.54,71.37
ENG-00015,2025-12-01,77.91,68.01,66.12,73.29
ENG-00015,2026-01-01,82.33,77.14,77.08,83.25
ENG-00015,2026-02-01,80.23,76.74,80.51,82.04
ENG-00015,2026-03-01,71.82,69.98,64.69,81.06
ENG-00016,2025-03-01,72.64,75.86,76.88,81.07
ENG-00016,2025-04-01,91.02,80.64,91.6,81.23
ENG-00016,2025-05-01,84.16,79.36,76.58,78.27
ENG-00016,2025-06-01,69.93,77.6,79.08,81.59
ENG-00016,2025-07-01,73.55,78.8,79.81,79.53
ENG-00016,2025-08-01,67.05,72.86,75.58,79.07
ENG-00016,2025-09-01,74.64,65.61,75.09,74.01
ENG-00016,2025-10-01,72.2,55.66,69.04,57.68
ENG-00016,2025-11-01,64.35,58.93,58.28,63.03
ENG-00017,2026-08-01,66.64,58.6,59.61,73.66
ENG-00018,2025-06-01,84.7,80.31,82.95,79.06
ENG-00018,2025-07-01,72.6,71.93,70.59,72.39
ENG-00018,2025-08-01,70.75,60.18,62.62,67.52
ENG-00018,2025-09-01,73.37,62.32,68.41,67.37
ENG-00019,2024-02-01,76.2,66.37,75.68,75.38
ENG-00019,2024-03-01,86.54,87.86,84.07,84.45
ENG-00019,2024-04-01,81.89,80.1,79.75,83.33
ENG-00019,2024-05-01,81.42,59.12,70.95,80.92
ENG-00019,2024-06-01,81.74,76.69,88.26,81.86
ENG-00019,2024-07-01,62.28,69.63,74.75,79.24
ENG-00019,2024-08-01,82.65,75.86,84.57,79.63
ENG-00019,2024-09-01,75.14,69.35,71.83,79.51
ENG-00019,2024-10-01,79.78,85.86,75.97,84.6
ENG-00019,2024-11-01,72.42,69.1,86.41,81.04
ENG-00019,2024-12-01,74.69,72.51,80.86,80.78
ENG-00020,2024-06-01,76.41,83.4,76.19,81.76
ENG-00020,2024-07-01,81.83,79.45,81.41,84.55
ENG-00020,2024-08-01,84.73,62.15,74.9,76.38
ENG-00020,2024-09-01,73.96,70.14,76.83,77.47
ENG-00020,2024-10-01,67.11,81.75,71.81,79.84
ENG-00020,2024-11-01,84.31,81.33,76.32,82.07
ENG-00020,2024-12-01,71.0,73.12,69.89,76.8
ENG-00020,2025-01-01,70.27,69.1,78.34,81.82
ENG-00020,2025-02-01,75.05,80.32,85.57,81.06
ENG-00020,2025-03-01,83.25,69.12,73.34,76.65
ENG-00021,2024-07-01,88.9,71.11,79.08,80.23
ENG-00021,2024-08-01,76.31,75.63,70.35,80.64
ENG-00021,2024-09-01,70.44,64.73,68.94,72.22
ENG-00021,2024-10-01,57.78,60.74,65.95,61.23
ENG-00021,2024-11-01,58.07,62.13,53.88,66.77
ENG-00021,2024-12-01,59.18,47.75,51.69,53.33
ENG-00022,2025-10-01,87.41,84.39,83.76,79.58
ENG-00022,2025-11-01,78.22,73.94,64.34,80.05
ENG-00022,2025-12-01,80.57,81.26,77.01,81.67
ENG-00022,2026-01-01,75.99,79.95,70.78,84.29
ENG-00022,2026-02-01,77.88,73.31,72.98,78.65
ENG-00022,2026-03-01,79.43,66.89,85.63,77.32
ENG-00022,2026-04-01,69.04,69.42,76.36,76.93
ENG-00022,2026-05-01,73.43,76.82,68.87,80.37
ENG-00022,2026-06-01,74.46,74.18,70.21,68.02
ENG-00022,2026-07-01,74.31,66.45,74.9,75.49
ENG-00022,2026-08-01,75.0,75.3,69.13,76.23
ENG-00023,2026-08-01,77.62,75.47,77.58,72.84
ENG-00023,2026-09-01,69.96,70.33,62.03,66.29
ENG-00023,2026-10-01,70.67,73.95,64.65,71.11
ENG-00023,2026-11-01,57.39,56.21,54.85,59.44
ENG-00023,2026-12-01,57.9,44.86,51.23,54.69
ENG-00024,2024-07-01,85.61,89.6,100.0,84.04
ENG-00024,2024-08-01,80.41,70.15,78.13,76.51
ENG-00024,2024-09-01,82.72,77.71,79.21,84.53
ENG-00024,2024-10-01,86.14,81.97,85.37,83.91
ENG-00024,2024-11-01,81.98,77.23,85.51,85.37
ENG-00024,2024-12-01,70.92,61.19,83.48,75.12
ENG-00024,2025-01-01,77.74,67.25,83.09,83.28
ENG-00024,2025-02-01,94.18,88.88,86.0,87.51
ENG-00024,2025-03-01,74.35,72.86,77.05,87.71
ENG-00024,2025-04-01,90.08,90.61,93.94,86.0
ENG-00025,2024-12-01,70.31,73.95,70.8,76.7
ENG-00025,2025-01-01,82.22,82.51,85.65,80.76
ENG-00025,2025-02-01,73.5,74.01,72.4,81.92
ENG-00025,2025-03-01,78.8,71.29,93.26,74.45
ENG-00025,2025-04-01,73.02,78.87,75.1,80.24
ENG-00025,2025-05-01,77.4,66.29,68.14,77.71
ENG-00025,2025-06-01,75.2,68.35,73.25,76.15
ENG-00025,2025-07-01,68.51,68.46,78.94,81.93
ENG-00025,2025-08-01,78.6,79.47,84.09,80.16
ENG-00025,2025-09-01,73.46,77.46,80.02,78.02
ENG-00025,2025-10-01,66.32,74.51,80.04,80.95
ENG-00025,2025-11-01,77.42,76.51,77.91,79.62
ENG-00026,2025-02-01,81.06,84.83,78.25,85.45
ENG-00026,2025-03-01,78.37,85.83,76.44,76.0
ENG-00026,2025-04-01,76.07,66.01,76.76,65.61
ENG-00026,2025-05-01,62.14,62.71,69.1,63.75
ENG-00027,2024-07-01,72.53,77.85,81.03,84.67
ENG-00027,2024-08-01,74.66,77.76,65.46,79.86
ENG-00027,2024-09-01,79.01,82.75,77.03,83.12
ENG-00027,2024-10-01,72.74,65.92,73.47,70.78
ENG-00027,2024-11-01,81.94,72.15,70.47,79.3
ENG-00027,2024-12-01,82.76,69.6,86.9,80.52
ENG-00027,2025-01-01,81.23,81.72,86.81,80.5
ENG-00027,2025-02-01,75.92,81.82,85.53,81.82
ENG-00027,2025-03-01,86.35,73.59,76.09,80.7
ENG-00027,2025-04-01,78.19,78.64,73.79,76.83
ENG-00027,2025-05-01,64.7,70.45,72.51,77.87
ENG-00027,2025-06-01,80.08,71.9,81.75,79.82
ENG-00027,2025-07-01,73.38,72.5,72.41,78.95
ENG-00028,2026-07-01,83.13,82.56,83.43,82.51
ENG-00028,2026-08-01,81.35,70.54,79.82,80.99
ENG-00029,2024-04-01,78.64,73.59,83.4,84.61
ENG-00029,2024-05-01,78.08,74.26,76.27,82.64
ENG-00029,2024-06-01,77.31,74.68,81.47,81.01
ENG-00029,2024-07-01,81.03,80.94,83.15,85.19
ENG-00029,2024-08-01,68.33,86.05,98.71,80.54
ENG-00029,2024-09-01,86.5,79.72,86.87,74.33
ENG-00029,2024-10-01,63.97,64.97,71.76,72.43
ENG-00030,2024-08-01,80.43,76.63,79.06,78.36
ENG-00030,2024-09-01,81.63,69.75,70.09,74.56
ENG-00030,2024-10-01,69.04,72.51,76.64,73.96
ENG-00030,2024-11-01,78.85,76.56,73.91,79.45
ENG-00030,2024-12-01,89.17,68.95,74.98,78.62
ENG-00030,2025-01-01,86.88,71.72,76.21,77.03
ENG-00030,2025-02-01,72.55,64.61,78.85,80.35
ENG-00030,2025-03-01,72.01,70.27,62.66,74.95
ENG-00030,2025-04-01,74.22,66.63,74.74,76.41
ENG-00030,2025-05-01,65.24,59.07,73.59,74.6
ENG-00030,2025-06-01,76.55,73.74,86.72,77.86
ENG-00030,2025-07-01,76.85,70.15,74.23,78.12
ENG-00030,2025-08-01,78.2,79.42,76.82,82.08
ENG-00031,2024-08-01,77.84,70.56,70.21,75.41
ENG-00031,2024-09-01,71.87,65.28,75.33,72.86
ENG-00031,2024-10-01,69.8,70.73,72.77,79.5
ENG-00031,2024-11-01,83.41,80.74,83.32,77.84
ENG-00031,2024-12-01,76.94,62.93,76.88,72.45
ENG-00031,2025-01-01,79.37,64.86,70.68,69.31
ENG-00031,2025-02-01,78.24,77.35,84.52,80.7
ENG-00031,2025-03-01,84.11,78.05,79.1,77.13
ENG-00031,2025-04-01,74.61,72.81,77.93,78.78
ENG-00031,2025-05-01,75.07,77.13,76.28,80.71
ENG-00031,2025-06-01,86.91,67.65,70.34,77.52
ENG-00032,2024-11-01,70.87,82.38,72.01,82.94
ENG-00032,2024-12-01,88.2,79.92,92.97,77.49
ENG-00032,2025-01-01,78.23,80.99,85.96,85.01
ENG-00032,2025-02-01,77.3,75.26,77.78,82.51
ENG-00032,2025-03-01,73.19,75.22,74.99,83.44
ENG-00032,2025-04-01,86.95,80.72,75.54,82.61
ENG-00032,2025-05-01,76.66,76.27,69.7,77.0
ENG-00032,2025-06-01,84.32,79.23,79.47,83.44
ENG-00032,2025-07-01,68.37,78.92,86.23,84.22
ENG-00032,2025-08-01,81.96,89.6,79.39,83.06
ENG-00032,2025-09-01,70.49,69.81,70.17,80.77
ENG-00033,2025-02-01,66.68,59.28,66.24,66.02
ENG-00033,2025-03-01,64.57,62.31,56.72,66.07
ENG-00033,2025-04-01,58.37,61.41,54.22,65.91
ENG-00033,2025-05-01,58.49,49.05,54.51,55.62
ENG-00034,2025-01-01,81.33,76.24,80.41,83.9
ENG-00034,2025-02-01,73.45,78.21,80.88,76.34
ENG-00034,2025-03-01,65.06,63.6,65.13,65.52
ENG-00034,2025-04-01,71.86,68.07,53.24,56.46
ENG-00034,2025-05-01,65.19,55.87,58.02,57.59
ENG-00035,2024-08-01,86.52,94.83,89.07,88.04
ENG-00035,2024-09-01,83.4,87.07,98.58,88.38
ENG-00035,2024-10-01,88.32,81.11,83.91,88.28
ENG-00035,2024-11-01,84.26,92.86,88.45,88.54
ENG-00035,2024-12-01,85.88,86.43,93.73,90.78
ENG-00035,2025-01-01,94.39,89.68,90.03,91.87
ENG-00035,2025-02-01,88.05,92.71,98.33,93.38
ENG-00035,2025-03-01,86.87,83.35,84.45,91.7
ENG-00035,2025-04-01,72.57,80.97,100.0,85.54
ENG-00036,2024-04-01,71.54,65.96,70.32,80.07
ENG-00036,2024-05-01,87.22,64.42,76.86,72.29
ENG-00036,2024-06-01,78.66,65.76,71.32,72.4
ENG-00036,2024-07-01,77.94,74.65,84.78,77.61
ENG-00036,2024-08-01,81.23,71.3,84.66,78.73
ENG-00036,2024-09-01,73.2,74.14,76.41,73.2
ENG-00036,2024-10-01,75.05,77.04,69.62,81.86
ENG-00036,2024-11-01,76.67,86.09,86.29,77.75
ENG-00036,2024-12-01,74.19,71.81,72.38,78.14
ENG-00036,2025-01-01,78.16,72.92,68.22,75.33
ENG-00037,2024-03-01,75.06,76.69,74.48,80.21
ENG-00037,2024-04-01,70.01,75.33,82.51,73.27
ENG-00037,2024-05-01,85.55,76.3,81.93,73.71
ENG-00037,2024-06-01,79.4,75.13,91.12,77.17
ENG-00037,2024-07-01,76.12,67.28,77.71,72.88
ENG-00037,2024-08-01,75.3,64.01,80.49,75.65
ENG-00037,2024-09-01,80.96,81.02,73.94,82.14
ENG-00037,2024-10-01,73.08,74.98,77.18,80.68
ENG-00037,2024-11-01,73.45,77.16,77.21,79.88
ENG-00037,2024-12-01,77.81,71.78,79.15,71.92
ENG-00037,2025-01-01,70.38,73.59,74.43,75.79
ENG-00038,2024-08-01,77.34,82.02,88.7,75.71
ENG-00038,2024-09-01,77.13,70.88,76.67,83.47
ENG-00038,2024-10-01,69.39,76.26,75.88,79.34
ENG-00038,2024-11-01,85.31,87.74,75.69,86.09
ENG-00038,2024-12-01,78.77,80.2,77.03,83.45
ENG-00038,2025-01-01,84.17,87.1,81.98,85.39
ENG-00038,2025-02-01,78.42,81.13,72.37,84.27
ENG-00038,2025-03-01,78.31,86.47,82.81,82.71
ENG-00038,2025-04-01,75.26,77.52,84.24,85.14
ENG-00038,2025-05-01,76.75,73.13,75.11,78.08
ENG-00039,2024-03-01,74.63,80.85,67.46,81.04
ENG-00039,2024-04-01,84.46,78.75,85.07,78.88
ENG-00039,2024-05-01,75.56,75.84,77.35,68.35
ENG-00039,2024-06-01,80.09,70.76,75.27,77.86
ENG-00039,2024-07-01,83.1,75.38,89.19,82.69
ENG-00039,2024-08-01,87.31,78.93,86.06,80.66
ENG-00039,2024-09-01,80.35,79.09,72.95,79.03
ENG-00039,2024-10-01,78.6,73.34,71.75,73.98
ENG-00039,2024-11-01,85.66,71.88,87.23,79.79
ENG-00039,2024-12-01,75.54,78.53,80.97,78.18
ENG-00039,2025-01-01,75.1,77.61,75.81,73.41
ENG-00039,2025-02-01,82.76,72.38,93.49,75.88
ENG-00039,2025-03-01,83.74,70.97,72.48,74.95
ENG-00040,2024-08-01,79.37,82.64,79.46,76.7
ENG-00040,2024-09-01,72.96,74.05,77.38,80.6
ENG-00040,2024-10-01,68.1,56.03,76.73,69.85
ENG-00040,2024-11-01,73.64,78.64,76.55,74.82
ENG-00040,2024-12-01,63.36,57.09,81.35,79.28
ENG-00040,2025-01-01,91.59,85.02,82.73,84.13
ENG-00040,2025-02-01,75.82,86.23,82.63,83.31
ENG-00040,2025-03-01,76.54,67.53,75.72,82.29
ENG-00040,2025-04-01,79.52,67.89,75.05,77.59
ENG-00040,2025-05-01,75.56,86.61,76.35,83.43
ENG-00040,2025-06-01,76.71,71.23,81.86,82.37
ENG-00040,2025-07-01,66.02,69.91,76.84,77.58
ENG-00040,2025-08-01,77.09,73.62,74.6,77.5
ENG-00041,2025-11-01,80.99,76.01,82.6,78.38
ENG-00041,2025-12-01,76.12,82.14,70.83,82.59
ENG-00041,2026-01-01,73.06,78.53,86.44,75.85
ENG-00041,2026-02-01,67.37,75.52,68.66,82.25
ENG-00041,2026-03-01,73.78,69.0,78.11,80.75
ENG-00041,2026-04-01,65.55,70.2,73.19,78.73
ENG-00041,2026-05-01,76.38,69.6,77.97,79.35
ENG-00041,2026-06-01,79.04,79.42,81.97,77.4
ENG-00041,2026-07-01,80.68,69.02,77.12,78.84
ENG-00041,2026-08-01,72.97,70.77,79.78,80.22
ENG-00042,2024-01-01,85.97,80.29,85.37,88.2
ENG-00042,2024-02-01,67.94,72.06,75.38,77.17
ENG-00042,2024-03-01,71.93,61.07,67.68,66.68
ENG-00042,2024-04-01,65.82,57.56,57.2,64.34
ENG-00043,2025-11-01,72.42,68.38,72.07,79.37
ENG-00043,2025-12-01,75.64,75.13,100.0,82.89
ENG-00043,2026-01-01,76.67,79.27,78.16,84.49
ENG-00043,2026-02-01,81.94,80.02,77.09,85.89
ENG-00043,2026-03-01,74.38,87.2,82.15,81.95
ENG-00043,2026-04-01,80.68,73.77,79.39,77.32
ENG-00043,2026-05-01,75.76,73.8,75.86,82.81
ENG-00043,2026-06-01,79.85,76.75,81.37,76.34
ENG-00044,2025-08-01,67.92,62.3,60.97,68.85
ENG-00044,2025-09-01,63.99,67.81,73.24,74.48
ENG-00044,2025-10-01,61.63,62.99,73.29,75.74
ENG-00044,2025-11-01,72.77,69.23,79.07,74.76
ENG-00044,2025-12-01,77.79,74.47,71.9,72.51
ENG-00044,2026-01-01,74.84,84.01,76.06,73.73
ENG-00044,2026-02-01,77.23,71.47,80.5,75.14
ENG-00044,2026-03-01,73.95,72.83,73.73,79.13
ENG-00044,2026-04-01,73.43,61.46,67.66,73.6
ENG-00045,2025-10-01,85.06,76.0,93.47,79.26
ENG-00045,2025-11-01,79.31,82.76,84.47,79.52
ENG-00045,2025-12-01,85.27,74.46,71.75,73.9
ENG-00045,2026-01-01,77.12,74.83,87.6,79.68
ENG-00045,2026-02-01,80.88,69.15,76.79,80.49
ENG-00045,2026-03-01,76.29,73.8,83.27,80.42
ENG-00045,2026-04-01,77.63,82.53,75.74,85.05
ENG-00045,2026-05-01,76.67,94.34,82.8,86.06
ENG-00045,2026-06-01,80.41,66.36,71.57,77.63
ENG-00045,2026-07-01,77.09,69.03,81.44,83.03
ENG-00045,2026-08-01,74.31,67.3,86.62,86.47
ENG-00046,2026-08-01,64.66,59.74,67.75,67.84
ENG-00046,2026-09-01,72.04,67.82,71.03,73.12
ENG-00046,2026-10-01,55.62,59.04,65.83,64.23
ENG-00046,2026-11-01,58.18,53.39,48.89,51.86
ENG-00047,2025-05-01,74.59,63.84,71.36,74.83
ENG-00047,2025-06-01,65.15,72.79,76.1,71.3
ENG-00047,2025-07-01,68.31,61.83,80.78,77.09
ENG-00047,2025-08-01,72.44,68.81,69.94,76.8
ENG-00047,2025-09-01,78.17,79.39,81.75,78.32
ENG-00047,2025-10-01,68.58,68.44,68.62,77.42
ENG-00047,2025-11-01,72.21,64.73,70.2,68.94
ENG-00047,2025-12-01,61.94,71.47,66.48,71.91
ENG-00047,2026-01-01,62.54,47.41,60.56,53.37
ENG-00047,2026-02-01,59.06,59.37,57.05,58.17
ENG-00047,2026-03-01,62.37,66.12,64.17,57.02
ENG-00048,2024-12-01,72.78,75.62,77.41,83.77
ENG-00048,2025-01-01,75.51,65.05,65.32,81.55
ENG-00048,2025-02-01,81.21,73.94,86.91,81.73
ENG-00048,2025-03-01,86.15,75.43,87.48,79.05
ENG-00048,2025-04-01,77.29,81.1,79.98,85.14
ENG-00048,2025-05-01,78.98,74.05,73.99,80.84
ENG-00048,2025-06-01,82.12,70.91,84.92,89.11
ENG-00048,2025-07-01,83.22,86.49,77.55,87.58
ENG-00048,2025-08-01,78.92,63.19,76.19,81.35
ENG-00048,2025-09-01,75.93,72.49,89.76,83.34
ENG-00048,2025-10-01,85.66,70.76,86.1,86.05
ENG-00049,2024-03-01,79.08,69.64,83.31,86.13
ENG-00049,2024-04-01,97.2,81.6,88.86,90.03
ENG-00049,2024-05-01,86.31,82.25,88.25,88.77
ENG-00049,2024-06-01,74.52,85.33,76.6,87.02
ENG-00049,2024-07-01,86.64,88.07,90.56,88.89
ENG-00049,2024-08-01,81.83,86.93,82.33,86.58
ENG-00049,2024-09-01,81.86,93.93,97.5,91.31
ENG-00049,2024-10-01,83.96,84.92,76.8,90.29
ENG-00049,2024-11-01,83.21,84.52,93.03,85.91
ENG-00049,2024-12-01,77.46,75.86,81.52,86.14
ENG-00049,2025-01-01,78.41,79.07,79.84,86.69
ENG-00049,2025-02-01,88.81,84.11,95.86,86.15
ENG-00050,2025-09-01,83.01,84.89,93.81,82.08
ENG-00050,2025-10-01,74.44,74.84,76.76,80.52
ENG-00050,2025-11-01,73.63,78.49,75.99,85.96
ENG-00050,2025-12-01,76.48,76.71,82.9,81.33
ENG-00050,2026-01-01,74.42,67.43,68.81,68.58
ENG-00050,2026-02-01,60.14,58.37,59.67,64.61
ENG-00051,2024-08-01,85.31,78.01,88.25,90.58
ENG-00051,2024-09-01,79.16,74.58,94.72,85.14
ENG-00051,2024-10-01,80.88,80.13,88.89,75.93
ENG-00051,2024-11-01,75.34,82.06,76.97,83.01
ENG-00051,2024-12-01,79.42,85.81,87.65,85.78
ENG-00051,2025-01-01,85.81,82.26,91.55,85.92
ENG-00051,2025-02-01,84.37,70.2,81.97,85.37
ENG-00051,2025-03-01,74.8,67.8,77.33,78.26
ENG-00051,2025-04-01,88.16,83.62,87.49,84.87
ENG-00051,2025-05-01,87.11,70.21,79.77,82.24
ENG-00051,2025-06-01,83.3,83.76,91.04,91.38
ENG-00052,2024-05-01,67.03,42.8,56.64,53.79
ENG-00052,2024-06-01,60.44,67.23,64.76,65.3
ENG-00052,2024-07-01,65.3,50.42,56.38,52.92
ENG-00052,2024-08-01,65.52,55.93,62.63,55.91
ENG-00052,2024-09-01,69.36,64.79,63.54,61.66
ENG-00052,2024-10-01,64.97,72.79,58.61,66.56
ENG-00052,2024-11-01,68.07,63.22,65.79,65.83
ENG-00052,2024-12-01,58.98,65.12,67.49,63.71
ENG-00052,2025-01-01,66.89,61.27,55.14,67.66
ENG-00053,2025-10-01,74.78,81.98,76.69,89.15
ENG-00053,2025-11-01,83.5,88.07,83.88,89.62
ENG-00053,2025-12-01,81.3,80.36,86.67,88.86
ENG-00053,2026-01-01,83.33,76.75,92.26,86.43
ENG-00053,2026-02-01,81.59,75.59,83.43,86.61
ENG-00053,2026-03-01,71.39,73.6,82.61,83.99
ENG-00053,2026-04-01,80.93,83.35,85.77,87.94
ENG-00053,2026-05-01,77.08,82.02,80.13,85.77
ENG-00053,2026-06-01,76.61,74.07,86.41,80.96
ENG-00053,2026-07-01,81.49,74.99,85.21,86.83
ENG-00054,2025-05-01,78.34,73.55,72.72,66.21
ENG-00054,2025-06-01,67.03,69.0,61.36,75.72
ENG-00054,2025-07-01,58.55,58.24,50.04,68.6
ENG-00054,2025-08-01,73.01,73.05,74.99,74.0
ENG-00054,2025-09-01,67.51,71.98,58.5,73.81
ENG-00054,2025-10-01,69.66,72.17,69.8,78.23
ENG-00054,2025-11-01,70.87,66.65,73.01,74.28
ENG-00054,2025-12-01,76.98,68.95,65.58,68.01
ENG-00054,2026-01-01,75.56,66.92,77.58,71.49
ENG-00054,2026-02-01,73.75,70.99,82.87,73.65
ENG-00054,2026-03-01,69.02,77.54,74.27,77.51
ENG-00055,2024-02-01,78.65,79.91,74.95,83.08
ENG-00055,2024-03-01,83.24,79.06,86.06,85.83
ENG-00055,2024-04-01,80.54,79.53,88.22,82.12
ENG-00055,2024-05-01,91.97,86.04,89.9,86.25
ENG-00055,2024-06-01,76.03,66.2,75.9,78.89
ENG-00055,2024-07-01,77.77,75.17,85.74,81.71
ENG-00055,2024-08-01,72.04,80.76,73.63,82.32
ENG-00056,2024-05-01,77.01,89.86,83.04,84.9
