engagement_id,milestone_name,due_date,completion_date,status,delay_days
ENG-00005,Sprint 11,2025-01-21,2025-01-23,Completed,2
ENG-00005,Sprint 12,2025-02-21,2025-02-25,Delayed,4
ENG-00006,Sprint 1,2025-02-21,2025-02-21,Completed,0
ENG-00006,Sprint 2,2025-03-21,2025-03-21,Completed,0
ENG-00006,Sprint 3,2025-04-21,2025-04-21,Completed,0
ENG-00006,Sprint 4,2025-05-21,2025-05-22,Completed,1
ENG-00006,Sprint 5,2025-06-21,2025-06-23,Completed,2
ENG-00006,Sprint 6,2025-07-21,2025-07-21,Completed,0
ENG-00006,Sprint 7,2025-08-21,2025-08-21,Completed,0
ENG-00006,Sprint 8,2025-09-21,2025-09-21,Completed,0
ENG-00006,Sprint 9,2025-10-21,2025-10-21,Completed,0
ENG-00006,Sprint 10,2025-11-21,2025-11-23,Completed,2
ENG-00007,Sprint 1,2024-07-21,2024-07-21,Completed,0
ENG-00007,Sprint 2,2024-08-21,2024-08-25,Delayed,4
ENG-00007,Sprint 3,2024-09-21,2024-09-25,Delayed,4
ENG-00007,Sprint 4,2024-10-21,2024-10-23,Completed,2
ENG-00007,Sprint 5,2024-11-21,2024-11-22,Completed,1
ENG-00007,Sprint 6,2024-12-21,2024-12-22,Completed,1
ENG-00007,Sprint 7,2025-01-21,2025-01-29,Delayed,8
ENG-00007,Sprint 8,2025-02-21,2025-02-21,Completed,0
ENG-00008,Sprint 1,2024-11-21,2024-11-22,Completed,1
ENG-00008,Sprint 2,2024-12-21,2024-12-21,Completed,0
ENG-00008,Sprint 3,2025-01-21,2025-01-22,Completed,1
ENG-00008,Sprint 4,2025-02-21,2025-02-25,Delayed,4
ENG-00008,Sprint 5,2025-03-21,2025-03-21,Completed,0
ENG-00008,Sprint 6,2025-04-21,2025-04-24,Completed,3
ENG-00008,Sprint 7,2025-05-21,2025-05-22,Completed,1
ENG-00008,Sprint 8,2025-06-21,2025-06-22,Completed,1
ENG-00009,Sprint 1,2025-03-21,2025-03-22,Completed,1
ENG-00009,Sprint 2,2025-04-21,2025-04-21,Completed,0
ENG-00009,Sprint 3,2025-05-21,2025-05-21,Completed,0
ENG-00009,Sprint 4,2025-06-21,2025-06-26,Delayed,5
ENG-00009,Sprint 5,2025-07-21,2025-07-21,Completed,0
ENG-00009,Sprint 6,2025-08-21,2025-08-21,Completed,0
ENG-00009,Sprint 7,2025-09-21,2025-09-24,Completed,3
ENG-00009,Sprint 8,2025-10-21,2025-10-21,Completed,0
ENG-00009,Sprint 9,2025-11-21,2025-11-21,Completed,0
ENG-00009,Sprint 10,2025-12-21,2025-12-29,Delayed,8
ENG-00010,Sprint 1,2024-05-21,2024-05-21,Completed,0
ENG-00010,Sprint 2,2024-06-21,2024-06-21,Completed,0
ENG-00010,Sprint 3,2024-07-21,2024-07-26,Delayed,5
ENG-00010,Sprint 4,2024-08-21,2024-08-26,Delayed,5
ENG-00010,Sprint 5,2024-09-21,2024-09-30,Delayed,9
ENG-00011,Sprint 1,2024-11-21,2024-11-21,Completed,0
ENG-00011,Sprint 2,2024-12-21,2024-12-24,Completed,3
ENG-00011,Sprint 3,2025-01-21,2025-01-21,Completed,0
ENG-00011,Sprint 4,2025-02-21,2025-02-21,Completed,0
ENG-00011,Sprint 5,2025-03-21,2025-03-24,Completed,3
ENG-00011,Sprint 6,2025-04-21,2025-04-23,Completed,2
ENG-00011,Sprint 7,2025-05-21,2025-05-21,Completed,0
ENG-00011,Sprint 8,2025-06-21,2025-06-22,Completed,1
ENG-00012,Sprint 1,2026-02-21,2026-02-21,Completed,0
ENG-00012,Sprint 2,2026-03-21,2026-03-27,Delayed,6
ENG-00012,Sprint 3,2026-04-21,2026-04-21,Completed,0
ENG-00012,Sprint 4,2026-05-21,2026-05-24,Completed,3
ENG-00012,Sprint 5,2026-06-21,2026-06-21,Completed,0
ENG-00012,Sprint 6,2026-07-21,2026-07-21,Completed,0
ENG-00012,Sprint 7,2026-08-21,2026-08-22,Completed,1
ENG-00013,Sprint 1,2026-04-21,2026-04-25,Delayed,4
ENG-00013,Sprint 2,2026-05-21,2026-05-27,Delayed,6
ENG-00013,Sprint 3,2026-06-21,2026-06-27,Delayed,6
ENG-00013,Sprint 4,2026-07-21,2026-07-21,Completed,0
ENG-00013,Sprint 5,2026-08-21,2026-08-23,Completed,2
ENG-00014,Sprint 1,2024-03-21,2024-03-27,Delayed,6
ENG-00014,Sprint 2,2024-04-21,2024-04-29,Delayed,8
ENG-00014,Sprint 3,2024-05-21,2024-05-26,Delayed,5
ENG-00014,Sprint 4,2024-06-21,2024-06-26,Delayed,5
ENG-00015,Sprint 1,2025-05-21,2025-05-24,Completed,3
ENG-00015,Sprint 2,2025-06-21,2025-06-22,Completed,1
ENG-00015,Sprint 3,2025-07-21,2025-07-23,Completed,2
ENG-00015,Sprint 4,2025-08-21,2025-08-22,Completed,1
ENG-00015,Sprint 5,2025-09-21,2025-09-21,Completed,0
ENG-00015,Sprint 6,2025-10-21,2025-10-21,Completed,0
ENG-00015,Sprint 7,2025-11-21,2025-11-28,Delayed,7
ENG-00015,Sprint 8,2025-12-21,2025-12-26,Delayed,5
ENG-00015,Sprint 9,2026-01-21,2026-01-21,Completed,0
ENG-00015,Sprint 10,2026-02-21,2026-02-22,Completed,1
ENG-00015,Sprint 11,2026-03-21,2026-03-21,Completed,0
ENG-00016,Sprint 1,2025-03-21,2025-03-23,Completed,2
ENG-00016,Sprint 2,2025-04-21,2025-04-26,Delayed,5
ENG-00016,Sprint 3,2025-05-21,2025-05-26,Delayed,5
ENG-00016,Sprint 4,2025-06-21,2025-06-23,Completed,2
ENG-00016,Sprint 5,2025-07-21,2025-07-25,Delayed,4
ENG-00016,Sprint 6,2025-08-21,2025-08-23,Completed,2
ENG-00016,Sprint 7,2025-09-21,2025-09-23,Completed,2
ENG-00016,Sprint 8,2025-10-21,2025-11-02,Delayed,12
ENG-00016,Sprint 9,2025-11-21,2025-11-27,Delayed,6
ENG-00017,Sprint 1,2026-08-21,2026-08-21,Completed,0
ENG-00018,Sprint 1,2025-06-21,2025-06-25,Delayed,4
ENG-00018,Sprint 2,2025-07-21,2025-07-25,Delayed,4
ENG-00018,Sprint 3,2025-08-21,2025-08-25,Delayed,4
ENG-00018,Sprint 4,2025-09-21,2025-09-27,Delayed,6
ENG-00019,Sprint 1,2024-02-21,2024-02-25,Delayed,4
ENG-00019,Sprint 2,2024-03-21,2024-03-21,Completed,0
ENG-00019,Sprint 3,2024-04-21,2024-04-25,Delayed,4
ENG-00019,Sprint 4,2024-05-21,2024-05-23,Completed,2
ENG-00019,Sprint 5,2024-06-21,2024-06-22,Completed,1
ENG-00019,Sprint 6,2024-07-21,2024-07-21,Completed,0
ENG-00019,Sprint 7,2024-08-21,2024-08-25,Delayed,4
ENG-00019,Sprint 8,2024-09-21,2024-09-24,Completed,3
ENG-00019,Sprint 9,2024-10-21,2024-10-21,Completed,0
ENG-00019,Sprint 10,2024-11-21,2024-11-23,Completed,2
ENG-00019,Sprint 11,2024-12-21,2024-12-21,Completed,0
ENG-00020,Sprint 1,2024-06-21,2024-06-22,Completed,1
ENG-00020,Sprint 2,2024-07-21,2024-07-22,Completed,1
ENG-00020,Sprint 3,2024-08-21,2024-08-24,Completed,3
ENG-00020,Sprint 4,2024-09-21,2024-09-25,Delayed,4
ENG-00020,Sprint 5,2024-10-21,2024-10-21,Completed,0
ENG-00020,Sprint 6,2024-11-21,2024-11-21,Completed,0
ENG-00020,Sprint 7,2024-12-21,2024-12-24,Completed,3
ENG-00020,Sprint 8,2025-01-21,2025-01-22,Completed,1
ENG-00020,Sprint 9,2025-02-21,2025-02-21,Completed,0
ENG-00020,Sprint 10,2025-03-21,2025-03-25,Delayed,4
ENG-00021,Sprint 1,2024-07-21,2024-07-25,Delayed,4
ENG-00021,Sprint 2,2024-08-21,2024-08-21,Completed,0
ENG-00021,Sprint 3,2024-09-21,2024-09-26,Delayed,5
ENG-00021,Sprint 4,2024-10-21,2024-10-29,Delayed,8
ENG-00021,Sprint 5,2024-11-21,2024-11-23,Completed,2
ENG-00021,Sprint 6,2024-12-21,2024-12-30,Delayed,9
ENG-00022,Sprint 1,2025-10-21,2025-10-22,Completed,1
ENG-00022,Sprint 2,2025-11-21,2025-11-21,Completed,0
ENG-00022,Sprint 3,2025-12-21,2025-12-22,Completed,1
ENG-00022,Sprint 4,2026-01-21,2026-01-21,Completed,0
ENG-00022,Sprint 5,2026-02-21,2026-02-22,Completed,1
ENG-00022,Sprint 6,2026-03-21,2026-03-23,Completed,2
ENG-00022,Sprint 7,2026-04-21,2026-04-24,Completed,3
ENG-00022,Sprint 8,2026-05-21,2026-05-21,Completed,0
ENG-00022,Sprint 9,2026-06-21,2026-06-29,Delayed,8
ENG-00022,Sprint 10,2026-07-21,2026-07-25,Delayed,4
ENG-00022,Sprint 11,2026-08-21,2026-08-24,Completed,3
ENG-00023,Sprint 1,2026-08-21,2026-08-23,Completed,2
ENG-00023,Sprint 2,2026-09-21,2026-09-27,Delayed,6
ENG-00023,Sprint 3,2026-10-21,2026-10-23,Completed,2
ENG-00023,Sprint 4,2026-11-21,2026-11-26,Delayed,5
ENG-00023,Sprint 5,2026-12-21,2026-12-26,Delayed,5
ENG-00024,Sprint 1,2024-07-21,2024-07-24,Completed,3
ENG-00024,Sprint 2,2024-08-21,2024-08-27,Delayed,6
ENG-00024,Sprint 3,2024-09-21,2024-09-22,Completed,1
ENG-00024,Sprint 4,2024-10-21,2024-10-21,Completed,0
ENG-00024,Sprint 5,2024-11-21,2024-11-21,Completed,0
ENG-00024,Sprint 6,2024-12-21,2024-12-25,Delayed,4
ENG-00024,Sprint 7,2025-01-21,2025-01-24,Completed,3
ENG-00024,Sprint 8,2025-02-21,2025-02-21,Completed,0
ENG-00024,Sprint 9,2025-03-21,2025-03-22,Completed,1
ENG-00024,Sprint 10,2025-04-21,2025-04-23,Completed,2
ENG-00025,Sprint 1,2024-12-21,2024-12-22,Completed,1
ENG-00025,Sprint 2,2025-01-21,2025-01-25,Delayed,4
ENG-00025,Sprint 3,2025-02-21,2025-02-22,Completed,1
ENG-00025,Sprint 4,2025-03-21,2025-03-26,Delayed,5
ENG-00025,Sprint 5,2025-04-21,2025-04-23,Completed,2
ENG-00025,Sprint 6,2025-05-21,2025-05-26,Delayed,5
ENG-00025,Sprint 7,2025-06-21,2025-06-26,Delayed,5
ENG-00025,Sprint 8,2025-07-21,2025-07-21,Completed,0
ENG-00025,Sprint 9,2025-08-21,2025-08-24,Completed,3
ENG-00025,Sprint 10,2025-09-21,2025-09-26,Delayed,5
ENG-00025,Sprint 11,2025-10-21,2025-10-22,Completed,1
ENG-00025,Sprint 12,2025-11-21,2025-11-23,Completed,2
ENG-00026,Sprint 1,2025-02-21,2025-02-21,Completed,0
ENG-00026,Sprint 2,2025-03-21,2025-03-23,Completed,2
ENG-00026,Sprint 3,2025-04-21,2025-04-30,Delayed,9
ENG-00026,Sprint 4,2025-05-21,2025-05-26,Delayed,5
ENG-00027,Sprint 1,2024-07-21,2024-07-21,Completed,0
ENG-00027,Sprint 2,2024-08-21,2024-08-21,Completed,0
ENG-00027,Sprint 3,2024-09-21,2024-09-21,Completed,0
ENG-00027,Sprint 4,2024-10-21,2024-10-30,Delayed,9
ENG-00027,Sprint 5,2024-11-21,2024-11-23,Completed,2
ENG-00027,Sprint 6,2024-12-21,2024-12-23,Completed,2
ENG-00027,Sprint 7,2025-01-21,2025-01-23,Completed,2
ENG-00027,Sprint 8,2025-02-21,2025-02-22,Completed,1
ENG-00027,Sprint 9,2025-03-21,2025-03-23,Completed,2
ENG-00027,Sprint 10,2025-04-21,2025-04-22,Completed,1
ENG-00027,Sprint 11,2025-05-21,2025-05-21,Completed,0
ENG-00027,Sprint 12,2025-06-21,2025-06-21,Completed,0
ENG-00027,Sprint 13,2025-07-21,2025-07-23,Completed,2
ENG-00028,Sprint 1,2026-07-21,2026-07-26,Delayed,5
ENG-00028,Sprint 2,2026-08-21,2026-08-24,Completed,3
ENG-00029,Sprint 1,2024-04-21,2024-04-23,Completed,2
ENG-00029,Sprint 2,2024-05-21,2024-05-23,Completed,2
ENG-00029,Sprint 3,2024-06-21,2024-06-26,Delayed,5
ENG-00029,Sprint 4,2024-07-21,2024-07-21,Completed,0
ENG-00029,Sprint 5,2024-08-21,2024-08-25,Delayed,4
ENG-00029,Sprint 6,2024-09-21,2024-09-26,Delayed,5
ENG-00029,Sprint 7,2024-10-21,2024-10-28,Delayed,7
ENG-00030,Sprint 1,2024-08-21,2024-08-24,Completed,3
ENG-00030,Sprint 2,2024-09-21,2024-09-24,Completed,3
ENG-00030,Sprint 3,2024-10-21,2024-10-27,Delayed,6
ENG-00030,Sprint 4,2024-11-21,2024-11-21,Completed,0
ENG-00030,Sprint 5,2024-12-21,2024-12-24,Completed,3
ENG-00030,Sprint 6,2025-01-21,2025-01-25,Delayed,4
ENG-00030,Sprint 7,2025-02-21,2025-02-21,Completed,0
ENG-00030,Sprint 8,2025-03-21,2025-03-26,Delayed,5
ENG-00030,Sprint 9,2025-04-21,2025-04-24,Completed,3
ENG-00030,Sprint 10,2025-05-21,2025-05-25,Delayed,4
ENG-00030,Sprint 11,2025-06-21,2025-06-25,Delayed,4
ENG-00030,Sprint 12,2025-07-21,2025-07-21,Completed,0
ENG-00030,Sprint 13,2025-08-21,2025-08-22,Completed,1
ENG-00031,Sprint 1,2024-08-21,2024-08-26,Delayed,5
ENG-00031,Sprint 2,2024-09-21,2024-09-25,Delayed,4
ENG-00031,Sprint 3,2024-10-21,2024-10-21,Completed,0
ENG-00031,Sprint 4,2024-11-21,2024-11-26,Delayed,5
ENG-00031,Sprint 5,2024-12-21,2024-12-26,Delayed,5
ENG-00031,Sprint 6,2025-01-21,2025-01-28,Delayed,7
ENG-00031,Sprint 7,2025-02-21,2025-02-22,Completed,1
ENG-00031,Sprint 8,2025-03-21,2025-03-26,Delayed,5
ENG-00031,Sprint 9,2025-04-21,2025-04-25,Delayed,4
ENG-00031,Sprint 10,2025-05-21,2025-05-21,Completed,0
ENG-00031,Sprint 11,2025-06-21,2025-06-24,Completed,3
ENG-00032,Sprint 1,2024-11-21,2024-11-21,Completed,0
ENG-00032,Sprint 2,2024-12-21,2024-12-25,Delayed,4
ENG-00032,Sprint 3,2025-01-21,2025-01-21,Completed,0
ENG-00032,Sprint 4,2025-02-21,2025-02-22,Completed,1
ENG-00032,Sprint 5,2025-03-21,2025-03-22,Completed,1
ENG-00032,Sprint 6,2025-04-21,2025-04-22,Completed,1
ENG-00032,Sprint 7,2025-05-21,2025-05-25,Delayed,4
ENG-00032,Sprint 8,2025-06-21,2025-06-21,Completed,0
ENG-00032,Sprint 9,2025-07-21,2025-07-21,Completed,0
ENG-00032,Sprint 10,2025-08-21,2025-08-21,Completed,0
ENG-00032,Sprint 11,2025-09-21,2025-09-23,Completed,2
ENG-00033,Sprint 1,2025-02-21,2025-03-02,Delayed,9
ENG-00033,Sprint 2,2025-03-21,2025-03-26,Delayed,5
ENG-00033,Sprint 3,2025-04-21,2025-04-22,Completed,1
ENG-00033,Sprint 4,2025-05-21,2025-05-30,Delayed,9
ENG-00034,Sprint 1,2025-01-21,2025-01-21,Completed,0
ENG-00034,Sprint 2,2025-02-21,2025-02-27,Delayed,6
ENG-00034,Sprint 3,2025-03-21,2025-03-29,Delayed,8
ENG-00034,Sprint 4,2025-04-21,2025-04-30,Delayed,9
ENG-00034,Sprint 5,2025-05-21,2025-05-28,Delayed,7
ENG-00035,Sprint 1,2024-08-21,2024-08-21,Completed,0
ENG-00035,Sprint 2,2024-09-21,2024-09-21,Completed,0
ENG-00035,Sprint 3,2024-10-21,2024-10-21,Completed,0
ENG-00035,Sprint 4,2024-11-21,2024-11-23,Completed,2
ENG-00035,Sprint 5,2024-12-21,2024-12-21,Completed,0
ENG-00035,Sprint 6,2025-01-21,2025-01-21,Completed,0
ENG-00035,Sprint 7,2025-02-21,2025-02-21,Completed,0
ENG-00035,Sprint 8,2025-03-21,2025-03-21,Completed,0
ENG-00035,Sprint 9,2025-04-21,2025-04-24,Completed,3
ENG-00036,Sprint 1,2024-04-21,2024-04-22,Completed,1
ENG-00036,Sprint 2,2024-05-21,2024-05-28,Delayed,7
ENG-00036,Sprint 3,2024-06-21,2024-06-27,Delayed,6
ENG-00036,Sprint 4,2024-07-21,2024-07-23,Completed,2
ENG-00036,Sprint 5,2024-08-21,2024-08-23,Completed,2
ENG-00036,Sprint 6,2024-09-21,2024-09-25,Delayed,4
ENG-00036,Sprint 7,2024-10-21,2024-10-22,Completed,1
ENG-00036,Sprint 8,2024-11-21,2024-11-24,Completed,3
ENG-00036,Sprint 9,2024-12-21,2024-12-22,Completed,1
ENG-00036,Sprint 10,2025-01-21,2025-01-25,Delayed,4
ENG-00037,Sprint 1,2024-03-21,2024-03-22,Completed,1
ENG-00037,Sprint 2,2024-04-21,2024-04-29,Delayed,8
ENG-00037,Sprint 3,2024-05-21,2024-05-27,Delayed,6
ENG-00037,Sprint 4,2024-06-21,2024-06-27,Delayed,6
ENG-00037,Sprint 5,2024-07-21,2024-07-28,Delayed,7
ENG-00037,Sprint 6,2024-08-21,2024-08-27,Delayed,6
ENG-00037,Sprint 7,2024-09-21,2024-09-25,Delayed,4
ENG-00037,Sprint 8,2024-10-21,2024-10-21,Completed,0
ENG-00037,Sprint 9,2024-11-21,2024-11-22,Completed,1
ENG-00037,Sprint 10,2024-12-21,2025-01-01,Delayed,11
ENG-00037,Sprint 11,2025-01-21,2025-01-24,Completed,3
ENG-00038,Sprint 1,2024-08-21,2024-08-27,Delayed,6
ENG-00038,Sprint 2,2024-09-21,2024-09-22,Completed,1
ENG-00038,Sprint 3,2024-10-21,2024-10-24,Completed,3
ENG-00038,Sprint 4,2024-11-21,2024-11-21,Completed,0
ENG-00038,Sprint 5,2024-12-21,2024-12-21,Completed,0
ENG-00038,Sprint 6,2025-01-21,2025-01-21,Completed,0
ENG-00038,Sprint 7,2025-02-21,2025-02-21,Completed,0
ENG-00038,Sprint 8,2025-03-21,2025-03-21,Completed,0
ENG-00038,Sprint 9,2025-04-21,2025-04-21,Completed,0
ENG-00038,Sprint 10,2025-05-21,2025-05-24,Completed,3
ENG-00039,Sprint 1,2024-03-21,2024-03-21,Completed,0
ENG-00039,Sprint 2,2024-04-21,2024-04-23,Completed,2
ENG-00039,Sprint 3,2024-05-21,2024-05-29,Delayed,8
ENG-00039,Sprint 4,2024-06-21,2024-06-22,Completed,1
ENG-00039,Sprint 5,2024-07-21,2024-07-21,Completed,0
ENG-00039,Sprint 6,2024-08-21,2024-08-23,Completed,2
ENG-00039,Sprint 7,2024-09-21,2024-09-22,Completed,1
ENG-00039,Sprint 8,2024-10-21,2024-10-26,Delayed,5
ENG-00039,Sprint 9,2024-11-21,2024-11-26,Delayed,5
ENG-00039,Sprint 10,2024-12-21,2024-12-25,Delayed,4
ENG-00039,Sprint 11,2025-01-21,2025-01-28,Delayed,7
ENG-00039,Sprint 12,2025-02-21,2025-02-28,Delayed,7
ENG-00039,Sprint 13,2025-03-21,2025-03-27,Delayed,6
ENG-00040,Sprint 1,2024-08-21,2024-08-26,Delayed,5
ENG-00040,Sprint 2,2024-09-21,2024-09-22,Completed,1
ENG-00040,Sprint 3,2024-10-21,2024-10-30,Delayed,9
ENG-00040,Sprint 4,2024-11-21,2024-11-26,Delayed,5
ENG-00040,Sprint 5,2024-12-21,2024-12-23,Completed,2
ENG-00040,Sprint 6,2025-01-21,2025-01-21,Completed,0
ENG-00040,Sprint 7,2025-02-21,2025-02-22,Completed,1
ENG-00040,Sprint 8,2025-03-21,2025-03-21,Completed,0
ENG-00040,Sprint 9,2025-04-21,2025-04-24,Completed,3
ENG-00040,Sprint 10,2025-05-21,2025-05-21,Completed,0
ENG-00040,Sprint 11,2025-06-21,2025-06-21,Completed,0
ENG-00040,Sprint 12,2025-07-21,2025-07-22,Completed,1
ENG-00040,Sprint 13,2025-08-21,2025-08-22,Completed,1
ENG-00041,Sprint 1,2025-11-21,2025-11-28,Delayed,7
ENG-00041,Sprint 2,2025-12-21,2025-12-21,Completed,0
ENG-00041,Sprint 3,2026-01-21,2026-01-27,Delayed,6
ENG-00041,Sprint 4,2026-02-21,2026-02-21,Completed,0
ENG-00041,Sprint 5,2026-03-21,2026-03-22,Completed,1
ENG-00041,Sprint 6,2026-04-21,2026-04-21,Completed,0
ENG-00041,Sprint 7,2026-05-21,2026-05-22,Completed,1
ENG-00041,Sprint 8,2026-06-21,2026-06-25,Delayed,4
ENG-00041,Sprint 9,2026-07-21,2026-07-22,Completed,1
ENG-00041,Sprint 10,2026-08-21,2026-08-22,Completed,1
ENG-00042,Sprint 1,2024-01-21,2024-01-21,Completed,0
ENG-00042,Sprint 2,2024-02-21,2024-02-22,Completed,1
ENG-00042,Sprint 3,2024-03-21,2024-03-27,Delayed,6
ENG-00042,Sprint 4,2024-04-21,2024-04-25,Delayed,4
ENG-00043,Sprint 1,2025-11-21,2025-11-23,Completed,2
ENG-00043,Sprint 2,2025-12-21,2025-12-22,Completed,1
ENG-00043,Sprint 3,2026-01-21,2026-01-21,Completed,0
ENG-00043,Sprint 4,2026-02-21,2026-02-23,Completed,2
ENG-00043,Sprint 5,2026-03-21,2026-03-23,Completed,2
ENG-00043,Sprint 6,2026-04-21,2026-04-27,Delayed,6
ENG-00043,Sprint 7,2026-05-21,2026-05-23,Completed,2
ENG-00043,Sprint 8,2026-06-21,2026-06-26,Delayed,5
ENG-00044,Sprint 1,2025-08-21,2025-08-24,Completed,3
ENG-00044,Sprint 2,2025-09-21,2025-09-22,Completed,1
ENG-00044,Sprint 3,2025-10-21,2025-10-24,Completed,3
ENG-00044,Sprint 4,2025-11-21,2025-11-23,Completed,2
ENG-00044,Sprint 5,2025-12-21,2025-12-25,Delayed,4
ENG-00044,Sprint 6,2026-01-21,2026-01-26,Delayed,5
ENG-00044,Sprint 7,2026-02-21,2026-02-23,Completed,2
ENG-00044,Sprint 8,2026-03-21,2026-03-22,Completed,1
ENG-00044,Sprint 9,2026-04-21,2026-04-23,Completed,2
ENG-00045,Sprint 1,2025-10-21,2025-10-27,Delayed,6
ENG-00045,Sprint 2,2025-11-21,2025-11-27,Delayed,6
ENG-00045,Sprint 3,2025-12-21,2025-12-27,Delayed,6
ENG-00045,Sprint 4,2026-01-21,2026-01-23,Completed,2
ENG-00045,Sprint 5,2026-02-21,2026-02-24,Completed,3
ENG-00045,Sprint 6,2026-03-21,2026-03-21,Completed,0
ENG-00045,Sprint 7,2026-04-21,2026-04-21,Completed,0
ENG-00045,Sprint 8,2026-05-21,2026-05-21,Completed,0
ENG-00045,Sprint 9,2026-06-21,2026-06-23,Completed,2
ENG-00045,Sprint 10,2026-07-21,2026-07-21,Completed,0
ENG-00045,Sprint 11,2026-08-21,2026-08-21,Completed,0
ENG-00046,Sprint 1,2026-08-21,2026-08-26,Delayed,5
ENG-00046,Sprint 2,2026-09-21,2026-09-23,Completed,2
ENG-00046,Sprint 3,2026-10-21,2026-10-25,Delayed,4
ENG-00046,Sprint 4,2026-11-21,2026-11-27,Delayed,6
ENG-00047,Sprint 1,2025-05-21,2025-05-22,Completed,1
ENG-00047,Sprint 2,2025-06-21,2025-06-27,Delayed,6
ENG-00047,Sprint 3,2025-07-21,2025-07-23,Completed,2
ENG-00047,Sprint 4,2025-08-21,2025-08-25,Delayed,4
ENG-00047,Sprint 5,2025-09-21,2025-09-23,Completed,2
ENG-00047,Sprint 6,2025-10-21,2025-10-23,Completed,2
ENG-00047,Sprint 7,2025-11-21,2025-11-28,Delayed,7
ENG-00047,Sprint 8,2025-12-21,2025-12-25,Delayed,4
ENG-00047,Sprint 9,2026-01-21,2026-02-01,Delayed,11
ENG-00047,Sprint 10,2026-02-21,2026-02-28,Delayed,7
ENG-00047,Sprint 11,2026-03-21,2026-03-28,Delayed,7
ENG-00048,Sprint 1,2024-12-21,2024-12-21,Completed,0
ENG-00048,Sprint 2,2025-01-21,2025-01-23,Completed,2
ENG-00048,Sprint 3,2025-02-21,2025-02-24,Completed,3
ENG-00048,Sprint 4,2025-03-21,2025-03-25,Delayed,4
ENG-00048,Sprint 5,2025-04-21,2025-04-21,Completed,0
ENG-00048,Sprint 6,2025-05-21,2025-05-23,Completed,2
ENG-00048,Sprint 7,2025-06-21,2025-06-21,Completed,0
ENG-00048,Sprint 8,2025-07-21,2025-07-21,Completed,0
ENG-00048,Sprint 9,2025-08-21,2025-08-25,Delayed,4
ENG-00048,Sprint 10,2025-09-21,2025-09-24,Completed,3
ENG-00048,Sprint 11,2025-10-21,2025-10-22,Completed,1
ENG-00049,Sprint 1,2024-03-21,2024-03-21,Completed,0
ENG-00049,Sprint 2,2024-04-21,2024-04-21,Completed,0
ENG-00049,Sprint 3,2024-05-21,2024-05-21,Completed,0
ENG-00049,Sprint 4,2024-06-21,2024-06-21,Completed,0
ENG-00049,Sprint 5,2024-07-21,2024-07-21,Completed,0
ENG-00049,Sprint 6,2024-08-21,2024-08-21,Completed,0
ENG-00049,Sprint 7,2024-09-21,2024-09-21,Completed,0
ENG-00049,Sprint 8,2024-10-21,2024-10-21,Completed,0
ENG-00049,Sprint 9,2024-11-21,2024-11-24,Completed,3
