engagement_id,as_of_date,top_drivers,top_driver_detail
ENG-00009,2025-06-01,No material driver detected,
ENG-00009,2025-07-01,No material driver detected,
ENG-00009,2025-08-01,No material driver detected,
ENG-00009,2025-09-01,No material driver detected,
ENG-00009,2025-10-01,No material driver detected,
ENG-00009,2025-11-01,Sentiment | Client feedback | Role profile,Sentiment (+1.63) | Client feedback (+0.96) | Role profile (+0.35)
ENG-00009,2025-12-01,Client feedback | Performance | Sentiment,Client feedback (+1.55) | Performance (+0.97) | Sentiment (+0.77)
ENG-00010,2024-05-01,No material driver detected,
ENG-00010,2024-06-01,Client feedback | Contract stage | Utilisation,Client feedback (+1.49) | Contract stage (+0.46) | Utilisation (+0.23)
ENG-00010,2024-07-01,Sentiment | Milestone delivery | Contract stage,Sentiment (+1.14) | Milestone delivery (+0.38) | Contract stage (+0.38)
ENG-00010,2024-08-01,Client feedback | Performance | Sentiment,Client feedback (+1.35) | Performance (+0.75) | Sentiment (+0.47)
ENG-00010,2024-09-01,Client feedback | Sentiment | Performance,Client feedback (+2.54) | Sentiment (+1.49) | Performance (+1.41)
ENG-00011,2024-11-01,No material driver detected,
ENG-00011,2024-12-01,No material driver detected,
ENG-00011,2025-01-01,No material driver detected,
ENG-00011,2025-02-01,No material driver detected,
ENG-00011,2025-03-01,No material driver detected,
ENG-00011,2025-04-01,Sentiment | Client feedback | Role profile,Sentiment (+1.20) | Client feedback (+0.36) | Role profile (+0.25)
ENG-00011,2025-05-01,No material driver detected,
ENG-00011,2025-06-01,No material driver detected,
ENG-00012,2026-02-01,No material driver detected,
ENG-00012,2026-03-01,Sentiment | Milestone delivery | Client feedback,Sentiment (+1.45) | Milestone delivery (+0.54) | Client feedback (+0.31)
ENG-00012,2026-04-01,No material driver detected,
ENG-00012,2026-05-01,No material driver detected,
ENG-00012,2026-06-01,No material driver detected,
ENG-00012,2026-07-01,No material driver detected,
ENG-00012,2026-08-01,No material driver detected,
ENG-00013,2026-04-01,Performance | Role profile | Contract stage,Performance (+0.72) | Role profile (+0.26) | Contract stage (+0.23)
ENG-00013,2026-05-01,Client feedback | Sentiment | Utilisation,Client feedback (+0.91) | Sentiment (+0.68) | Utilisation (+0.30)
ENG-00013,2026-06-01,Performance | Client feedback | Sentiment,Performance (+2.10) | Client feedback (+1.39) | Sentiment (+0.72)
ENG-00013,2026-07-01,No material driver detected,
ENG-00013,2026-08-01,Client feedback | Performance | Role profile,Client feedback (+1.25) | Performance (+0.65) | Role profile (+0.26)
ENG-00014,2024-03-01,Performance | Client feedback | Sentiment,Performance (+1.06) | Client feedback (+0.88) | Sentiment (+0.83)
ENG-00014,2024-04-01,Performance | Sentiment | Client feedback,Performance (+2.51) | Sentiment (+2.30) | Client feedback (+1.53)
ENG-00014,2024-05-01,Client feedback | Performance | Sentiment,Client feedback (+3.91) | Performance (+2.00) | Sentiment (+1.93)
ENG-00014,2024-06-01,Client feedback | Performance | Sentiment,Client feedback (+3.91) | Performance (+3.10) | Sentiment (+2.48)
ENG-00015,2025-05-01,No material driver detected,
ENG-00015,2025-06-01,No material driver detected,
ENG-00015,2025-07-01,Performance | Client feedback | Utilisation,Performance (+0.73) | Client feedback (+0.18) | Utilisation (+0.16)
ENG-00015,2025-08-01,No material driver detected,
ENG-00015,2025-09-01,No material driver detected,
ENG-00015,2025-10-01,No material driver detected,
ENG-00015,2025-11-01,Client feedback | Milestone delivery,Client feedback (+2.93) | Milestone delivery (+0.67)
ENG-00015,2025-12-01,No material driver detected,
ENG-00015,2026-01-01,No material driver detected,
ENG-00015,2026-02-01,No material driver detected,
ENG-00015,2026-03-01,Sentiment | Performance | Client feedback,Sentiment (+1.45) | Performance (+1.14) | Client feedback (+0.42)
ENG-00016,2025-03-01,No material driver detected,
ENG-00016,2025-04-01,No material driver detected,
ENG-00016,2025-05-01,No material driver detected,
ENG-00016,2025-06-01,No material driver detected,
ENG-00016,2025-07-01,No material driver detected,
ENG-00016,2025-08-01,Performance | Sentiment,Performance (+1.71) | Sentiment (+0.78)
ENG-00016,2025-09-01,Client feedback | Performance | Sentiment,Client feedback (+1.52) | Performance (+0.92) | Sentiment (+0.36)
ENG-00016,2025-10-01,Client feedback | Sentiment | Milestone delivery,Client feedback (+1.59) | Sentiment (+1.38) | Milestone delivery (+1.06)
ENG-00016,2025-11-01,Performance | Client feedback | Sentiment,Performance (+2.00) | Client feedback (+1.06) | Sentiment (+0.78)
ENG-00017,2026-08-01,Performance | Client feedback | Contract stage,Performance (+1.29) | Client feedback (+0.42) | Contract stage (+0.23)
ENG-00018,2025-06-01,No material driver detected,
ENG-00018,2025-07-01,Performance | Sentiment | Client feedback,Performance (+1.85) | Sentiment (+1.17) | Client feedback (+1.08)
ENG-00018,2025-08-01,Performance | Client feedback | Sentiment,Performance (+1.35) | Client feedback (+1.10) | Sentiment (+0.48)
ENG-00018,2025-09-01,Sentiment | Client feedback | Contract stage,Sentiment (+2.22) | Client feedback (+1.05) | Contract stage (+0.18)
ENG-00019,2024-02-01,No material driver detected,
ENG-00019,2024-03-01,No material driver detected,
ENG-00019,2024-04-01,No material driver detected,
ENG-00019,2024-05-01,Performance | Client feedback | Sentiment,Performance (+1.07) | Client feedback (+1.04) | Sentiment (+0.24)
ENG-00019,2024-06-01,No material driver detected,
ENG-00019,2024-07-01,No material driver detected,
ENG-00019,2024-08-01,No material driver detected,
ENG-00019,2024-09-01,No material driver detected,
ENG-00019,2024-10-01,No material driver detected,
ENG-00019,2024-11-01,No material driver detected,
ENG-00019,2024-12-01,No material driver detected,
ENG-00020,2024-06-01,No material driver detected,
ENG-00020,2024-07-01,No material driver detected,
ENG-00020,2024-08-01,Client feedback | Performance | Contract stage,Client feedback (+1.18) | Performance (+0.81) | Contract stage (+0.19)
ENG-00020,2024-09-01,No material driver detected,
ENG-00020,2024-10-01,No material driver detected,
ENG-00020,2024-11-01,No material driver detected,
ENG-00020,2024-12-01,No material driver detected,
ENG-00020,2025-01-01,No material driver detected,
ENG-00020,2025-02-01,No material driver detected,
ENG-00020,2025-03-01,No material driver detected,
ENG-00021,2024-07-01,No material driver detected,
ENG-00021,2024-08-01,Performance | Sentiment | Utilisation,Performance (+1.29) | Sentiment (+0.33) | Utilisation (+0.26)
ENG-00021,2024-09-01,Performance | Sentiment | Client feedback,Performance (+1.17) | Sentiment (+0.61) | Client feedback (+0.57)
ENG-00021,2024-10-01,Performance | Client feedback | Sentiment,Performance (+2.13) | Client feedback (+1.64) | Sentiment (+0.98)
ENG-00021,2024-11-01,Client feedback | Performance | Sentiment,Client feedback (+1.75) | Performance (+1.55) | Sentiment (+1.05)
ENG-00021,2024-12-01,Client feedback | Performance | Sentiment,Client feedback (+2.87) | Performance (+2.50) | Sentiment (+2.43)
ENG-00022,2025-10-01,No material driver detected,
ENG-00022,2025-11-01,Performance | Sentiment | Client feedback,Performance (+0.91) | Sentiment (+0.68) | Client feedback (+0.21)
ENG-00022,2025-12-01,No material driver detected,
ENG-00022,2026-01-01,No material driver detected,
ENG-00022,2026-02-01,No material driver detected,
ENG-00022,2026-03-01,No material driver detected,
ENG-00022,2026-04-01,No material driver detected,
ENG-00022,2026-05-01,No material driver detected,
ENG-00022,2026-06-01,No material driver detected,
ENG-00022,2026-07-01,No material driver detected,
ENG-00022,2026-08-01,No material driver detected,
ENG-00023,2026-08-01,Client feedback | Sentiment | Contract stage,Client feedback (+0.87) | Sentiment (+0.74) | Contract stage (+0.41)
ENG-00023,2026-09-01,Client feedback | Sentiment | Utilisation,Client feedback (+1.29) | Sentiment (+1.03) | Utilisation (+0.47)
ENG-00023,2026-10-01,Performance | Sentiment | Client feedback,Performance (+1.01) | Sentiment (+0.68) | Client feedback (+0.38)
ENG-00023,2026-11-01,Client feedback | Performance | Sentiment,Client feedback (+3.21) | Performance (+2.70) | Sentiment (+2.50)
ENG-00023,2026-12-01,Performance | Client feedback | Sentiment,Performance (+4.20) | Client feedback (+2.06) | Sentiment (+1.88)
ENG-00024,2024-07-01,No material driver detected,
ENG-00024,2024-08-01,No material driver detected,
ENG-00024,2024-09-01,No material driver detected,
ENG-00024,2024-10-01,No material driver detected,
ENG-00024,2024-11-01,No material driver detected,
ENG-00024,2024-12-01,No material driver detected,
ENG-00024,2025-01-01,No material driver detected,
ENG-00024,2025-02-01,No material driver detected,
ENG-00024,2025-03-01,No material driver detected,
ENG-00024,2025-04-01,No material driver detected,
ENG-00025,2024-12-01,No material driver detected,
ENG-00025,2025-01-01,No material driver detected,
ENG-00025,2025-02-01,No material driver detected,
ENG-00025,2025-03-01,No material driver detected,
ENG-00025,2025-04-01,No material driver detected,
ENG-00025,2025-05-01,No material driver detected,
ENG-00025,2025-06-01,No material driver detected,
ENG-00025,2025-07-01,No material driver detected,
ENG-00025,2025-08-01,No material driver detected,
ENG-00025,2025-09-01,No material driver detected,
ENG-00025,2025-10-01,No material driver detected,
ENG-00025,2025-11-01,No material driver detected,
ENG-00026,2025-02-01,No material driver detected,
ENG-00026,2025-03-01,Client feedback | Sentiment | Contract stage,Client feedback (+2.35) | Sentiment (+0.70) | Contract stage (+0.39)
ENG-00026,2025-04-01,Client feedback | Milestone delivery | Contract stage,Client feedback (+1.05) | Milestone delivery (+0.69) | Contract stage (+0.32)
ENG-00026,2025-05-01,Performance | Client feedback | Sentiment,Performance (+2.76) | Client feedback (+2.20) | Sentiment (+2.06)
ENG-00027,2024-07-01,No material driver detected,
ENG-00027,2024-08-01,No material driver detected,
ENG-00027,2024-09-01,No material driver detected,
ENG-00027,2024-10-01,No material driver detected,
ENG-00027,2024-11-01,No material driver detected,
ENG-00027,2024-12-01,No material driver detected,
ENG-00027,2025-01-01,No material driver detected,
ENG-00027,2025-02-01,No material driver detected,
ENG-00027,2025-03-01,No material driver detected,
ENG-00027,2025-04-01,No material driver detected,
ENG-00027,2025-05-01,No material driver detected,
ENG-00027,2025-06-01,No material driver detected,
ENG-00027,2025-07-01,No material driver detected,
ENG-00028,2026-07-01,No material driver detected,
ENG-00028,2026-08-01,No material driver detected,
ENG-00029,2024-04-01,No material driver detected,
ENG-00029,2024-05-01,No material driver detected,
ENG-00029,2024-06-01,No material driver detected,
ENG-00029,2024-07-01,No material driver detected,
ENG-00029,2024-08-01,No material driver detected,
ENG-00029,2024-09-01,Client feedback,Client feedback (+2.40)
ENG-00029,2024-10-01,Performance | Sentiment | Utilisation,Performance (+2.17) | Sentiment (+1.02) | Utilisation (+0.28)
ENG-00030,2024-08-01,No material driver detected,
ENG-00030,2024-09-01,Client feedback | Performance | Sentiment,Client feedback (+1.28) | Performance (+0.78) | Sentiment (+0.41)
ENG-00030,2024-10-01,No material driver detected,
ENG-00030,2024-11-01,No material driver detected,
ENG-00030,2024-12-01,No material driver detected,
ENG-00030,2025-01-01,No material driver detected,
ENG-00030,2025-02-01,No material driver detected,
ENG-00030,2025-03-01,No material driver detected,
ENG-00030,2025-04-01,No material driver detected,
ENG-00030,2025-05-01,No material driver detected,
ENG-00030,2025-06-01,No material driver detected,
ENG-00030,2025-07-01,No material driver detected,
ENG-00030,2025-08-01,No material driver detected,
ENG-00031,2024-08-01,No material driver detected,
ENG-00031,2024-09-01,Client feedback | Performance | Contract stage,Client feedback (+2.14) | Performance (+0.56) | Contract stage (+0.21)
ENG-00031,2024-10-01,No material driver detected,
ENG-00031,2024-11-01,No material driver detected,
ENG-00031,2024-12-01,No material driver detected,
ENG-00031,2025-01-01,No material driver detected,
ENG-00031,2025-02-01,No material driver detected,
ENG-00031,2025-03-01,No material driver detected,
ENG-00031,2025-04-01,No material driver detected,
ENG-00031,2025-05-01,No material driver detected,
ENG-00031,2025-06-01,No material driver detected,
ENG-00032,2024-11-01,No material driver detected,
ENG-00032,2024-12-01,No material driver detected,
ENG-00032,2025-01-01,No material driver detected,
ENG-00032,2025-02-01,No material driver detected,
ENG-00032,2025-03-01,No material driver detected,
ENG-00032,2025-04-01,No material driver detected,
ENG-00032,2025-05-01,No material driver detected,
ENG-00032,2025-06-01,No material driver detected,
ENG-00032,2025-07-01,No material driver detected,
ENG-00032,2025-08-01,No material driver detected,
ENG-00032,2025-09-01,No material driver detected,
ENG-00033,2025-02-01,Contract stage | Performance | Client feedback,Contract stage (+0.54) | Performance (+0.50) | Client feedback (+0.30)
ENG-00033,2025-03-01,Sentiment | Client feedback | Performance,Sentiment (+1.75) | Client feedback (+1.52) | Performance (+0.65)
ENG-00033,2025-04-01,Client feedback | Performance | Contract stage,Client feedback (+2.94) | Performance (+2.78) | Contract stage (+0.38)
ENG-00033,2025-05-01,Performance | Sentiment | Client feedback,Performance (+1.89) | Sentiment (+1.48) | Client feedback (+1.23)
ENG-00034,2025-01-01,No material driver detected,
ENG-00034,2025-02-01,No material driver detected,
ENG-00034,2025-03-01,Performance | Client feedback | Role profile,Performance (+3.01) | Client feedback (+1.78) | Role profile (+0.35)
ENG-00034,2025-04-01,Client feedback | Sentiment | Performance,Client feedback (+3.64) | Sentiment (+2.51) | Performance (+1.14)
ENG-00034,2025-05-01,Performance | Sentiment | Client feedback,Performance (+2.62) | Sentiment (+1.66) | Client feedback (+0.53)
ENG-00035,2024-08-01,No material driver detected,
ENG-00035,2024-09-01,No material driver detected,
ENG-00035,2024-10-01,No material driver detected,
ENG-00035,2024-11-01,No material driver detected,
ENG-00035,2024-12-01,No material driver detected,
ENG-00035,2025-01-01,No material driver detected,
ENG-00035,2025-02-01,No material driver detected,
ENG-00035,2025-03-01,No material driver detected,
ENG-00035,2025-04-01,No material driver detected,
ENG-00036,2024-04-01,No material driver detected,
ENG-00036,2024-05-01,No material driver detected,
ENG-00036,2024-06-01,No material driver detected,
ENG-00036,2024-07-01,No material driver detected,
ENG-00036,2024-08-01,No material driver detected,
ENG-00036,2024-09-01,No material driver detected,
ENG-00036,2024-10-01,No material driver detected,
ENG-00036,2024-11-01,No material driver detected,
ENG-00036,2024-12-01,Performance | Role profile | Utilisation,Performance (+1.31) | Role profile (+0.35) | Utilisation (+0.34)
ENG-00036,2025-01-01,Sentiment | Client feedback | Role profile,Sentiment (+1.26) | Client feedback (+1.20) | Role profile (+0.35)
ENG-00037,2024-03-01,No material driver detected,
ENG-00037,2024-04-01,No material driver detected,
ENG-00037,2024-05-01,No material driver detected,
ENG-00037,2024-06-01,No material driver detected,
ENG-00037,2024-07-01,Client feedback | Performance | Sentiment,Client feedback (+0.68) | Performance (+0.46) | Sentiment (+0.43)
ENG-00037,2024-08-01,No material driver detected,
ENG-00037,2024-09-01,No material driver detected,
ENG-00037,2024-10-01,No material driver detected,
ENG-00037,2024-11-01,No material driver detected,
ENG-00037,2024-12-01,No material driver detected,
ENG-00037,2025-01-01,Client feedback | Sentiment | Performance,Client feedback (+1.27) | Sentiment (+1.11) | Performance (+1.05)
ENG-00038,2024-08-01,No material driver detected,
ENG-00038,2024-09-01,No material driver detected,
ENG-00038,2024-10-01,No material driver detected,
ENG-00038,2024-11-01,No material driver detected,
ENG-00038,2024-12-01,No material driver detected,
ENG-00038,2025-01-01,No material driver detected,
ENG-00038,2025-02-01,No material driver detected,
ENG-00038,2025-03-01,No material driver detected,
ENG-00038,2025-04-01,No material driver detected,
ENG-00038,2025-05-01,Sentiment | Client feedback | Role profile,Sentiment (+0.94) | Client feedback (+0.81) | Role profile (+0.26)
ENG-00039,2024-03-01,No material driver detected,
ENG-00039,2024-04-01,No material driver detected,
ENG-00039,2024-05-01,Performance | Milestone delivery | Role profile,Performance (+1.81) | Milestone delivery (+0.56) | Role profile (+0.25)
ENG-00039,2024-06-01,No material driver detected,
ENG-00039,2024-07-01,No material driver detected,
ENG-00039,2024-08-01,No material driver detected,
ENG-00039,2024-09-01,Performance | Utilisation | Role profile,Performance (+1.23) | Utilisation (+0.29) | Role profile (+0.25)
ENG-00039,2024-10-01,No material driver detected,
ENG-00039,2024-11-01,No material driver detected,
ENG-00039,2024-12-01,No material driver detected,
ENG-00039,2025-01-01,No material driver detected,
ENG-00039,2025-02-01,No material driver detected,
ENG-00039,2025-03-01,Sentiment | Client feedback | Performance,Sentiment (+1.03) | Client feedback (+0.67) | Performance (+0.58)
ENG-00040,2024-08-01,No material driver detected,
ENG-00040,2024-09-01,No material driver detected,
ENG-00040,2024-10-01,No material driver detected,
ENG-00040,2024-11-01,No material driver detected,
ENG-00040,2024-12-01,No material driver detected,
ENG-00040,2025-01-01,No material driver detected,
ENG-00040,2025-02-01,No material driver detected,
ENG-00040,2025-03-01,No material driver detected,
ENG-00040,2025-04-01,No material driver detected,
ENG-00040,2025-05-01,No material driver detected,
ENG-00040,2025-06-01,No material driver detected,
ENG-00040,2025-07-01,Sentiment | Client feedback | Performance,Sentiment (+1.30) | Client feedback (+0.91) | Performance (+0.85)
ENG-00040,2025-08-01,No material driver detected,
ENG-00041,2025-11-01,No material driver detected,
ENG-00041,2025-12-01,No material driver detected,
ENG-00041,2026-01-01,No material driver detected,
ENG-00041,2026-02-01,No material driver detected,
ENG-00041,2026-03-01,No material driver detected,
ENG-00041,2026-04-01,Performance | Client feedback | Utilisation,Performance (+0.90) | Client feedback (+0.80) | Utilisation (+0.29)
ENG-00041,2026-05-01,No material driver detected,
ENG-00041,2026-06-01,No material driver detected,
ENG-00041,2026-07-01,No material driver detected,
ENG-00041,2026-08-01,No material driver detected,
ENG-00042,2024-01-01,No material driver detected,
ENG-00042,2024-02-01,Performance | Client feedback | Contract stage,Performance (+2.65) | Client feedback (+0.96) | Contract stage (+0.46)
ENG-00042,2024-03-01,Client feedback | Sentiment | Performance,Client feedback (+2.39) | Sentiment (+2.24) | Performance (+0.76)
ENG-00042,2024-04-01,Performance | Client feedback | Sentiment,Performance (+2.40) | Client feedback (+1.77) | Sentiment (+1.68)
ENG-00043,2025-11-01,No material driver detected,
ENG-00043,2025-12-01,No material driver detected,
ENG-00043,2026-01-01,No material driver detected,
ENG-00043,2026-02-01,No material driver detected,
ENG-00043,2026-03-01,No material driver detected,
ENG-00043,2026-04-01,No material driver detected,
ENG-00043,2026-05-01,No material driver detected,
ENG-00043,2026-06-01,No material driver detected,
ENG-00044,2025-08-01,Performance | Client feedback | Sentiment,Performance (+1.08) | Client feedback (+0.61) | Sentiment (+0.45)
ENG-00044,2025-09-01,No material driver detected,
ENG-00044,2025-10-01,No material driver detected,
ENG-00044,2025-11-01,Sentiment | Client feedback | Role profile,Sentiment (+1.13) | Client feedback (+0.67) | Role profile (+0.35)
ENG-00044,2025-12-01,Client feedback | Sentiment | Role profile,Client feedback (+1.81) | Sentiment (+0.37) | Role profile (+0.35)
ENG-00044,2026-01-01,No material driver detected,
ENG-00044,2026-02-01,Sentiment | Client feedback | Performance,Sentiment (+1.49) | Client feedback (+1.46) | Performance (+0.42)
ENG-00044,2026-03-01,No material driver detected,
ENG-00044,2026-04-01,Client feedback | Performance | Sentiment,Client feedback (+1.86) | Performance (+0.74) | Sentiment (+0.36)
ENG-00045,2025-10-01,No material driver detected,
ENG-00045,2025-11-01,No material driver detected,
ENG-00045,2025-12-01,No material driver detected,
ENG-00045,2026-01-01,No material driver detected,
ENG-00045,2026-02-01,No material driver detected,
ENG-00045,2026-03-01,No material driver detected,
ENG-00045,2026-04-01,No material driver detected,
ENG-00045,2026-05-01,No material driver detected,
ENG-00045,2026-06-01,Client feedback | Sentiment | Performance,Client feedback (+2.44) | Sentiment (+0.37) | Performance (+0.34)
ENG-00045,2026-07-01,No material driver detected,
ENG-00045,2026-08-01,No material driver detected,
ENG-00046,2026-08-01,Performance | Contract stage | Client feedback,Performance (+1.00) | Contract stage (+0.41) | Client feedback (+0.39)
ENG-00046,2026-09-01,Sentiment | Performance | Contract stage,Sentiment (+1.35) | Performance (+0.57) | Contract stage (+0.33)
ENG-00046,2026-10-01,Client feedback | Sentiment | Performance,Client feedback (+3.50) | Sentiment (+2.07) | Performance (+1.69)
ENG-00046,2026-11-01,Client feedback | Performance | Sentiment,Client feedback (+5.23) | Performance (+2.56) | Sentiment (+1.14)
ENG-00047,2025-05-01,No material driver detected,
ENG-00047,2025-06-01,No material driver detected,
ENG-00047,2025-07-01,No material driver detected,
ENG-00047,2025-08-01,No material driver detected,
ENG-00047,2025-09-01,No material driver detected,
ENG-00047,2025-10-01,No material driver detected,
ENG-00047,2025-11-01,No material driver detected,
ENG-00047,2025-12-01,No material driver detected,
ENG-00047,2026-01-01,Client feedback | Performance | Sentiment,Client feedback (+3.52) | Performance (+2.26) | Sentiment (+1.29)
ENG-00047,2026-02-01,Performance | Sentiment | Client feedback,Performance (+1.77) | Sentiment (+1.55) | Client feedback (+0.68)
ENG-00047,2026-03-01,Client feedback | Sentiment | Performance,Client feedback (+3.05) | Sentiment (+2.19) | Performance (+0.68)
ENG-00048,2024-12-01,No material driver detected,
ENG-00048,2025-01-01,No material driver detected,
ENG-00048,2025-02-01,No material driver detected,
ENG-00048,2025-03-01,No material driver detected,
ENG-00048,2025-04-01,No material driver detected,
ENG-00048,2025-05-01,No material driver detected,
ENG-00048,2025-06-01,No material driver detected,
ENG-00048,2025-07-01,No material driver detected,
ENG-00048,2025-08-01,No material driver detected,
ENG-00048,2025-09-01,No material driver detected,
ENG-00048,2025-10-01,No material driver detected,
ENG-00049,2024-03-01,No material driver detected,
ENG-00049,2024-04-01,No material driver detected,
ENG-00049,2024-05-01,No material driver detected,
ENG-00049,2024-06-01,No material driver detected,
ENG-00049,2024-07-01,No material driver detected,
ENG-00049,2024-08-01,No material driver detected,
ENG-00049,2024-09-01,No material driver detected,
ENG-00049,2024-10-01,No material driver detected,
ENG-00049,2024-11-01,No material driver detected,
ENG-00049,2024-12-01,No material driver detected,
ENG-00049,2025-01-01,No material driver detected,
ENG-00049,2025-02-01,No material driver detected,
ENG-00050,2025-09-01,No material driver detected,
ENG-00050,2025-10-01,Client feedback | Sentiment | Performance,Client feedback (+1.40) | Sentiment (+0.72) | Performance (+0.64)
ENG-00050,2025-11-01,No material driver detected,
ENG-00050,2025-12-01,Client feedback | Role profile,Client feedback (+2.75) | Role profile (+0.35)
ENG-00050,2026-01-01,Performance | Client feedback | Sentiment,Performance (+1.36) | Client feedback (+1.29) | Sentiment (+1.28)
ENG-00050,2026-02-01,Performance | Sentiment | Client feedback,Performance (+3.13) | Sentiment (+2.35) | Client feedback (+0.55)
ENG-00051,2024-08-01,No material driver detected,
ENG-00051,2024-09-01,No material driver detected,
ENG-00051,2024-10-01,No material driver detected,
ENG-00051,2024-11-01,No material driver detected,
ENG-00051,2024-12-01,No material driver detected,
ENG-00051,2025-01-01,No material driver detected,
ENG-00051,2025-02-01,No material driver detected,
ENG-00051,2025-03-01,No material driver detected,
ENG-00051,2025-04-01,No material driver detected,
ENG-00051,2025-05-01,No material driver detected,
ENG-00051,2025-06-01,No material driver detected,
ENG-00052,2024-05-01,Client feedback | Performance | Sentiment,Client feedback (+1.69) | Performance (+1.35) | Sentiment (+0.90)
ENG-00052,2024-06-01,Client feedback | Sentiment | Performance,Client feedback (+1.08) | Sentiment (+1.00) | Performance (+0.73)
ENG-00052,2024-07-01,Performance | Client feedback | Milestone delivery,Performance (+2.00) | Client feedback (+1.69) | Milestone delivery (+0.84)
ENG-00052,2024-08-01,Performance | Client feedback | Sentiment,Performance (+2.09) | Client feedback (+1.67) | Sentiment (+1.07)
ENG-00052,2024-09-01,Client feedback | Sentiment | Utilisation,Client feedback (+1.85) | Sentiment (+1.03) | Utilisation (+0.18)
