engagement_id,as_of_date,client_id,talent_id,role,risk_target,behs,performance_health,client_feedback_health,milestone_health,utilisation_health,sentiment_health,behs_delta,performance_health_delta,client_feedback_health_delta,milestone_health_delta,utilisation_health_delta,sentiment_health_delta,technical_score,delivery_score,communication_score,overall_score,feedback_rating,feedback_count,delay_days,delayed_milestones,milestone_count,utilisation,utilisation_delta,engagement_age_months,remaining_months,monthly_contract_value,contract_exposure
ENG-00001,2024-11-01,C-0023,T-0019,Data Engineer,0,73.05,75.38,77.96,85.71,68.84,55.72,4.469999999999999,-1.6899999999999977,1.1199999999999903,18.25,-2.8499999999999943,7.210000000000001,78.05,70.43,76.78,78.86,3.9,1,2.0,0,1,0.5693,-0.12819999999999998,10,0,849199.4,0.0
ENG-00002,2024-07-01,C-0012,T-0161,BI Developer,0,75.52,76.48,80.11,90.14,74.0,56.27,0.0,0.0,0.0,0.0,0.0,0.0,78.15,74.21,74.69,81.16,4.01,1,2.0,0,1,0.6027,0.0,0,6,2919287.51,17515725.06
ENG-00002,2024-08-01,C-0012,T-0161,BI Developer,1,71.81,78.81,68.11,90.28,70.11,49.56,-3.7099999999999937,2.3299999999999983,-12.0,0.14000000000000057,-3.8900000000000006,-6.710000000000001,81.03,82.2,75.5,77.93,3.41,1,0.0,0,1,0.6652,0.0625,1,5,2919287.51,14596437.549999999
ENG-00002,2024-09-01,C-0012,T-0161,BI Developer,1,62.09,62.44,59.07,76.37,73.26,42.04,-9.719999999999999,-16.370000000000005,-9.04,-13.909999999999997,3.1500000000000057,-7.520000000000003,62.6,64.72,52.04,64.74,2.95,1,2.0,0,1,0.7394,0.07419999999999993,2,4,2919287.51,11677150.04
ENG-00002,2024-10-01,C-0012,T-0161,BI Developer,1,49.15,60.79,56.45,44.54,58.01,25.26,-12.940000000000005,-1.6499999999999986,-2.6199999999999974,-31.830000000000005,-15.250000000000007,-16.779999999999998,63.05,57.84,49.0,55.21,2.82,1,8.0,1,1,0.4399,-0.29949999999999993,3,3,2919287.51,8757862.53
ENG-00003,2024-10-01,C-0010,T-0319,AI Engineer,0,84.4,81.78,94.05,100.0,78.99,66.48,0.0,0.0,0.0,0.0,0.0,0.0,83.7,83.39,90.18,90.63,4.7,1,0.0,0,1,0.6679,0.0,0,6,871689.12,5230134.72
ENG-00003,2024-11-01,C-0010,T-0319,AI Engineer,0,82.48,83.76,89.16,85.77,81.93,71.34,-1.9200000000000017,1.980000000000004,-4.890000000000001,-14.230000000000004,2.940000000000012,4.859999999999999,88.59,93.33,93.04,86.15,4.46,1,2.0,0,1,0.8674,0.1994999999999999,1,5,871689.12,4358445.6
ENG-00003,2024-12-01,C-0010,T-0319,AI Engineer,0,81.15,83.91,82.77,99.62,73.89,63.07,-1.3299999999999983,0.14999999999999147,-6.390000000000001,13.850000000000009,-8.040000000000006,-8.270000000000003,83.66,86.99,79.26,87.44,4.14,1,0.0,0,1,0.6304,-0.237,2,4,871689.12,3486756.48
ENG-00003,2025-01-01,C-0010,T-0319,AI Engineer,0,82.59,88.47,85.13,82.4,79.59,75.15,1.4399999999999977,4.560000000000002,2.3599999999999994,-17.22,5.700000000000003,12.080000000000005,92.11,80.31,99.07,85.78,4.26,1,3.0,0,1,0.6466,0.016199999999999992,3,3,871689.12,2615067.36
ENG-00003,2025-02-01,C-0010,T-0319,AI Engineer,0,80.18,84.48,90.47,89.87,72.64,60.48,-2.4099999999999966,-3.989999999999995,5.340000000000003,7.469999999999999,-6.950000000000003,-14.670000000000009,87.97,83.81,92.32,87.92,4.52,1,2.0,0,1,0.6544,0.007800000000000029,4,2,871689.12,1743378.24
ENG-00003,2025-03-01,C-0010,T-0319,AI Engineer,0,85.17,79.16,93.31,99.89,73.63,78.46,4.989999999999995,-5.320000000000007,2.8400000000000034,10.019999999999996,0.9899999999999949,17.979999999999997,77.81,79.7,79.39,89.3,4.67,1,0.0,0,1,0.6962,0.04180000000000006,5,1,871689.12,871689.12
ENG-00003,2025-04-01,C-0010,T-0319,AI Engineer,0,81.67,88.82,87.5,85.62,76.67,66.73,-3.5,9.659999999999997,-5.810000000000002,-14.269999999999996,3.0400000000000063,-11.72999999999999,85.55,93.43,90.53,87.56,4.37,1,1.0,0,1,0.6793,-0.016900000000000026,6,0,871689.12,0.0
ENG-00004,2026-05-01,C-0023,T-0274,AI Engineer,0,68.73,67.55,75.93,80.08,70.08,50.66,0.0,0.0,0.0,0.0,0.0,0.0,65.57,68.72,64.77,73.62,3.8,1,2.0,0,1,0.6894,0.0,0,6,1727105.82,10362634.92
ENG-00004,2026-06-01,C-0023,T-0274,AI Engineer,0,72.84,73.45,71.6,83.68,73.98,61.6,4.109999999999999,5.900000000000006,-4.3300000000000125,3.6000000000000085,3.9000000000000057,10.940000000000005,77.36,87.29,78.35,75.36,3.58,1,2.0,0,1,0.7129,0.023499999999999965,1,5,1727105.82,8635529.1
ENG-00004,2026-07-01,C-0023,T-0274,AI Engineer,0,69.43,74.43,68.01,81.78,74.53,48.41,-3.4099999999999966,0.980000000000004,-3.589999999999989,-1.9000000000000057,0.5499999999999972,-13.190000000000005,74.98,78.26,78.42,74.02,3.4,1,2.0,0,1,0.6613,-0.05159999999999998,2,4,1727105.82,6908423.28
ENG-00004,2026-08-01,C-0023,T-0274,AI Engineer,0,65.21,70.16,76.8,58.54,69.8,50.67,-4.220000000000013,-4.27000000000001,8.789999999999992,-23.240000000000002,-4.730000000000004,2.260000000000005,73.81,66.78,73.23,69.58,3.84,1,6.0,1,1,0.6381,-0.0232,3,3,1727105.82,5181317.46
ENG-00005,2024-03-01,C-0056,T-0041,Data Engineer,0,63.54,71.46,75.71,55.84,64.15,48.73,0.0,0.0,0.0,0.0,0.0,0.0,72.17,67.76,66.62,69.04,3.79,1,8.0,1,1,0.587,0.0,0,11,2473355.07,27206905.77
ENG-00005,2024-04-01,C-0056,T-0041,Data Engineer,0,69.18,73.96,76.03,87.48,57.99,46.47,5.640000000000008,2.5,0.3200000000000074,31.64,-6.160000000000004,-2.259999999999998,71.87,68.07,74.09,78.06,3.8,1,1.0,0,1,0.5207,-0.06629999999999991,1,10,2473355.07,24733550.7
ENG-00005,2024-05-01,C-0056,T-0041,Data Engineer,0,69.95,65.43,73.66,94.99,65.13,50.45,0.769999999999996,-8.529999999999987,-2.3700000000000045,7.509999999999991,7.1399999999999935,3.980000000000004,66.65,66.06,64.25,75.7,3.68,1,0.0,0,1,0.4558,-0.06490000000000007,2,9,2473355.07,22260195.63
ENG-00005,2024-06-01,C-0056,T-0041,Data Engineer,0,67.38,67.98,70.53,76.73,74.68,48.67,-2.5700000000000074,2.549999999999997,-3.1299999999999955,-18.25999999999999,9.550000000000011,-1.7800000000000011,64.12,64.19,68.85,71.06,3.53,1,3.0,0,1,0.7052,0.24940000000000007,3,8,2473355.07,19786840.56
ENG-00005,2024-07-01,C-0056,T-0041,Data Engineer,0,69.92,78.77,70.26,79.86,71.46,47.42,2.5400000000000063,10.789999999999992,-0.269999999999996,3.1299999999999955,-3.220000000000013,-1.25,76.72,71.0,69.62,76.06,3.51,1,3.0,0,1,0.578,-0.1272000000000001,4,7,2473355.07,17313485.49
ENG-00005,2024-08-01,C-0056,T-0041,Data Engineer,0,64.02,69.45,75.34,65.89,70.3,39.35,-5.900000000000006,-9.319999999999993,5.079999999999998,-13.969999999999999,-1.1599999999999966,-8.07,67.47,67.45,71.45,70.62,3.77,1,5.0,1,1,0.5747,-0.0032999999999999696,5,6,2473355.07,14840130.419999998
ENG-00005,2024-09-01,C-0056,T-0041,Data Engineer,0,74.31,76.21,67.01,95.75,79.98,53.54,10.290000000000006,6.759999999999991,-8.329999999999998,29.86,9.680000000000007,14.189999999999998,70.03,76.01,65.94,77.88,3.35,1,0.0,0,1,0.5478,-0.026900000000000035,6,5,2473355.07,12366775.35
ENG-00005,2024-10-01,C-0056,T-0041,Data Engineer,0,73.53,73.31,71.71,93.84,72.22,56.32,-0.7800000000000011,-2.8999999999999915,4.699999999999989,-1.9099999999999966,-7.760000000000005,2.780000000000001,73.85,79.45,74.61,77.88,3.59,1,0.0,0,1,0.6444,0.09660000000000002,7,4,2473355.07,9893420.28
ENG-00005,2024-11-01,C-0056,T-0041,Data Engineer,0,61.72,76.34,69.3,34.79,73.57,53.88,-11.810000000000002,3.030000000000001,-2.4099999999999966,-59.050000000000004,1.3499999999999943,-2.4399999999999977,79.51,58.72,84.14,63.49,3.46,1,12.0,1,1,0.6369,-0.007499999999999951,8,3,2473355.07,7420065.209999999
ENG-00005,2024-12-01,C-0056,T-0041,Data Engineer,0,65.96,73.33,68.16,66.73,72.19,49.1,4.239999999999995,-3.010000000000005,-1.1400000000000006,31.940000000000005,-1.3799999999999955,-4.780000000000001,81.03,79.24,73.38,69.87,3.41,1,5.0,1,1,0.6598,0.02290000000000003,9,2,2473355.07,4946710.14
ENG-00005,2025-01-01,C-0056,T-0041,Data Engineer,0,71.02,71.83,77.77,82.45,76.6,47.65,5.060000000000002,-1.5,9.61,15.719999999999999,4.409999999999997,-1.4500000000000028,65.51,73.75,81.07,76.57,3.89,1,2.0,0,1,0.7573,0.09749999999999992,10,1,2473355.07,2473355.07
ENG-00005,2025-02-01,C-0056,T-0041,Data Engineer,0,69.33,77.75,70.03,70.9,70.59,55.59,-1.6899999999999977,5.920000000000002,-7.739999999999995,-11.549999999999997,-6.009999999999991,7.940000000000005,78.16,67.49,72.3,73.34,3.5,1,4.0,1,1,0.5189,-0.23839999999999995,11,0,2473355.07,0.0
ENG-00006,2025-02-01,C-0057,T-0281,Data Scientist,0,87.5,84.27,96.02,98.01,81.96,76.66,0.0,0.0,0.0,0.0,0.0,0.0,89.51,88.65,95.01,91.82,4.8,1,0.0,0,1,0.8069,0.0,0,9,2670167.58,24031508.22
ENG-00006,2025-03-01,C-0057,T-0281,Data Scientist,0,83.7,85.81,91.78,95.86,72.72,69.07,-3.799999999999997,1.5400000000000063,-4.239999999999995,-2.1500000000000057,-9.239999999999995,-7.590000000000003,91.57,85.6,94.64,90.41,4.59,1,0.0,0,1,0.7534,-0.05349999999999999,1,8,2670167.58,21361340.64
ENG-00006,2025-04-01,C-0057,T-0281,Data Scientist,0,84.61,84.18,93.75,100.0,80.66,63.56,0.9099999999999966,-1.6299999999999955,1.9699999999999989,4.140000000000001,7.939999999999998,-5.509999999999991,84.83,92.42,85.99,91.48,4.69,1,0.0,0,1,0.7701,0.016700000000000048,2,7,2670167.58,18691173.060000002
ENG-00006,2025-05-01,C-0057,T-0281,Data Scientist,0,83.72,86.64,87.17,90.28,74.33,77.11,-0.8900000000000006,2.4599999999999937,-6.579999999999998,-9.719999999999999,-6.329999999999998,13.549999999999997,86.12,87.62,90.54,87.74,4.36,1,1.0,0,1,0.7127,-0.05740000000000001,3,6,2670167.58,16021005.48
ENG-00006,2025-06-01,C-0057,T-0281,Data Scientist,0,82.28,84.67,91.32,87.26,77.65,68.73,-1.4399999999999977,-1.9699999999999989,4.1499999999999915,-3.019999999999996,3.3200000000000074,-8.379999999999995,78.32,78.46,96.25,87.65,4.57,1,2.0,0,1,0.7374,0.024700000000000055,4,5,2670167.58,13350837.9
ENG-00006,2025-07-01,C-0057,T-0281,Data Scientist,0,84.31,80.59,85.06,100.0,76.5,78.39,2.030000000000001,-4.079999999999998,-6.259999999999991,12.739999999999995,-1.1500000000000057,9.659999999999997,82.48,73.91,90.96,87.01,4.25,1,0.0,0,1,0.664,-0.07340000000000002,5,4,2670167.58,10680670.32
ENG-00006,2025-08-01,C-0057,T-0281,Data Scientist,0,85.55,87.56,87.92,100.0,76.65,72.92,1.2399999999999949,6.969999999999999,2.8599999999999994,0.0,0.15000000000000568,-5.469999999999999,86.49,84.31,100.0,90.79,4.4,1,0.0,0,1,0.7864,0.12239999999999995,6,3,2670167.58,8010502.74
ENG-00006,2025-09-01,C-0057,T-0281,Data Scientist,0,82.86,82.33,93.4,95.85,82.57,60.21,-2.6899999999999977,-5.230000000000004,5.480000000000004,-4.150000000000006,5.9199999999999875,-12.71,81.32,81.27,86.42,89.58,4.67,1,0.0,0,1,0.7991,0.012700000000000045,7,2,2670167.58,5340335.16
ENG-00006,2025-10-01,C-0057,T-0281,Data Scientist,0,85.65,82.09,93.95,95.62,76.54,78.67,2.7900000000000063,-0.23999999999999488,0.5499999999999972,-0.22999999999998977,-6.029999999999987,18.46,88.79,85.67,81.87,89.62,4.7,1,0.0,0,1,0.7365,-0.06259999999999999,8,1,2670167.58,2670167.58
ENG-00006,2025-11-01,C-0057,T-0281,Data Scientist,0,83.62,87.42,93.93,90.46,77.01,66.68,-2.030000000000001,5.329999999999998,-0.01999999999999602,-5.160000000000011,0.46999999999999886,-11.989999999999995,88.78,86.75,93.55,90.46,4.7,1,2.0,0,1,0.5808,-0.15570000000000006,9,0,2670167.58,0.0
ENG-00007,2024-07-01,C-0023,T-0088,Data Analyst,0,80.34,84.72,84.12,100.0,72.45,57.34,0.0,0.0,0.0,0.0,0.0,0.0,90.31,89.56,98.28,88.33,4.21,1,0.0,0,1,0.535,0.0,0,7,1385891.02,9701237.14
ENG-00007,2024-08-01,C-0023,T-0088,Data Analyst,0,76.88,83.38,82.24,71.52,81.81,65.08,-3.460000000000008,-1.3400000000000034,-1.8800000000000097,-28.480000000000004,9.36,7.739999999999995,83.22,83.41,82.57,80.02,4.11,1,4.0,1,1,0.6907,0.15569999999999995,1,6,1385891.02,8315346.12
ENG-00007,2024-09-01,C-0023,T-0088,Data Analyst,0,73.1,76.99,74.18,79.92,70.84,62.04,-3.780000000000001,-6.390000000000001,-8.059999999999988,8.400000000000006,-10.969999999999999,-3.039999999999999,78.3,70.65,74.98,76.74,3.71,1,4.0,1,1,0.7341,0.043399999999999994,2,5,1385891.02,6929455.1
ENG-00007,2024-10-01,C-0023,T-0088,Data Analyst,0,78.78,78.02,89.31,83.45,80.36,63.32,5.680000000000007,1.0300000000000011,15.129999999999995,3.530000000000001,9.519999999999996,1.2800000000000011,80.93,82.37,77.42,83.33,4.47,1,2.0,0,1,0.7172,-0.016900000000000026,3,4,1385891.02,5543564.08
ENG-00007,2024-11-01,C-0023,T-0088,Data Analyst,0,75.02,77.43,75.68,95.12,75.3,51.05,-3.760000000000005,-0.5899999999999892,-13.629999999999995,11.670000000000002,-5.060000000000002,-12.270000000000003,84.09,76.18,74.4,81.24,3.78,1,1.0,0,1,0.6584,-0.05879999999999996,4,3,1385891.02,4157673.06
ENG-00007,2024-12-01,C-0023,T-0088,Data Analyst,0,79.1,73.01,86.17,95.09,74.25,67.3,4.079999999999998,-4.420000000000002,10.489999999999995,-0.030000000000001137,-1.0499999999999972,16.25,74.03,76.47,80.06,83.13,4.31,1,1.0,0,1,0.7274,0.06900000000000006,5,2,1385891.02,2771782.04
ENG-00007,2025-01-01,C-0023,T-0088,Data Analyst,0,68.88,78.6,79.17,53.15,73.89,58.4,-10.219999999999999,5.589999999999989,-7.0,-41.940000000000005,-0.35999999999999943,-8.899999999999999,76.88,73.77,79.44,72.44,3.96,1,8.0,1,1,0.5312,-0.19620000000000004,6,1,1385891.02,1385891.02
ENG-00007,2025-02-01,C-0023,T-0088,Data Analyst,0,77.26,77.27,75.33,96.16,76.19,61.06,8.38000000000001,-1.3299999999999983,-3.8400000000000034,43.01,2.299999999999997,2.6600000000000037,79.54,67.61,72.68,81.32,3.77,1,0.0,0,1,0.8632,0.33199999999999996,7,0,1385891.02,0.0
ENG-00008,2024-11-01,C-0031,T-0253,AI Engineer,0,79.43,83.78,85.97,86.01,68.22,69.3,0.0,0.0,0.0,0.0,0.0,0.0,80.62,79.48,86.81,85.1,4.3,1,1.0,0,1,0.5253,0.0,0,7,2703625.01,18925375.07
ENG-00008,2024-12-01,C-0031,T-0253,AI Engineer,0,77.81,75.38,82.66,94.53,70.85,64.48,-1.6200000000000045,-8.400000000000006,-3.3100000000000023,8.519999999999996,2.6299999999999955,-4.819999999999993,74.67,78.37,77.57,82.72,4.13,1,0.0,0,1,0.6177,0.09240000000000004,1,6,2703625.01,16221750.059999999
ENG-00008,2025-01-01,C-0031,T-0253,AI Engineer,0,77.41,80.66,85.31,91.92,70.77,55.93,-0.4000000000000057,5.280000000000001,2.6500000000000057,-2.6099999999999994,-0.0799999999999983,-8.550000000000004,83.74,82.09,84.13,85.1,4.27,1,1.0,0,1,0.666,0.04830000000000001,2,5,2703625.01,13518125.049999999
ENG-00008,2025-02-01,C-0031,T-0253,AI Engineer,0,77.64,79.15,85.19,79.34,74.11,69.17,0.23000000000000398,-1.509999999999991,-0.12000000000000455,-12.579999999999998,3.3400000000000034,13.240000000000002,81.68,77.37,84.22,81.31,4.26,1,4.0,1,1,0.6072,-0.058800000000000074,3,4,2703625.01,10814500.04
ENG-00008,2025-03-01,C-0031,T-0253,AI Engineer,0,80.71,81.1,93.56,96.75,72.31,57.66,3.069999999999993,1.9499999999999886,8.370000000000005,17.409999999999997,-1.7999999999999972,-11.510000000000005,87.28,77.74,80.26,89.37,4.68,1,0.0,0,1,0.5164,-0.09079999999999999,4,3,2703625.01,8110875.029999999
ENG-00008,2025-04-01,C-0031,T-0253,AI Engineer,0,73.03,76.28,75.11,89.86,72.63,50.34,-7.679999999999993,-4.819999999999993,-18.450000000000003,-6.890000000000001,0.3199999999999932,-7.319999999999993,73.37,80.38,74.94,79.27,3.76,1,3.0,0,1,0.6029,0.08650000000000002,5,2,2703625.01,5407250.02
ENG-00008,2025-05-01,C-0031,T-0253,AI Engineer,0,75.93,77.98,84.75,89.9,73.4,52.46,2.9000000000000057,1.7000000000000028,9.64,0.04000000000000625,0.7700000000000102,2.1199999999999974,79.57,68.25,76.25,83.33,4.24,1,1.0,0,1,0.7316,0.12870000000000004,6,1,2703625.01,2703625.01
ENG-00008,2025-06-01,C-0031,T-0253,AI Engineer,0,79.92,79.37,83.85,94.83,78.94,62.51,3.989999999999995,1.3900000000000006,-0.9000000000000057,4.929999999999993,5.539999999999992,10.049999999999997,82.37,76.37,75.15,84.8,4.19,1,1.0,0,1,0.7522,0.02059999999999995,7,0,2703625.01,0.0
ENG-00009,2025-03-01,C-0060,T-0288,Data Engineer,0,80.7,78.81,86.68,98.74,73.93,64.13,0.0,0.0,0.0,0.0,0.0,0.0,85.0,76.13,85.24,86.55,4.33,1,1.0,0,1,0.5408,0.0,0,12,2328716.46,27944597.52
ENG-00009,2025-04-01,C-0060,T-0288,Data Engineer,0,81.4,82.31,81.6,100.0,76.23,65.34,0.7000000000000028,3.5,-5.0800000000000125,1.2600000000000051,2.299999999999997,1.210000000000008,81.43,83.81,90.29,86.48,4.08,1,0.0,0,1,0.4611,-0.07969999999999994,1,11,2328716.46,25615881.06
ENG-00009,2025-05-01,C-0060,T-0288,Data Engineer,0,82.69,80.35,89.11,99.76,77.89,65.7,1.289999999999992,-1.960000000000008,7.510000000000005,-0.23999999999999488,1.6599999999999966,0.35999999999999943,78.25,79.13,89.24,88.27,4.46,1,0.0,0,1,0.6418,0.18070000000000003,2,10,2328716.46,23287164.6
ENG-00009,2025-06-01,C-0060,T-0288,Data Engineer,0,80.43,82.97,89.45,72.73,81.42,75.18,-2.259999999999991,2.6200000000000045,0.3400000000000034,-27.03,3.530000000000001,9.480000000000004,82.13,77.33,86.73,82.68,4.47,1,5.0,1,1,0.8126,0.17079999999999995,3,9,2328716.46,20958448.14
ENG-00009,2025-07-01,C-0060,T-0288,Data Engineer,0,84.67,84.07,89.9,95.8,87.42,66.99,4.239999999999995,1.0999999999999943,0.45000000000000284,23.069999999999993,6.0,-8.190000000000012,80.97,91.23,88.88,89.04,4.49,1,0.0,0,1,0.8429,0.030299999999999994,4,8,2328716.46,18629731.68
ENG-00009,2025-08-01,C-0060,T-0288,Data Engineer,0,82.75,83.05,87.92,94.64,76.34,70.1,-1.9200000000000017,-1.019999999999996,-1.980000000000004,-1.1599999999999966,-11.079999999999998,3.1099999999999994,83.39,71.38,86.6,87.65,4.4,1,0.0,0,1,0.9316,0.0887,5,7,2328716.46,16301015.219999999
ENG-00009,2025-09-01,C-0060,T-0288,Data Engineer,0,75.5,83.12,81.2,80.03,68.49,60.99,-7.25,0.07000000000000739,-6.719999999999999,-14.61,-7.8500000000000085,-9.109999999999992,83.49,71.36,79.58,81.68,4.06,1,3.0,0,1,0.6216,-0.30999999999999994,6,6,2328716.46,13972298.76
ENG-00009,2025-10-01,C-0060,T-0288,Data Engineer,1,78.52,75.9,81.26,97.88,67.82,67.71,3.019999999999996,-7.219999999999999,0.060000000000002274,17.849999999999994,-0.6700000000000017,6.719999999999992,71.53,77.99,87.77,83.27,4.06,1,0.0,0,1,0.6422,0.02059999999999995,7,5,2328716.46,11643582.3
ENG-00009,2025-11-01,C-0060,T-0288,Data Engineer,1,71.43,75.87,74.99,92.74,66.16,44.94,-7.089999999999989,-0.030000000000001137,-6.27000000000001,-5.140000000000001,-1.6599999999999966,-22.769999999999996,77.48,70.25,76.46,79.78,3.75,1,0.0,0,1,0.4856,-0.15660000000000002,8,4,2328716.46,9314865.84
ENG-00009,2025-12-01,C-0060,T-0288,Data Engineer,1,62.44,71.88,68.21,53.66,76.87,42.85,-8.990000000000009,-3.990000000000009,-6.780000000000001,-39.08,10.710000000000008,-2.0899999999999963,67.95,63.41,69.13,66.04,3.41,1,8.0,1,1,0.6331,0.14750000000000002,9,3,2328716.46,6986149.38
ENG-00010,2024-05-01,C-0015,T-0319,AI Engineer,0,81.88,80.55,91.19,100.0,69.74,65.24,0.0,0.0,0.0,0.0,0.0,0.0,76.38,73.06,90.36,89.14,4.56,1,0.0,0,1,0.844,0.0,0,6,1863957.97,11183747.82
ENG-00010,2024-06-01,C-0015,T-0319,AI Engineer,0,77.59,78.69,78.96,96.46,73.61,58.95,-4.289999999999992,-1.8599999999999994,-12.230000000000004,-3.5400000000000063,3.8700000000000045,-6.289999999999992,80.28,80.31,78.9,83.23,3.95,1,0.0,0,1,0.5707,-0.2733,1,5,1863957.97,9319789.85
ENG-00010,2024-07-01,C-0015,T-0319,AI Engineer,1,67.93,77.15,76.41,72.05,65.57,45.59,-9.659999999999997,-1.539999999999992,-2.549999999999997,-24.409999999999997,-8.040000000000006,-13.36,74.13,67.87,80.04,75.61,3.82,1,5.0,1,1,0.6249,0.054200000000000026,2,4,1863957.97,7455831.88
ENG-00010,2024-08-01,C-0015,T-0319,AI Engineer,1,66.56,73.33,70.07,70.75,72.5,45.94,-1.3700000000000045,-3.8200000000000074,-6.340000000000003,-1.2999999999999972,6.930000000000007,0.3499999999999943,73.8,67.81,68.33,71.55,3.5,1,5.0,1,1,0.7186,0.0937,3,3,1863957.97,5591873.91
ENG-00010,2024-09-01,C-0015,T-0319,AI Engineer,1,54.4,68.58,60.4,38.72,67.36,36.62,-12.160000000000004,-4.75,-9.669999999999995,-32.03,-5.140000000000001,-9.32,65.67,73.3,65.57,58.25,3.02,1,9.0,1,1,0.5747,-0.14390000000000003,4,2,1863957.97,3727915.94
ENG-00011,2024-11-01,C-0057,T-0207,Data Scientist,0,77.28,77.27,80.42,94.21,67.49,64.57,0.0,0.0,0.0,0.0,0.0,0.0,78.21,85.78,76.84,82.61,4.02,1,0.0,0,1,0.6376,0.0,0,7,1651697.75,11561884.25
ENG-00011,2024-12-01,C-0057,T-0207,Data Scientist,0,77.41,80.99,82.88,84.41,76.72,60.95,0.12999999999999545,3.719999999999999,2.4599999999999937,-9.799999999999997,9.230000000000004,-3.6199999999999903,75.52,74.56,80.07,82.51,4.14,1,3.0,0,1,0.597,-0.04059999999999997,1,6,1651697.75,9910186.5
ENG-00011,2025-01-01,C-0057,T-0207,Data Scientist,0,79.8,80.94,87.98,97.71,69.69,59.89,2.3900000000000006,-0.04999999999999716,5.1000000000000085,13.299999999999997,-7.030000000000001,-1.0600000000000023,78.18,83.95,79.52,87.6,4.4,1,0.0,0,1,0.7201,0.12309999999999999,2,5,1651697.75,8258488.75
