engagement_id,as_of_date,behs,health_band,client_id,client_name,industry,talent_id,role,monthly_contract_value,risk_probability,risk_band,contract_exposure,risk_adjusted_exposure
ENG-00022,2026-08-01,70.87,Watch,C-0049,Client 049,Insurance,T-0095,ML Engineer,2586655.06,0.0545275280091262,Low,0.0,0.0
ENG-00023,2026-12-01,50.04,Critical,C-0035,Client 035,Logistics,T-0267,ML Engineer,3075038.03,0.998513663887802,Critical,12300152.12,12281869.959718514
ENG-00024,2025-04-01,80.07,Healthy,C-0007,Client 007,FinTech,T-0426,Analytics Engineer,2730765.78,0.0040993073572563,Low,0.0,0.0
ENG-00025,2025-11-01,75.55,Watch,C-0056,Client 056,FinTech,T-0493,BI Developer,1056323.36,0.1130289990978397,Low,0.0,0.0
ENG-00026,2025-05-01,59.42,Critical,C-0037,Client 037,Energy,T-0224,Data Scientist,980874.3,0.9955386710358268,Critical,3923497.2,3905993.188300788
ENG-00027,2025-07-01,74.45,Watch,C-0055,Client 055,Healthcare,T-0029,Analytics Engineer,1834920.02,0.0089401075094323,Low,0.0,0.0
ENG-00028,2026-08-01,76.86,Watch,C-0058,Client 058,Banking,T-0114,ML Engineer,2160018.83,0.0699281654117419,Low,12960112.98,906276.9242203033
ENG-00029,2024-10-01,65.49,Watch,C-0012,Client 012,Logistics,T-0053,BI Developer,784934.34,0.3548836960790197,Watch,0.0,0.0
ENG-00030,2025-08-01,75.63,Watch,C-0025,Client 025,Energy,T-0380,Data Analyst,1705494.72,0.0165096584796078,Low,0.0,0.0
ENG-00031,2025-06-01,71.81,Watch,C-0012,Client 012,Logistics,T-0493,BI Developer,2285218.34,0.1008264230586526,Low,0.0,0.0
ENG-00032,2025-09-01,76.23,Watch,C-0004,Client 004,Healthcare,T-0277,BI Developer,1054354.42,0.0148801538957971,Low,0.0,0.0
ENG-00033,2025-05-01,52.49,Critical,C-0058,Client 058,Banking,T-0089,Data Analyst,2048826.68,0.981262268613839,Critical,6146480.04,6031308.94804008
ENG-00034,2025-05-01,53.06,Critical,C-0056,Client 056,FinTech,T-0011,Data Engineer,3515766.29,0.9761988847933488,Critical,14063065.16,13728348.525968198
ENG-00035,2025-04-01,81.24,Healthy,C-0056,Client 056,FinTech,T-0489,ML Engineer,2132318.11,0.0162294178988833,Low,0.0,0.0
ENG-00036,2025-01-01,69.98,Watch,C-0054,Client 054,Healthcare,T-0159,Data Engineer,3447047.58,0.4411082391814733,Watch,0.0,0.0
ENG-00037,2025-01-01,68.39,Watch,C-0039,Client 039,Telecom,T-0057,AI Engineer,2791218.1,0.6136715829021642,Watch,0.0,0.0
ENG-00038,2025-05-01,71.9,Watch,C-0032,Client 032,Banking,T-0089,Data Analyst,1511810.38,0.5463074042242075,Watch,0.0,0.0
ENG-00039,2025-03-01,69.96,Watch,C-0060,Client 060,Insurance,T-0128,Data Scientist,2701981.26,0.476690932519832,Watch,0.0,0.0
ENG-00040,2025-08-01,71.93,Watch,C-0034,Client 034,Retail,T-0328,Data Engineer,1093796.94,0.1469570429887428,Low,0.0,0.0
ENG-00041,2026-08-01,75.88,Watch,C-0039,Client 039,Telecom,T-0446,AI Engineer,1019057.97,0.0318843237109608,Low,1019057.97,32491.97419571458
ENG-00042,2024-04-01,59.53,Critical,C-0013,Client 013,Insurance,T-0138,AI Engineer,1102643.33,0.985638272754572,Critical,3307929.99,3260422.401736649
ENG-00043,2026-06-01,71.53,Watch,C-0045,Client 045,FinTech,T-0344,Data Analyst,3387282.88,0.2965466538392858,Low,0.0,0.0
ENG-00044,2026-04-01,68.12,Watch,C-0050,Client 050,Energy,T-0033,Data Engineer,1743893.21,0.7982477919796528,Critical,0.0,0.0
ENG-00045,2026-08-01,82.05,Healthy,C-0041,Client 041,Banking,T-0006,Data Analyst,3077391.81,0.0052239202379402,Low,3077391.81,16076.049356330423
ENG-00046,2026-11-01,50.8,Critical,C-0030,Client 030,Healthcare,T-0028,Data Scientist,1772541.62,0.9996474209572362,Critical,8862708.100000001,8859583.294861808
ENG-00047,2026-03-01,52.44,Critical,C-0012,Client 012,Logistics,T-0462,Analytics Engineer,1626645.05,0.9575018058757852,Critical,3253290.1,3115031.1457878137
ENG-00048,2025-10-01,80.52,Healthy,C-0003,Client 003,Insurance,T-0291,Analytics Engineer,1771166.68,0.0062989064401686,Low,0.0,0.0
ENG-00049,2025-02-01,80.89,Healthy,C-0038,Client 038,Energy,T-0403,AI Engineer,1110224.13,0.0062023629725177,Low,0.0,0.0
ENG-00050,2026-02-01,57.47,Critical,C-0041,Client 041,Banking,T-0011,Data Engineer,2130684.86,0.9889950131392437,Critical,14914794.02,14750656.907779012
ENG-00051,2025-06-01,83.56,Healthy,C-0047,Client 047,Healthcare,T-0012,ML Engineer,1385968.3,0.0007072223228328,Low,0.0,0.0
ENG-00052,2025-01-01,62.71,Watch,C-0058,Client 058,Banking,T-0425,Analytics Engineer,1458412.97,0.4681942526630794,Watch,0.0,0.0
ENG-00053,2026-07-01,80.3,Healthy,C-0030,Client 030,Healthcare,T-0052,Data Engineer,2865421.59,0.0073768522921311,Low,0.0,0.0
ENG-00054,2026-03-01,73.17,Watch,C-0050,Client 050,Energy,T-0078,AI Engineer,2720951.6,0.0604452668786512,Low,0.0,0.0
ENG-00055,2024-08-01,76.28,Watch,C-0043,Client 043,Insurance,T-0260,Data Scientist,1213313.12,0.0956361553913348,Low,0.0,0.0
ENG-00056,2025-04-01,78.59,Watch,C-0017,Client 017,Retail,T-0304,Data Engineer,1675673.48,0.0638235479051233,Low,0.0,0.0
ENG-00057,2025-06-01,72.28,Watch,C-0051,Client 051,Energy,T-0115,BI Developer,1345079.51,0.1444786286021515,Low,0.0,0.0
ENG-00058,2026-08-01,68.19,Watch,C-0004,Client 004,Healthcare,T-0223,AI Engineer,1654485.71,0.1373429886154654,Low,0.0,0.0
ENG-00059,2025-04-01,68.57,Watch,C-0036,Client 036,FinTech,T-0338,ML Engineer,1798710.15,0.0671090669565527,Low,0.0,0.0
ENG-00060,2026-03-01,70.94,Watch,C-0057,Client 057,Retail,T-0222,Data Analyst,2814083.16,0.1420019852964109,Low,0.0,0.0
ENG-00061,2026-02-01,51.24,Critical,C-0040,Client 040,Insurance,T-0192,AI Engineer,2247246.8,0.997094982725932,Critical,8988987.2,8962874.036907623
ENG-00062,2025-01-01,79.81,Watch,C-0057,Client 057,Retail,T-0036,ML Engineer,2310056.43,0.0099892321257791,Low,0.0,0.0
ENG-00063,2026-08-01,65.27,Watch,C-0004,Client 004,Healthcare,T-0226,BI Developer,2853703.48,0.1588543182702934,Low,8561110.44,1359969.3625828915
ENG-00064,2025-06-01,57.14,Critical,C-0032,Client 032,Banking,T-0402,BI Developer,2886973.54,0.9081620101782496,Critical,5773947.08,5243679.386835635
ENG-00065,2025-04-01,76.27,Watch,C-0047,Client 047,Healthcare,T-0314,Data Scientist,3335733.83,0.0064365851714845,Low,0.0,0.0
ENG-00066,2024-12-01,60.16,Watch,C-0039,Client 039,Telecom,T-0447,Data Scientist,1059603.61,0.6889473080942855,Critical,0.0,0.0
ENG-00067,2024-10-01,66.77,Watch,C-0053,Client 053,Telecom,T-0064,BI Developer,2826724.41,0.1455003788450663,Low,8480173.23,1233868.4176367896
ENG-00068,2026-08-01,73.13,Watch,C-0028,Client 028,Energy,T-0006,Data Analyst,767924.58,0.0989062712080614,Low,5375472.06,531667.8974377165
ENG-00069,2026-08-01,70.85,Watch,C-0041,Client 041,Banking,T-0275,BI Developer,1419436.47,0.0422745921050545,Low,11355491.76,480048.7823063074
ENG-00070,2026-08-01,77.13,Watch,C-0026,Client 026,Insurance,T-0090,ML Engineer,3486302.92,0.3823684966111734,Watch,13945211.68,5332209.625006176
ENG-00071,2025-12-01,58.66,Critical,C-0053,Client 053,Telecom,T-0297,ML Engineer,2219764.77,0.9837054177706548,Critical,4439529.54,4367189.260850863
ENG-00072,2025-03-01,66.56,Watch,C-0008,Client 008,Insurance,T-0452,AI Engineer,1897994.9,0.0658579945359666,Low,0.0,0.0
ENG-00073,2026-02-01,70.94,Watch,C-0016,Client 016,Energy,T-0169,BI Developer,1980469.62,0.278423476277899,Low,0.0,0.0
ENG-00074,2026-08-01,71.65,Watch,C-0006,Client 006,Energy,T-0275,BI Developer,1346087.4,0.1156589690021095,Low,6730437.0,778435.4043536509
ENG-00075,2026-06-01,82.0,Healthy,C-0043,Client 043,Insurance,T-0341,Data Analyst,775513.51,0.0962450400886505,Low,0.0,0.0
ENG-00076,2026-08-01,74.48,Watch,C-0014,Client 014,Energy,T-0076,Analytics Engineer,2352193.6,0.0117868623614247,Low,14113161.600000001,166349.89326374442
ENG-00077,2026-08-01,80.69,Healthy,C-0020,Client 020,Healthcare,T-0449,ML Engineer,3566994.74,0.0978790610374458,Low,14267978.96,1396536.3835068326
ENG-00078,2026-08-01,61.55,Watch,C-0051,Client 051,Energy,T-0102,Data Scientist,2119312.42,0.8761543337131257,Critical,14835186.94,12997913.328925364
ENG-00079,2026-04-01,54.05,Critical,C-0022,Client 022,Telecom,T-0405,AI Engineer,1339807.24,0.9864028370998172,Critical,2679614.48,2643179.3254057514
ENG-00080,2024-10-01,43.74,Critical,C-0009,Client 009,Banking,T-0330,ML Engineer,2241687.72,0.999554506497858,Critical,6725063.16,6722067.188060726
ENG-00081,2026-08-01,83.92,Healthy,C-0002,Client 002,Energy,T-0071,Analytics Engineer,2146328.85,0.0244088522499396,Low,10731644.25,261947.11889716386
ENG-00082,2025-11-01,78.78,Watch,C-0014,Client 014,Energy,T-0363,AI Engineer,2369555.86,0.0066291523219767,Low,0.0,0.0
ENG-00083,2026-10-01,58.24,Critical,C-0055,Client 055,Healthcare,T-0099,Data Engineer,985174.09,0.988368555748482,Critical,1970348.18,1947430.18498825
ENG-00084,2025-07-01,74.59,Watch,C-0033,Client 033,FinTech,T-0300,Data Analyst,1155460.63,0.0805581594580211,Low,0.0,0.0
ENG-00085,2025-08-01,73.07,Watch,C-0060,Client 060,Insurance,T-0480,Analytics Engineer,1738047.72,0.3508873163740716,Watch,0.0,0.0
ENG-00086,2025-01-01,51.39,Critical,C-0013,Client 013,Insurance,T-0477,ML Engineer,856337.57,0.9720565541579408,Critical,2569012.71,2497225.642470553
ENG-00087,2026-08-01,61.41,Watch,C-0022,Client 022,Telecom,T-0436,AI Engineer,1774730.86,0.5711232958588269,Watch,0.0,0.0
ENG-00088,2025-02-01,81.36,Healthy,C-0010,Client 010,FinTech,T-0248,ML Engineer,2463760.23,0.0067622064303766,Low,0.0,0.0
ENG-00089,2025-10-01,47.97,Critical,C-0024,Client 024,Logistics,T-0280,Analytics Engineer,1179882.98,0.9994557421961144,Critical,8259180.859999999,8254685.736363242
ENG-00090,2026-12-01,52.44,Critical,C-0034,Client 034,Retail,T-0151,AI Engineer,1255800.65,0.976647757801288,Critical,2511601.3,2452949.7781358
ENG-00091,2025-08-01,79.94,Watch,C-0049,Client 049,Insurance,T-0461,ML Engineer,1387008.65,0.0133468610550124,Low,0.0,0.0
ENG-00092,2026-11-01,65.64,Watch,C-0023,Client 023,Banking,T-0239,Analytics Engineer,797653.1,0.8626783912679307,Critical,3988265.5,3440590.465489389
ENG-00093,2025-09-01,72.31,Watch,C-0047,Client 047,Healthcare,T-0386,Data Engineer,1273463.46,0.0340347338299338,Low,0.0,0.0
ENG-00094,2024-12-01,86.21,Healthy,C-0038,Client 038,Energy,T-0180,ML Engineer,2521164.11,0.002250403163643,Low,0.0,0.0
ENG-00095,2026-01-01,60.37,Watch,C-0018,Client 018,Banking,T-0371,AI Engineer,776215.19,0.5807396433359423,Watch,3104860.76,1803115.7303701625
ENG-00096,2025-12-01,77.3,Watch,C-0055,Client 055,Healthcare,T-0113,Data Scientist,1140023.14,0.0759904138348079,Low,0.0,0.0
ENG-00097,2026-07-01,73.67,Watch,C-0027,Client 027,Healthcare,T-0367,Data Scientist,1315693.53,0.0648843566177327,Low,0.0,0.0
ENG-00098,2024-09-01,46.42,Critical,C-0010,Client 010,FinTech,T-0023,Data Scientist,2140097.93,0.9974201243920938,Critical,4280195.86,4269153.487103726
ENG-00099,2025-07-01,83.32,Healthy,C-0058,Client 058,Banking,T-0053,BI Developer,3486547.63,0.0013931825960073,Low,0.0,0.0
ENG-00100,2024-09-01,69.42,Watch,C-0055,Client 055,Healthcare,T-0177,BI Developer,2319254.64,0.8024310732578259,Critical,0.0,0.0
ENG-00101,2025-02-01,77.33,Watch,C-0003,Client 003,Insurance,T-0242,AI Engineer,1779463.12,0.0284118445597519,Low,0.0,0.0
ENG-00102,2025-02-01,75.1,Watch,C-0055,Client 055,Healthcare,T-0356,AI Engineer,2117863.18,0.23312607823949,Low,0.0,0.0
ENG-00103,2025-07-01,52.76,Critical,C-0057,Client 057,Retail,T-0180,ML Engineer,2559327.99,0.9989591822278306,Critical,12796639.950000001,12783320.979715988
ENG-00104,2026-03-01,69.93,Watch,C-0050,Client 050,Energy,T-0010,Data Analyst,2768688.62,0.0275684049322251,Low,0.0,0.0
ENG-00105,2025-07-01,66.64,Watch,C-0016,Client 016,Energy,T-0163,Data Scientist,1792540.57,0.8140644543993568,Critical,0.0,0.0
ENG-00106,2024-11-01,57.38,Critical,C-0038,Client 038,Energy,T-0220,Data Analyst,1101984.35,0.8853333836942242,Critical,0.0,0.0
ENG-00107,2026-08-01,82.95,Healthy,C-0033,Client 033,FinTech,T-0272,AI Engineer,2207939.51,0.0259050245392138,Low,13247637.059999999,343180.3631258981
ENG-00108,2025-03-01,76.48,Watch,C-0038,Client 038,Energy,T-0323,ML Engineer,3344292.5,0.0207160700028732,Low,0.0,0.0
ENG-00109,2026-06-01,87.07,Healthy,C-0037,Client 037,Energy,T-0124,BI Developer,1317480.89,0.0001293887620158,Low,0.0,0.0
ENG-00110,2025-04-01,65.87,Watch,C-0039,Client 039,Telecom,T-0306,Data Analyst,803828.05,0.9328968662636716,Critical,1607656.1,1499777.337719676
ENG-00111,2026-05-01,62.31,Watch,C-0031,Client 031,Healthcare,T-0316,ML Engineer,2224143.78,0.7950582976864217,Critical,0.0,0.0
ENG-00112,2026-03-01,86.01,Healthy,C-0042,Client 042,Energy,T-0389,ML Engineer,2790993.98,0.012562849417248,Low,0.0,0.0
ENG-00113,2026-08-01,83.92,Healthy,C-0032,Client 032,Banking,T-0262,Analytics Engineer,3457451.01,0.0061987877729836,Low,20744706.06,128592.03027886678
ENG-00114,2025-02-01,64.33,Watch,C-0001,Client 001,FinTech,T-0406,Data Scientist,1711733.94,0.1197826996073584,Low,0.0,0.0
ENG-00115,2026-02-01,69.63,Watch,C-0003,Client 003,Insurance,T-0111,ML Engineer,2115123.33,0.114923827303853,Low,0.0,0.0
ENG-00116,2026-08-01,85.6,Healthy,C-0058,Client 058,Banking,T-0356,AI Engineer,2329044.34,0.0004762316109048,Low,6987133.02,3327.4936137207196
ENG-00117,2026-08-01,59.47,Critical,C-0055,Client 055,Healthcare,T-0023,Data Scientist,3420616.62,0.7771704857853,Critical,30785549.580000002,23925620.52225604
ENG-00118,2025-10-01,60.75,Watch,C-0036,Client 036,FinTech,T-0052,Data Engineer,2089178.26,0.973302153217377,Critical,10445891.3,10167008.494564665
ENG-00119,2026-01-01,46.72,Critical,C-0011,Client 011,Retail,T-0433,Analytics Engineer,1094020.3,0.9776770335250028,Critical,5470101.5,5347992.607600668
ENG-00120,2025-09-01,86.92,Healthy,C-0047,Client 047,Healthcare,T-0238,Data Analyst,797438.61,0.0035626597532382,Low,0.0,0.0
ENG-00121,2025-11-01,76.76,Watch,C-0009,Client 009,Banking,T-0311,AI Engineer,1247990.77,0.0507838881073509,Low,0.0,0.0
ENG-00122,2026-03-01,76.6,Watch,C-0023,Client 023,Banking,T-0302,Data Analyst,1394469.17,0.0707595085296373,Low,0.0,0.0
ENG-00123,2026-01-01,70.85,Watch,C-0020,Client 020,Healthcare,T-0348,Data Analyst,2676381.39,0.0751829564541007,Low,0.0,0.0
ENG-00124,2026-02-01,69.63,Watch,C-0001,Client 001,FinTech,T-0123,Data Engineer,2186183.32,0.4641793711452645,Watch,0.0,0.0
ENG-00125,2026-08-01,66.55,Watch,C-0049,Client 049,Insurance,T-0090,ML Engineer,3496277.57,0.7054582133182363,Critical,31466498.13,22198299.550171424
ENG-00126,2025-08-01,45.22,Critical,C-0031,Client 031,Healthcare,T-0022,Data Engineer,2124642.35,0.9993946707360708,Critical,4249284.7,4246712.483620323
ENG-00127,2025-08-01,68.35,Watch,C-0019,Client 019,Energy,T-0433,Analytics Engineer,1857810.51,0.2803165010891306,Low,0.0,0.0
ENG-00128,2026-07-01,73.17,Watch,C-0031,Client 031,Healthcare,T-0112,Data Analyst,1022440.83,0.5944466211702331,Watch,0.0,0.0
ENG-00129,2026-08-01,82.47,Healthy,C-0001,Client 001,FinTech,T-0288,Data Engineer,2443799.87,0.0066989937677532,Low,14662799.22,98226.00059259648
ENG-00130,2025-06-01,69.28,Watch,C-0027,Client 027,Healthcare,T-0228,Analytics Engineer,1402200.14,0.0484355542261839,Low,0.0,0.0
ENG-00131,2025-10-01,88.44,Healthy,C-0032,Client 032,Banking,T-0082,Data Analyst,1458559.84,0.0005471937144759,Low,0.0,0.0
ENG-00132,2025-10-01,78.48,Watch,C-0021,Client 021,Retail,T-0207,Data Scientist,2051957.41,0.0709251559263824,Low,0.0,0.0
ENG-00133,2026-08-01,74.52,Watch,C-0050,Client 050,Energy,T-0042,ML Engineer,1347296.86,0.0452253028889385,Low,5389187.44,243727.6342992631
ENG-00134,2026-08-01,73.7,Watch,C-0015,Client 015,Insurance,T-0089,Data Analyst,3470167.75,0.1166053882090522,Low,3470167.75,404640.2576392832
ENG-00135,2024-07-01,62.05,Watch,C-0009,Client 009,Banking,T-0070,Data Analyst,967770.59,0.9508424873509218,Critical,4838852.95,4600986.974903346
ENG-00136,2024-10-01,49.23,Critical,C-0032,Client 032,Banking,T-0413,Data Engineer,2659034.36,0.9998397207575748,Critical,7977103.08,7975824.515961589
ENG-00137,2026-08-01,67.85,Watch,C-0054,Client 054,Healthcare,T-0284,AI Engineer,825371.98,0.3774635345753818,Watch,4126859.9,1557739.1245514066
ENG-00138,2025-06-01,86.52,Healthy,C-0023,Client 023,Banking,T-0463,Data Engineer,810745.56,0.0009804052842847,Low,0.0,0.0
ENG-00139,2025-09-01,77.05,Watch,C-0003,Client 003,Insurance,T-0218,Analytics Engineer,1290589.03,0.0438248279385009,Low,0.0,0.0
ENG-00140,2026-01-01,68.17,Watch,C-0059,Client 059,Insurance,T-0101,Analytics Engineer,1058445.32,0.1039546671526627,Low,0.0,0.0
ENG-00141,2026-08-01,67.93,Watch,C-0027,Client 027,Healthcare,T-0305,AI Engineer,2435273.36,0.8737180622896733,Critical,19482186.88,17021938.569958895
ENG-00142,2025-10-01,60.91,Watch,C-0011,Client 011,Retail,T-0465,Data Analyst,2160581.77,0.98458308262741,Critical,6481745.3100000005,6381816.778125558
ENG-00143,2026-04-01,73.39,Watch,C-0037,Client 037,Energy,T-0267,ML Engineer,1109286.99,0.0362635478956506,Low,0.0,0.0
ENG-00144,2026-08-01,83.2,Healthy,C-0020,Client 020,Healthcare,T-0009,AI Engineer,818237.66,0.0059548828623696,Low,3272950.64,19490.037675517615
ENG-00145,2026-08-01,75.74,Watch,C-0057,Client 057,Retail,T-0152,Data Engineer,2293250.74,0.0589053060066401,Low,9173002.96,540338.5463586155
ENG-00146,2026-01-01,77.36,Watch,C-0018,Client 018,Banking,T-0463,Data Engineer,1191925.44,0.0608226511648056,Low,0.0,0.0
ENG-00147,2026-06-01,60.3,Watch,C-0034,Client 034,Retail,T-0260,Data Scientist,2285082.77,0.5773621154767878,Watch,0.0,0.0
ENG-00148,2025-03-01,59.13,Critical,C-0033,Client 033,FinTech,T-0476,AI Engineer,1795015.48,0.7794142843013162,Critical,0.0,0.0
ENG-00149,2025-08-01,76.72,Watch,C-0015,Client 015,Insurance,T-0255,Data Scientist,1782973.8,0.0146303972753571,Low,0.0,0.0
ENG-00150,2026-03-01,78.03,Watch,C-0030,Client 030,Healthcare,T-0007,AI Engineer,2124627.5,0.0225562682441897,Low,0.0,0.0
ENG-00151,2026-11-01,59.11,Critical,C-0007,Client 007,FinTech,T-0437,Analytics Engineer,1271516.04,0.9984081715130868,Critical,5086064.16,5077968.018183844
ENG-00152,2026-08-01,64.94,Watch,C-0039,Client 039,Telecom,T-0382,ML Engineer,1292948.71,0.4418186611265292,Watch,1292948.71,571248.867957473
ENG-00153,2026-05-01,48.55,Critical,C-0046,Client 046,Logistics,T-0358,AI Engineer,3152129.77,0.9968151987642824,Critical,12608519.08,12568363.452853447
ENG-00154,2026-10-01,35.62,Critical,C-0058,Client 058,Banking,T-0486,Data Analyst,1013159.31,0.9997963054981296,Critical,5065796.550000001,5064764.675095172
ENG-00155,2024-11-01,80.93,Healthy,C-0020,Client 020,Healthcare,T-0099,Data Engineer,3248178.1,0.0489183348795397,Low,0.0,0.0
ENG-00156,2025-01-01,55.88,Critical,C-0018,Client 018,Banking,T-0453,BI Developer,3065204.12,0.996860427693238,Critical,18391224.72,18333484.14018165
ENG-00157,2024-08-01,75.71,Watch,C-0033,Client 033,FinTech,T-0117,Data Engineer,860082.63,0.1221439393772012,Low,0.0,0.0
ENG-00158,2026-09-01,50.65,Critical,C-0042,Client 042,Energy,T-0486,Data Analyst,2119884.45,0.9990778557840152,Critical,6359653.350000001,6353788.832447629
ENG-00159,2026-01-01,71.34,Watch,C-0060,Client 060,Insurance,T-0096,AI Engineer,873188.67,0.1532407196356384,Low,0.0,0.0
ENG-00160,2026-04-01,76.89,Watch,C-0002,Client 002,Energy,T-0276,Data Analyst,766124.15,0.0668997883681553,Low,0.0,0.0
ENG-00161,2024-12-01,66.04,Watch,C-0015,Client 015,Insurance,T-0395,Data Engineer,1640863.31,0.894152507807229,Critical,3281726.62,2934364.0872107414
ENG-00162,2026-08-01,57.36,Critical,C-0016,Client 016,Energy,T-0040,Data Analyst,3229831.5,0.972134223757204,Critical,12919326.0,12559318.952476263
ENG-00163,2026-08-01,83.0,Healthy,C-0016,Client 016,Energy,T-0034,BI Developer,1037700.43,0.0063431745259779,Low,2075400.86,13164.629866344627
ENG-00164,2025-01-01,38.39,Critical,C-0028,Client 028,Energy,T-0425,Analytics Engineer,2883864.07,0.999755637962912,Critical,5767728.14,5766318.72620234
ENG-00165,2025-02-01,80.58,Healthy,C-0053,Client 053,Telecom,T-0031,Data Scientist,2066280.62,0.0194473499094401,Low,0.0,0.0
ENG-00166,2025-03-01,42.11,Critical,C-0002,Client 002,Energy,T-0307,ML Engineer,863115.54,0.9998732686171854,Critical,1726231.08,1726012.3123481742
ENG-00167,2024-07-01,50.14,Critical,C-0049,Client 049,Insurance,T-0470,ML Engineer,1420000.94,0.9962128906257244,Critical,8520005.64,8487739.446771875
ENG-00168,2026-07-01,78.03,Watch,C-0038,Client 038,Energy,T-0308,Analytics Engineer,2132964.23,0.0249362647936621,Low,0.0,0.0
ENG-00169,2026-08-01,72.0,Watch,C-0037,Client 037,Energy,T-0241,Data Scientist,900878.96,0.4455647493563857,Watch,6306152.72,2809799.3560898895
ENG-00170,2026-08-01,71.25,Watch,C-0041,Client 041,Banking,T-0209,ML Engineer,3007857.98,0.1869565058237534,Low,36094295.76,6748063.415458717
ENG-00171,2026-08-01,81.67,Healthy,C-0007,Client 007,FinTech,T-0320,AI Engineer,1038394.05,0.0295786261295024,Low,6230364.300000001,184285.61628029894
ENG-00172,2026-09-01,59.56,Critical,C-0045,Client 045,FinTech,T-0286,Data Scientist,2180359.43,0.8488657187164478,Critical,4360718.86,3701664.749214269
ENG-00173,2026-03-01,75.21,Watch,C-0015,Client 015,Insurance,T-0251,BI Developer,3269546.95,0.0481303676273812,Low,0.0,0.0
ENG-00174,2026-04-01,73.14,Watch,C-0031,Client 031,Healthcare,T-0077,AI Engineer,2770023.01,0.0142202169901673,Low,0.0,0.0
ENG-00175,2026-11-01,42.61,Critical,C-0041,Client 041,Banking,T-0332,Data Scientist,2744292.82,0.9996991250848174,Critical,16465756.919999998,16460802.786783276
ENG-00176,2024-12-01,54.68,Critical,C-0037,Client 037,Energy,T-0370,BI Developer,3188381.37,0.985342493672534,Critical,6376762.74,6283295.299789701
ENG-00177,2026-08-01,86.3,Healthy,C-0020,Client 020,Healthcare,T-0355,Data Scientist,2100002.23,0.0002205974304189,Low,0.0,0.0
