engagement_id,as_of_date,monthly_contract_value,remaining_months,contract_exposure,risk_probability,risk_adjusted_exposure,client_name,client_id,talent_id,role
ENG-00028,2026-08-01,2160018.83,6,12960112.98,0.0699281654117419,906276.9242203033,Client 058,C-0058,T-0114,ML Engineer
ENG-00029,2024-10-01,784934.34,0,0.0,0.3548836960790197,0.0,Client 012,C-0012,T-0053,BI Developer
ENG-00030,2025-08-01,1705494.72,0,0.0,0.0165096584796078,0.0,Client 025,C-0025,T-0380,Data Analyst
ENG-00031,2025-06-01,2285218.34,0,0.0,0.1008264230586526,0.0,Client 012,C-0012,T-0493,BI Developer
ENG-00032,2025-09-01,1054354.42,0,0.0,0.0148801538957971,0.0,Client 004,C-0004,T-0277,BI Developer
ENG-00033,2025-05-01,2048826.68,3,6146480.04,0.981262268613839,6031308.94804008,Client 058,C-0058,T-0089,Data Analyst
ENG-00034,2025-05-01,3515766.29,4,14063065.16,0.9761988847933488,13728348.525968198,Client 056,C-0056,T-0011,Data Engineer
ENG-00035,2025-04-01,2132318.11,0,0.0,0.0162294178988833,0.0,Client 056,C-0056,T-0489,ML Engineer
ENG-00036,2025-01-01,3447047.58,0,0.0,0.4411082391814733,0.0,Client 054,C-0054,T-0159,Data Engineer
ENG-00037,2025-01-01,2791218.1,0,0.0,0.6136715829021642,0.0,Client 039,C-0039,T-0057,AI Engineer
ENG-00038,2025-05-01,1511810.38,0,0.0,0.5463074042242075,0.0,Client 032,C-0032,T-0089,Data Analyst
ENG-00039,2025-03-01,2701981.26,0,0.0,0.476690932519832,0.0,Client 060,C-0060,T-0128,Data Scientist
ENG-00040,2025-08-01,1093796.94,0,0.0,0.1469570429887428,0.0,Client 034,C-0034,T-0328,Data Engineer
ENG-00041,2026-08-01,1019057.97,1,1019057.97,0.0318843237109608,32491.97419571458,Client 039,C-0039,T-0446,AI Engineer
ENG-00042,2024-04-01,1102643.33,3,3307929.99,0.985638272754572,3260422.401736649,Client 013,C-0013,T-0138,AI Engineer
ENG-00043,2026-06-01,3387282.88,0,0.0,0.2965466538392858,0.0,Client 045,C-0045,T-0344,Data Analyst
ENG-00044,2026-04-01,1743893.21,0,0.0,0.7982477919796528,0.0,Client 050,C-0050,T-0033,Data Engineer
ENG-00045,2026-08-01,3077391.81,1,3077391.81,0.0052239202379402,16076.049356330423,Client 041,C-0041,T-0006,Data Analyst
ENG-00046,2026-11-01,1772541.62,5,8862708.100000001,0.9996474209572362,8859583.294861808,Client 030,C-0030,T-0028,Data Scientist
ENG-00047,2026-03-01,1626645.05,2,3253290.1,0.9575018058757852,3115031.1457878137,Client 012,C-0012,T-0462,Analytics Engineer
ENG-00048,2025-10-01,1771166.68,0,0.0,0.0062989064401686,0.0,Client 003,C-0003,T-0291,Analytics Engineer
ENG-00049,2025-02-01,1110224.13,0,0.0,0.0062023629725177,0.0,Client 038,C-0038,T-0403,AI Engineer
ENG-00050,2026-02-01,2130684.86,7,14914794.02,0.9889950131392437,14750656.907779012,Client 041,C-0041,T-0011,Data Engineer
ENG-00051,2025-06-01,1385968.3,0,0.0,0.0007072223228328,0.0,Client 047,C-0047,T-0012,ML Engineer
ENG-00052,2025-01-01,1458412.97,0,0.0,0.4681942526630794,0.0,Client 058,C-0058,T-0425,Analytics Engineer
ENG-00053,2026-07-01,2865421.59,0,0.0,0.0073768522921311,0.0,Client 030,C-0030,T-0052,Data Engineer
ENG-00054,2026-03-01,2720951.6,0,0.0,0.0604452668786512,0.0,Client 050,C-0050,T-0078,AI Engineer
ENG-00055,2024-08-01,1213313.12,0,0.0,0.0956361553913348,0.0,Client 043,C-0043,T-0260,Data Scientist
ENG-00056,2025-04-01,1675673.48,0,0.0,0.0638235479051233,0.0,Client 017,C-0017,T-0304,Data Engineer
ENG-00057,2025-06-01,1345079.51,0,0.0,0.1444786286021515,0.0,Client 051,C-0051,T-0115,BI Developer
ENG-00058,2026-08-01,1654485.71,0,0.0,0.1373429886154654,0.0,Client 004,C-0004,T-0223,AI Engineer
ENG-00059,2025-04-01,1798710.15,0,0.0,0.0671090669565527,0.0,Client 036,C-0036,T-0338,ML Engineer
ENG-00060,2026-03-01,2814083.16,0,0.0,0.1420019852964109,0.0,Client 057,C-0057,T-0222,Data Analyst
ENG-00061,2026-02-01,2247246.8,4,8988987.2,0.997094982725932,8962874.036907623,Client 040,C-0040,T-0192,AI Engineer
ENG-00062,2025-01-01,2310056.43,0,0.0,0.0099892321257791,0.0,Client 057,C-0057,T-0036,ML Engineer
ENG-00063,2026-08-01,2853703.48,3,8561110.44,0.1588543182702934,1359969.3625828915,Client 004,C-0004,T-0226,BI Developer
ENG-00064,2025-06-01,2886973.54,2,5773947.08,0.9081620101782496,5243679.386835635,Client 032,C-0032,T-0402,BI Developer
ENG-00065,2025-04-01,3335733.83,0,0.0,0.0064365851714845,0.0,Client 047,C-0047,T-0314,Data Scientist
ENG-00066,2024-12-01,1059603.61,0,0.0,0.6889473080942855,0.0,Client 039,C-0039,T-0447,Data Scientist
ENG-00067,2024-10-01,2826724.41,3,8480173.23,0.1455003788450663,1233868.4176367896,Client 053,C-0053,T-0064,BI Developer
ENG-00068,2026-08-01,767924.58,7,5375472.06,0.0989062712080614,531667.8974377165,Client 028,C-0028,T-0006,Data Analyst
ENG-00069,2026-08-01,1419436.47,8,11355491.76,0.0422745921050545,480048.7823063074,Client 041,C-0041,T-0275,BI Developer
ENG-00070,2026-08-01,3486302.92,4,13945211.68,0.3823684966111734,5332209.625006176,Client 026,C-0026,T-0090,ML Engineer
ENG-00071,2025-12-01,2219764.77,2,4439529.54,0.9837054177706548,4367189.260850863,Client 053,C-0053,T-0297,ML Engineer
ENG-00072,2025-03-01,1897994.9,0,0.0,0.0658579945359666,0.0,Client 008,C-0008,T-0452,AI Engineer
ENG-00073,2026-02-01,1980469.62,0,0.0,0.278423476277899,0.0,Client 016,C-0016,T-0169,BI Developer
ENG-00074,2026-08-01,1346087.4,5,6730437.0,0.1156589690021095,778435.4043536509,Client 006,C-0006,T-0275,BI Developer
ENG-00075,2026-06-01,775513.51,0,0.0,0.0962450400886505,0.0,Client 043,C-0043,T-0341,Data Analyst
ENG-00076,2026-08-01,2352193.6,6,14113161.600000001,0.0117868623614247,166349.89326374442,Client 014,C-0014,T-0076,Analytics Engineer
ENG-00077,2026-08-01,3566994.74,4,14267978.96,0.0978790610374458,1396536.3835068326,Client 020,C-0020,T-0449,ML Engineer
ENG-00078,2026-08-01,2119312.42,7,14835186.94,0.8761543337131257,12997913.328925364,Client 051,C-0051,T-0102,Data Scientist
ENG-00079,2026-04-01,1339807.24,2,2679614.48,0.9864028370998172,2643179.3254057514,Client 022,C-0022,T-0405,AI Engineer
ENG-00080,2024-10-01,2241687.72,3,6725063.16,0.999554506497858,6722067.188060726,Client 009,C-0009,T-0330,ML Engineer
ENG-00081,2026-08-01,2146328.85,5,10731644.25,0.0244088522499396,261947.11889716386,Client 002,C-0002,T-0071,Analytics Engineer
ENG-00082,2025-11-01,2369555.86,0,0.0,0.0066291523219767,0.0,Client 014,C-0014,T-0363,AI Engineer
ENG-00083,2026-10-01,985174.09,2,1970348.18,0.988368555748482,1947430.18498825,Client 055,C-0055,T-0099,Data Engineer
ENG-00084,2025-07-01,1155460.63,0,0.0,0.0805581594580211,0.0,Client 033,C-0033,T-0300,Data Analyst
ENG-00085,2025-08-01,1738047.72,0,0.0,0.3508873163740716,0.0,Client 060,C-0060,T-0480,Analytics Engineer
ENG-00086,2025-01-01,856337.57,3,2569012.71,0.9720565541579408,2497225.642470553,Client 013,C-0013,T-0477,ML Engineer
ENG-00087,2026-08-01,1774730.86,0,0.0,0.5711232958588269,0.0,Client 022,C-0022,T-0436,AI Engineer
ENG-00088,2025-02-01,2463760.23,0,0.0,0.0067622064303766,0.0,Client 010,C-0010,T-0248,ML Engineer
ENG-00089,2025-10-01,1179882.98,7,8259180.859999999,0.9994557421961144,8254685.736363242,Client 024,C-0024,T-0280,Analytics Engineer
ENG-00090,2026-12-01,1255800.65,2,2511601.3,0.976647757801288,2452949.7781358,Client 034,C-0034,T-0151,AI Engineer
ENG-00091,2025-08-01,1387008.65,0,0.0,0.0133468610550124,0.0,Client 049,C-0049,T-0461,ML Engineer
ENG-00092,2026-11-01,797653.1,5,3988265.5,0.8626783912679307,3440590.465489389,Client 023,C-0023,T-0239,Analytics Engineer
ENG-00093,2025-09-01,1273463.46,0,0.0,0.0340347338299338,0.0,Client 047,C-0047,T-0386,Data Engineer
ENG-00094,2024-12-01,2521164.11,0,0.0,0.002250403163643,0.0,Client 038,C-0038,T-0180,ML Engineer
ENG-00095,2026-01-01,776215.19,4,3104860.76,0.5807396433359423,1803115.7303701625,Client 018,C-0018,T-0371,AI Engineer
ENG-00096,2025-12-01,1140023.14,0,0.0,0.0759904138348079,0.0,Client 055,C-0055,T-0113,Data Scientist
ENG-00097,2026-07-01,1315693.53,0,0.0,0.0648843566177327,0.0,Client 027,C-0027,T-0367,Data Scientist
ENG-00098,2024-09-01,2140097.93,2,4280195.86,0.9974201243920938,4269153.487103726,Client 010,C-0010,T-0023,Data Scientist
ENG-00099,2025-07-01,3486547.63,0,0.0,0.0013931825960073,0.0,Client 058,C-0058,T-0053,BI Developer
ENG-00100,2024-09-01,2319254.64,0,0.0,0.8024310732578259,0.0,Client 055,C-0055,T-0177,BI Developer
ENG-00101,2025-02-01,1779463.12,0,0.0,0.0284118445597519,0.0,Client 003,C-0003,T-0242,AI Engineer
ENG-00102,2025-02-01,2117863.18,0,0.0,0.23312607823949,0.0,Client 055,C-0055,T-0356,AI Engineer
ENG-00103,2025-07-01,2559327.99,5,12796639.950000001,0.9989591822278306,12783320.979715988,Client 057,C-0057,T-0180,ML Engineer
ENG-00104,2026-03-01,2768688.62,0,0.0,0.0275684049322251,0.0,Client 050,C-0050,T-0010,Data Analyst
ENG-00105,2025-07-01,1792540.57,0,0.0,0.8140644543993568,0.0,Client 016,C-0016,T-0163,Data Scientist
ENG-00106,2024-11-01,1101984.35,0,0.0,0.8853333836942242,0.0,Client 038,C-0038,T-0220,Data Analyst
ENG-00107,2026-08-01,2207939.51,6,13247637.059999999,0.0259050245392138,343180.3631258981,Client 033,C-0033,T-0272,AI Engineer
ENG-00108,2025-03-01,3344292.5,0,0.0,0.0207160700028732,0.0,Client 038,C-0038,T-0323,ML Engineer
ENG-00109,2026-06-01,1317480.89,0,0.0,0.0001293887620158,0.0,Client 037,C-0037,T-0124,BI Developer
ENG-00110,2025-04-01,803828.05,2,1607656.1,0.9328968662636716,1499777.337719676,Client 039,C-0039,T-0306,Data Analyst
ENG-00111,2026-05-01,2224143.78,0,0.0,0.7950582976864217,0.0,Client 031,C-0031,T-0316,ML Engineer
ENG-00112,2026-03-01,2790993.98,0,0.0,0.012562849417248,0.0,Client 042,C-0042,T-0389,ML Engineer
ENG-00113,2026-08-01,3457451.01,6,20744706.06,0.0061987877729836,128592.03027886678,Client 032,C-0032,T-0262,Analytics Engineer
ENG-00114,2025-02-01,1711733.94,0,0.0,0.1197826996073584,0.0,Client 001,C-0001,T-0406,Data Scientist
ENG-00115,2026-02-01,2115123.33,0,0.0,0.114923827303853,0.0,Client 003,C-0003,T-0111,ML Engineer
ENG-00116,2026-08-01,2329044.34,3,6987133.02,0.0004762316109048,3327.4936137207196,Client 058,C-0058,T-0356,AI Engineer
ENG-00117,2026-08-01,3420616.62,9,30785549.580000002,0.7771704857853,23925620.52225604,Client 055,C-0055,T-0023,Data Scientist
ENG-00118,2025-10-01,2089178.26,5,10445891.3,0.973302153217377,10167008.494564665,Client 036,C-0036,T-0052,Data Engineer
ENG-00119,2026-01-01,1094020.3,5,5470101.5,0.9776770335250028,5347992.607600668,Client 011,C-0011,T-0433,Analytics Engineer
ENG-00120,2025-09-01,797438.61,0,0.0,0.0035626597532382,0.0,Client 047,C-0047,T-0238,Data Analyst
ENG-00121,2025-11-01,1247990.77,0,0.0,0.0507838881073509,0.0,Client 009,C-0009,T-0311,AI Engineer
ENG-00122,2026-03-01,1394469.17,0,0.0,0.0707595085296373,0.0,Client 023,C-0023,T-0302,Data Analyst
ENG-00123,2026-01-01,2676381.39,0,0.0,0.0751829564541007,0.0,Client 020,C-0020,T-0348,Data Analyst
ENG-00124,2026-02-01,2186183.32,0,0.0,0.4641793711452645,0.0,Client 001,C-0001,T-0123,Data Engineer
ENG-00125,2026-08-01,3496277.57,9,31466498.13,0.7054582133182363,22198299.550171424,Client 049,C-0049,T-0090,ML Engineer
ENG-00126,2025-08-01,2124642.35,2,4249284.7,0.9993946707360708,4246712.483620323,Client 031,C-0031,T-0022,Data Engineer
ENG-00127,2025-08-01,1857810.51,0,0.0,0.2803165010891306,0.0,Client 019,C-0019,T-0433,Analytics Engineer
ENG-00128,2026-07-01,1022440.83,0,0.0,0.5944466211702331,0.0,Client 031,C-0031,T-0112,Data Analyst
ENG-00129,2026-08-01,2443799.87,6,14662799.22,0.0066989937677532,98226.00059259648,Client 001,C-0001,T-0288,Data Engineer
ENG-00130,2025-06-01,1402200.14,0,0.0,0.0484355542261839,0.0,Client 027,C-0027,T-0228,Analytics Engineer
ENG-00131,2025-10-01,1458559.84,0,0.0,0.0005471937144759,0.0,Client 032,C-0032,T-0082,Data Analyst
ENG-00132,2025-10-01,2051957.41,0,0.0,0.0709251559263824,0.0,Client 021,C-0021,T-0207,Data Scientist
ENG-00133,2026-08-01,1347296.86,4,5389187.44,0.0452253028889385,243727.6342992631,Client 050,C-0050,T-0042,ML Engineer
ENG-00134,2026-08-01,3470167.75,1,3470167.75,0.1166053882090522,404640.2576392832,Client 015,C-0015,T-0089,Data Analyst
ENG-00135,2024-07-01,967770.59,5,4838852.95,0.9508424873509218,4600986.974903346,Client 009,C-0009,T-0070,Data Analyst
ENG-00136,2024-10-01,2659034.36,3,7977103.08,0.9998397207575748,7975824.515961589,Client 032,C-0032,T-0413,Data Engineer
ENG-00137,2026-08-01,825371.98,5,4126859.9,0.3774635345753818,1557739.1245514066,Client 054,C-0054,T-0284,AI Engineer
ENG-00138,2025-06-01,810745.56,0,0.0,0.0009804052842847,0.0,Client 023,C-0023,T-0463,Data Engineer
ENG-00139,2025-09-01,1290589.03,0,0.0,0.0438248279385009,0.0,Client 003,C-0003,T-0218,Analytics Engineer
ENG-00140,2026-01-01,1058445.32,0,0.0,0.1039546671526627,0.0,Client 059,C-0059,T-0101,Analytics Engineer
ENG-00141,2026-08-01,2435273.36,8,19482186.88,0.8737180622896733,17021938.569958895,Client 027,C-0027,T-0305,AI Engineer
ENG-00142,2025-10-01,2160581.77,3,6481745.3100000005,0.98458308262741,6381816.778125558,Client 011,C-0011,T-0465,Data Analyst
ENG-00143,2026-04-01,1109286.99,0,0.0,0.0362635478956506,0.0,Client 037,C-0037,T-0267,ML Engineer
ENG-00144,2026-08-01,818237.66,4,3272950.64,0.0059548828623696,19490.037675517615,Client 020,C-0020,T-0009,AI Engineer
ENG-00145,2026-08-01,2293250.74,4,9173002.96,0.0589053060066401,540338.5463586155,Client 057,C-0057,T-0152,Data Engineer
ENG-00146,2026-01-01,1191925.44,0,0.0,0.0608226511648056,0.0,Client 018,C-0018,T-0463,Data Engineer
ENG-00147,2026-06-01,2285082.77,0,0.0,0.5773621154767878,0.0,Client 034,C-0034,T-0260,Data Scientist
ENG-00148,2025-03-01,1795015.48,0,0.0,0.7794142843013162,0.0,Client 033,C-0033,T-0476,AI Engineer
ENG-00149,2025-08-01,1782973.8,0,0.0,0.0146303972753571,0.0,Client 015,C-0015,T-0255,Data Scientist
ENG-00150,2026-03-01,2124627.5,0,0.0,0.0225562682441897,0.0,Client 030,C-0030,T-0007,AI Engineer
ENG-00151,2026-11-01,1271516.04,4,5086064.16,0.9984081715130868,5077968.018183844,Client 007,C-0007,T-0437,Analytics Engineer
ENG-00152,2026-08-01,1292948.71,1,1292948.71,0.4418186611265292,571248.867957473,Client 039,C-0039,T-0382,ML Engineer
ENG-00153,2026-05-01,3152129.77,4,12608519.08,0.9968151987642824,12568363.452853447,Client 046,C-0046,T-0358,AI Engineer
ENG-00154,2026-10-01,1013159.31,5,5065796.550000001,0.9997963054981296,5064764.675095172,Client 058,C-0058,T-0486,Data Analyst
ENG-00155,2024-11-01,3248178.1,0,0.0,0.0489183348795397,0.0,Client 020,C-0020,T-0099,Data Engineer
ENG-00156,2025-01-01,3065204.12,6,18391224.72,0.996860427693238,18333484.14018165,Client 018,C-0018,T-0453,BI Developer
ENG-00157,2024-08-01,860082.63,0,0.0,0.1221439393772012,0.0,Client 033,C-0033,T-0117,Data Engineer
ENG-00158,2026-09-01,2119884.45,3,6359653.350000001,0.9990778557840152,6353788.832447629,Client 042,C-0042,T-0486,Data Analyst
ENG-00159,2026-01-01,873188.67,0,0.0,0.1532407196356384,0.0,Client 060,C-0060,T-0096,AI Engineer
ENG-00160,2026-04-01,766124.15,0,0.0,0.0668997883681553,0.0,Client 002,C-0002,T-0276,Data Analyst
ENG-00161,2024-12-01,1640863.31,2,3281726.62,0.894152507807229,2934364.0872107414,Client 015,C-0015,T-0395,Data Engineer
ENG-00162,2026-08-01,3229831.5,4,12919326.0,0.972134223757204,12559318.952476263,Client 016,C-0016,T-0040,Data Analyst
ENG-00163,2026-08-01,1037700.43,2,2075400.86,0.0063431745259779,13164.629866344627,Client 016,C-0016,T-0034,BI Developer
ENG-00164,2025-01-01,2883864.07,2,5767728.14,0.999755637962912,5766318.72620234,Client 028,C-0028,T-0425,Analytics Engineer
ENG-00165,2025-02-01,2066280.62,0,0.0,0.0194473499094401,0.0,Client 053,C-0053,T-0031,Data Scientist
ENG-00166,2025-03-01,863115.54,2,1726231.08,0.9998732686171854,1726012.3123481742,Client 002,C-0002,T-0307,ML Engineer
ENG-00167,2024-07-01,1420000.94,6,8520005.64,0.9962128906257244,8487739.446771875,Client 049,C-0049,T-0470,ML Engineer
ENG-00168,2026-07-01,2132964.23,0,0.0,0.0249362647936621,0.0,Client 038,C-0038,T-0308,Analytics Engineer
ENG-00169,2026-08-01,900878.96,7,6306152.72,0.4455647493563857,2809799.3560898895,Client 037,C-0037,T-0241,Data Scientist
ENG-00170,2026-08-01,3007857.98,12,36094295.76,0.1869565058237534,6748063.415458717,Client 041,C-0041,T-0209,ML Engineer
ENG-00171,2026-08-01,1038394.05,6,6230364.300000001,0.0295786261295024,184285.61628029894,Client 007,C-0007,T-0320,AI Engineer
ENG-00172,2026-09-01,2180359.43,2,4360718.86,0.8488657187164478,3701664.749214269,Client 045,C-0045,T-0286,Data Scientist
ENG-00173,2026-03-01,3269546.95,0,0.0,0.0481303676273812,0.0,Client 015,C-0015,T-0251,BI Developer
ENG-00174,2026-04-01,2770023.01,0,0.0,0.0142202169901673,0.0,Client 031,C-0031,T-0077,AI Engineer
ENG-00175,2026-11-01,2744292.82,6,16465756.919999998,0.9996991250848174,16460802.786783276,Client 041,C-0041,T-0332,Data Scientist
ENG-00176,2024-12-01,3188381.37,2,6376762.74,0.985342493672534,6283295.299789701,Client 037,C-0037,T-0370,BI Developer
ENG-00177,2026-08-01,2100002.23,0,0.0,0.0002205974304189,0.0,Client 020,C-0020,T-0355,Data Scientist
ENG-00178,2026-08-01,798154.21,2,1596308.42,0.0373536334765113,59627.91963614886,Client 024,C-0024,T-0038,AI Engineer
ENG-00179,2026-08-01,1358954.47,3,4076863.41,0.0698116896186482,284612.7229965437,Client 029,C-0029,T-0352,BI Developer
ENG-00180,2025-07-01,1079101.02,0,0.0,0.0119926694661704,0.0,Client 003,C-0003,T-0365,AI Engineer
ENG-00181,2026-02-01,3333175.95,0,0.0,0.5629335646783286,0.0,Client 044,C-0044,T-0092,Data Scientist
ENG-00182,2026-08-01,1300835.88,4,5203343.52,0.0427030058227578,222198.40863236904,Client 006,C-0006,T-0425,Analytics Engineer
ENG-00183,2024-04-01,2917547.59,3,8752642.77,0.9899206700780112,8664421.99583186,Client 028,C-0028,T-0262,Analytics Engineer
ENG-00184,2025-10-01,1670922.35,3,5012767.050000001,0.997666552879716,5001070.023162523,Client 040,C-0040,T-0237,AI Engineer
ENG-00185,2026-08-01,1309404.62,1,1309404.62,0.000877572258901,1149.0971701888056,Client 005,C-0005,T-0362,AI Engineer
ENG-00186,2025-08-01,2248274.4,5,11241372.0,0.9959406464574776,11195739.296748988,Client 060,C-0060,T-0255,Data Scientist
ENG-00187,2025-01-01,948070.54,2,1896141.08,0.9880488017994352,1873479.9221366872,Client 023,C-0023,T-0273,AI Engineer
ENG-00188,2025-02-01,847554.58,0,0.0,0.0193424023454386,0.0,Client 001,C-0001,T-0157,Data Analyst
ENG-00189,2025-06-01,1010941.04,5,5054705.2,0.9907720159843364,5008060.461210509,Client 040,C-0040,T-0464,Data Engineer
ENG-00190,2025-02-01,1496419.36,0,0.0,0.0371189884448342,0.0,Client 034,C-0034,T-0485,AI Engineer
ENG-00191,2026-08-01,1361677.33,6,8170063.98,0.1145653106208127,936005.9176606133,Client 039,C-0039,T-0066,Data Analyst
ENG-00192,2025-01-01,2017422.37,0,0.0,0.0016046718920963,0.0,Client 046,C-0046,T-0367,Data Scientist
ENG-00193,2024-08-01,2456498.17,3,7369494.51,0.9931521419753516,7319029.257882094,Client 029,C-0029,T-0012,ML Engineer
ENG-00194,2024-07-01,2000167.95,5,10000839.75,0.9779098100067568,9779919.29983052,Client 050,C-0050,T-0185,Data Scientist
ENG-00195,2025-05-01,966947.71,0,0.0,0.0226487168646935,0.0,Client 023,C-0023,T-0485,AI Engineer
ENG-00196,2024-06-01,1292415.75,8,10339326.0,0.8994317184477864,9299517.751771877,Client 033,C-0033,T-0088,Data Analyst
ENG-00197,2026-08-01,930343.28,5,4651716.4,0.0323902660741343,150670.33189741414,Client 010,C-0010,T-0189,Data Analyst
ENG-00198,2024-12-01,1069878.28,0,0.0,0.8895635073981166,0.0,Client 038,C-0038,T-0110,Data Engineer
ENG-00199,2026-12-01,3184394.67,2,6368789.34,0.9852957929083136,6275141.342621315,Client 016,C-0016,T-0365,AI Engineer
ENG-00200,2026-01-01,2848563.28,3,8545689.84,0.9975003246045124,8524328.389369484,Client 042,C-0042,T-0232,AI Engineer
ENG-00201,2025-12-01,1346947.86,0,0.0,0.0259772486808448,0.0,Client 049,C-0049,T-0297,ML Engineer
ENG-00202,2026-08-01,2786720.23,2,5573440.46,0.1588340635094188,885252.1959896043,Client 052,C-0052,T-0472,ML Engineer
ENG-00203,2026-08-01,1308493.95,2,2616987.9,0.0012400639430128,3245.232334090787,Client 056,C-0056,T-0261,Data Analyst
ENG-00204,2026-08-01,1190041.53,1,1190041.53,0.0033261618603532,3958.2707493223684,Client 008,C-0008,T-0368,ML Engineer
ENG-00205,2026-08-01,1943505.1,6,11661030.600000001,0.1128197802108445,1315594.9093239324,Client 009,C-0009,T-0049,ML Engineer
ENG-00206,2026-01-01,2228446.62,5,11142233.100000001,0.9966783025430428,11105221.972646907,Client 056,C-0056,T-0108,BI Developer
ENG-00207,2024-08-01,2289677.43,0,0.0,0.186703818989146,0.0,Client 023,C-0023,T-0474,AI Engineer
ENG-00208,2026-01-01,949319.41,0,0.0,0.0994259768300681,0.0,Client 002,C-0002,T-0430,Data Analyst
ENG-00209,2026-11-01,2332541.48,3,6997624.4399999995,0.965312489931208,6754894.271779874,Client 018,C-0018,T-0329,Analytics Engineer
ENG-00210,2026-06-01,1840936.46,4,7363745.84,0.9988360872318528,7355175.082195433,Client 051,C-0051,T-0190,AI Engineer
ENG-00211,2025-07-01,1205178.31,0,0.0,0.0391126482234157,0.0,Client 022,C-0022,T-0100,BI Developer
ENG-00212,2026-08-01,2402790.15,3,7208370.449999999,0.0309671320258819,223222.5594166157,Client 005,C-0005,T-0426,Analytics Engineer
ENG-00213,2026-04-01,2195592.65,0,0.0,0.0004498040059852,0.0,Client 044,C-0044,T-0393,ML Engineer
ENG-00214,2026-09-01,2053574.98,2,4107149.96,0.9995398853584734,4105260.2001684583,Client 012,C-0012,T-0121,AI Engineer
ENG-00215,2025-09-01,1702056.39,0,0.0,0.0048367544157748,0.0,Client 022,C-0022,T-0295,Analytics Engineer
ENG-00216,2024-04-01,1016686.64,4,4066746.56,0.9834788741696682,3999559.328362171,Client 001,C-0001,T-0310,Analytics Engineer
